entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3385931500,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-69531:Jalen Hurts,106989-90576:DeVonta Smith,106989-64401:Saquon Barkley,106989-69777:Darnell Mooney,106989-62055:Ray-Ray McCloud III,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3385931503,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-69531:Jalen Hurts,106989-64401:Saquon Barkley,106989-112745:Drake London,106989-69777:Darnell Mooney,106989-86229:Jahan Dotson,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3385931505,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-22038:Kirk Cousins,106989-90576:DeVonta Smith,106989-112745:Drake London,106989-86229:Jahan Dotson,106989-136855:Bijan Robinson,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3385931508,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-64401:Saquon Barkley,106989-90576:DeVonta Smith,106989-112745:Drake London,106989-69777:Darnell Mooney,106989-86229:Jahan Dotson,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3385931511,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-64401:Saquon Barkley,106989-41235:Jake Elliott,106989-22038:Kirk Cousins,106989-90576:DeVonta Smith,106989-69777:Darnell Mooney,,,,,,,,,,,,,,,,,,,
3385931514,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-64401:Saquon Barkley,106989-41235:Jake Elliott,106989-22038:Kirk Cousins,106989-86229:Jahan Dotson,106989-69777:Darnell Mooney,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3385931517,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-64401:Saquon Barkley,106989-69531:Jalen Hurts,106989-86229:Jahan Dotson,106989-136855:Bijan Robinson,106989-64147:Britain Covey,,106989-69531:Jalen Hurts,106989-69531,QB,Jalen,Jalen Hurts,Hurts,18.42000008,1,17500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3385931520,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-136855:Bijan Robinson,106989-64401:Saquon Barkley,106989-90576:DeVonta Smith,106989-112745:Drake London,106989-69777:Darnell Mooney,,106989-136855:Bijan Robinson,106989-136855,RB,Bijan,Bijan Robinson,Robinson,13.60000038,1,16000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3385931528,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-136855:Bijan Robinson,106989-22038:Kirk Cousins,106989-83074:Dallas Goedert,106989-86229:Jahan Dotson,106989-112745:Drake London,,106989-22038:Kirk Cousins,106989-22038,QB,Kirk,Kirk Cousins,Cousins,8.199999809,1,14000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3385931532,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-136855:Bijan Robinson,106989-64401:Saquon Barkley,106989-22038:Kirk Cousins,106989-86229:Jahan Dotson,106989-69777:Darnell Mooney,,106989-64401:Saquon Barkley,106989-64401,RB,Saquon,Saquon Barkley,Barkley,35.20000076,1,13500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3385931535,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-90576:DeVonta Smith,106989-64401:Saquon Barkley,106989-112745:Drake London,106989-69777:Darnell Mooney,106989-86229:Jahan Dotson,,106989-72846:A.J. Brown,106989-72846,WR,A.J.,A.J. Brown,Brown,23.39999962,1,13000,ATL@PHI,PHI,ATL,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
3385931537,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-90576:DeVonta Smith,106989-22038:Kirk Cousins,106989-112745:Drake London,106989-86229:Jahan Dotson,106989-136855:Bijan Robinson,,106989-90576:DeVonta Smith,106989-90576,WR,DeVonta,DeVonta Smith,Smith,11.89999962,1,11500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3385931540,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-112745:Drake London,106989-22038:Kirk Cousins,106989-136855:Bijan Robinson,106989-64401:Saquon Barkley,106989-64147:Britain Covey,,106989-112745:Drake London,106989-112745,WR,Drake,Drake London,London,2.5,1,10500,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3385931541,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-86229:Jahan Dotson,106989-69531:Jalen Hurts,106989-64401:Saquon Barkley,106989-86080:Kyle Pitts,106989-69777:Darnell Mooney,,106989-86080:Kyle Pitts,106989-86080,TE,Kyle,Kyle Pitts,Pitts,10.10000038,1,10000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3385931544,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-86229:Jahan Dotson,106989-22038:Kirk Cousins,106989-69531:Jalen Hurts,106989-64401:Saquon Barkley,106989-62055:Ray-Ray McCloud III,,106989-83074:Dallas Goedert,106989-83074,TE,Dallas,Dallas Goedert,Goedert,5.099999905,1,9500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3385931547,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-86229:Jahan Dotson,106989-22038:Kirk Cousins,106989-69531:Jalen Hurts,106989-64401:Saquon Barkley,106989-64147:Britain Covey,,106989-12545:Philadelphia Eagles,106989-12545,D,Philadelphia,Philadelphia Eagles,Eagles,3,1,9000,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3385931548,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-86229:Jahan Dotson,106989-22038:Kirk Cousins,106989-69531:Jalen Hurts,106989-12545:Philadelphia Eagles,106989-86080:Kyle Pitts,,106989-90428:Tyler Allgeier,106989-90428,RB,Tyler,Tyler Allgeier,Allgeier,2.099999905,1,9000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3385931549,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-69777:Darnell Mooney,106989-136855:Bijan Robinson,106989-90576:DeVonta Smith,106989-64401:Saquon Barkley,106989-112745:Drake London,,106989-41235:Jake Elliott,106989-41235,K,Jake,Jake Elliott,Elliott,10,1,8500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3385931550,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-69777:Darnell Mooney,106989-22038:Kirk Cousins,106989-136855:Bijan Robinson,106989-90576:DeVonta Smith,106989-83074:Dallas Goedert,,106989-53212:Younghoe Koo,106989-53212,K,Younghoe,Younghoe Koo,Koo,4,1,8500,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3385931555,106989-271004610,$10K Mon NFL Pooch Punt (150 Entries Max),106989-69777:Darnell Mooney,106989-22038:Kirk Cousins,106989-136855:Bijan Robinson,106989-90576:DeVonta Smith,106989-86229:Jahan Dotson,,106989-69777:Darnell Mooney,106989-69777,WR,Darnell,Darnell Mooney,Mooney,2,1,8000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
