Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106717-62239,QB,Josh,Josh Allen,Allen,31.18000030517578,1,17000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-53681,WR,Tyreek,Tyreek Hill,Hill,25.5,1,16500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,21.6200008392334,1,14000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-138820,RB,De'Von,De'Von Achane,Achane,19.5,1,12500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-91626,RB,James,James Cook,Cook,11.800000190734863,1,12000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-90573,WR,Jaylen,Jaylen Waddle,Waddle,16.700000762939453,1,11000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-86518,WR,Khalil,Khalil Shakir,Shakir,11.699999809265137,1,10500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-157467,WR,Keon,Keon Coleman,Coleman,7.099999904632568,1,10000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-145558,TE,Dalton,Dalton Kincaid,Kincaid,1.600000023841858,1,9500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-28744,RB,Raheem,Raheem Mostert,Mostert,2.9000000953674316,1,9500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-52767,K,Jason,Jason Sanders,Sanders,10,1,9000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-65128,K,Tyler,Tyler Bass,Bass,10,1,9000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-12526,D,Buffalo,Buffalo Bills,Bills,6,1,8500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-12539,D,Miami,Miami Dolphins,Dolphins,6,1,8500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-52613,WR,Curtis,Curtis Samuel,Samuel,2.5,1,8000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-25267,WR,Mack,Mack Hollins,Hollins,9.5,1,8000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-103694,RB,Ray,Ray Davis,Davis,3.200000047683716,1,7500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-48116,TE,Jonnu,Jonnu Smith,Smith,1.2000000476837158,1,7500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-52495,WR,Braxton,Braxton Berrios,Berrios,0,1,7000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-64585,TE,Dawson,Dawson Knox,Knox,2.799999952316284,1,7000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,2.5999999046325684,1,6500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,2.4000000953674316,1,6500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-42046,TE,Durham,Durham Smythe,Smythe,0,1,6000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-63050,RB,Ty,Ty Johnson,Johnson,0.699999988079071,1,6000,BUF@MIA,BUF,MIA,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
106717-70426,TE,Reggie,Reggie Gilliam,Gilliam,0.26666667064030963,3,5500,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-152103,RB,Jaylen,Jaylen Wright,Wright,,0,5500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-63717,RB,Alec,Alec Ingold,Ingold,0.800000011920929,1,5500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-185850,TE,Julian,Julian Hill,Hill,1.100000023841858,1,5500,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,5.962500095367432,16,5000,BUF@MIA,MIA,BUF,NA,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106717-90123,TE,Quintin,Quintin Morris,Morris,3.2000001271565757,3,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-26251,WR,Robbie,Robbie Chosen,Chosen,3.433333396911621,6,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-41997,WR,River,River Cracraft,Cracraft,3.8428570883614674,7,5000,BUF@MIA,MIA,BUF,IR,Upper body,,,,MVP - 1.5X Points/AnyFLEX
106717-86543,WR,Erik,Erik Ezukanma,Ezukanma,1.100000023841858,2,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-139284,RB,Frank,Frank Gore Jr.,Gore Jr.,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-73111,WR,Chase,Chase Claypool,Claypool,2.2125000953674316,8,5000,BUF@MIA,BUF,MIA,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
106717-160280,WR,Jadon,Jadon Janke,Janke,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-34331,RB,Latavius,Latavius Murray,Murray,4.758823619169347,17,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-114079,TE,Hayden,Hayden Rucci,Rucci,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-88607,WR,Braylon,Braylon Sanders,Sanders,,0,5000,BUF@MIA,MIA,BUF,Q,Lower body,,,,MVP - 1.5X Points/AnyFLEX
106717-44449,WR,Willie,Willie Snead IV,Snead IV,0.6000000238418579,4,5000,BUF@MIA,MIA,BUF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106717-40482,QB,Tim,Tim Boyle,Boyle,3.7249999046325684,4,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-94118,WR,Mike,Mike Harley Jr.,Harley Jr.,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-69294,QB,Skylar,Skylar Thompson,Thompson,0,1,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-157875,WR,Grant,Grant DuBose,DuBose,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-86192,WR,KJ,KJ Hamler,Hamler,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-26038,TE,Tyler,Tyler Kroft,Kroft,0,1,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-85944,WR,Kyric,Kyric McGowan,McGowan,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-63419,WR,Andy,Andy Isabella,Isabella,0,2,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-153789,WR,Je'Quan,Je'Quan Burton,Burton,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-87233,WR,Bryan,Bryan Thompson,Thompson,,0,5000,BUF@MIA,BUF,MIA,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
106717-64576,RB,Damien,Damien Harris,Harris,3,6,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-89283,TE,Tre',Tre' McKitty,McKitty,0,1,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-69833,QB,Shane,Shane Buechele,Buechele,,0,5000,BUF@MIA,BUF,MIA,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX
106717-114763,QB,Gavin,Gavin Hardison,Hardison,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-170188,TE,Tanner,Tanner Conner,Conner,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-149708,TE,Zach,Zach Davidson,Davidson,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-88277,RB,Anthony,Anthony McFarland Jr.,McFarland Jr.,1.0499999523162842,2,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-90583,WR,Tyrell,Tyrell Shavers,Shavers,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-40534,QB,Mike,Mike White,White,0.43714284896850586,7,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-30678,WR,Damiere,Damiere Byrd,Byrd,0,1,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-91098,WR,Lawrence,Lawrence Keys III,Keys III,,0,5000,BUF@MIA,BUF,MIA,Q,Leg,,,,MVP - 1.5X Points/AnyFLEX
106717-69597,QB,Anthony,Anthony Brown Jr.,Brown Jr.,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-93404,RB,Zander,Zander Horvath,Horvath,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.668571472167969,7,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-63469,QB,Ben,Ben DiNucci,DiNucci,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-94831,RB,Deneric,Deneric Prince,Prince,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-70383,RB,Darrynton,Darrynton Evans,Evans,4.416666666666667,6,5000,BUF@MIA,BUF,MIA,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
106717-87662,WR,Anthony,Anthony Schwartz,Schwartz,,0,5000,BUF@MIA,MIA,BUF,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
106717-110834,WR,Tahj,Tahj Washington,Washington,,0,5000,BUF@MIA,MIA,BUF,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106717-72182,WR,Dee,Dee Eskridge,Eskridge,0.125,4,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-69752,WR,Jalen,Jalen Virgil,Virgil,,0,5000,BUF@MIA,BUF,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
106717-86780,RB,Salvon,Salvon Ahmed,Ahmed,4.985714503696987,7,5000,BUF@MIA,MIA,BUF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106717-104447,TE,Jody,Jody Fortson Jr.,Fortson Jr.,,0,5000,BUF@MIA,MIA,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
106717-110974,WR,Malik,Malik Washington,Washington,,0,5000,BUF@MIA,MIA,BUF,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
