Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106876-129471,QB,C.J.,C.J. Stroud,Stroud,18.65999984741211,1,16000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-52442,RB,Joe,Joe Mixon,Mixon,28.299999237060547,1,14500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-91419,WR,Nico,Nico Collins,Collins,17.700000762939453,1,13500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-152113,QB,Caleb,Caleb Williams,Williams,7.21999979019165,1,13000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-25079,WR,Stefon,Stefon Diggs,Diggs,18.899999618530273,1,12500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-63043,WR,DJ,DJ Moore,Moore,7.5,1,12000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-129291,WR,Tank,Tank Dell,Dell,7.400000095367432,1,11500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-29253,WR,Keenan,Keenan Allen,Allen,4.900000095367432,1,11000,CHI@HOU,CHI,HOU,Q,Heel,,,,MVP - 1.5X Points/AnyFLEX
106876-91598,RB,D'Andre,D'Andre Swift,Swift,5,1,10500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-120033,WR,Rome,Rome Odunze,Odunze,1.600000023841858,1,10000,CHI@HOU,CHI,HOU,Q,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
106876-55042,TE,Dalton,Dalton Schultz,Schultz,3.0999999046325684,1,9500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-91047,TE,Cole,Cole Kmet,Kmet,0.8999999761581421,1,9500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-33714,K,Cairo,Cairo Santos,Santos,13,1,9000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,17,1,9000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-12556,D,Houston,Houston Texans,Texans,4,1,8500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-72412,RB,Khalil,Khalil Herbert,Herbert,0.4000000059604645,1,8500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-57299,TE,Gerald,Gerald Everett,Everett,0.4000000059604645,1,8000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-12527,D,Chicago,Chicago Bears,Bears,24,1,8000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-94094,TE,Brevin,Brevin Jordan,Jordan,0.800000011920929,1,7500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-86055,RB,Dameon,Dameon Pierce,Pierce,1.600000023841858,1,7500,CHI@HOU,HOU,CHI,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
106876-103187,RB,Roschon,Roschon Johnson,Johnson,5.673333231608073,15,7000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-71444,RB,Travis,Travis Homer,Homer,1,1,7000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-70661,WR,Velus,Velus Jones Jr.,Jones Jr.,0.4000000059604645,1,6500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,0.800000011920929,1,6500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-62628,WR,DeAndre,DeAndre Carter,Carter,1.100000023841858,1,6500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,0.800000011920929,1,6000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-29685,WR,Robert,Robert Woods,Woods,4.5,16,6000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-6672,TE,Marcedes,Marcedes Lewis,Lewis,1.3624999523162842,8,5500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-111637,TE,Cade,Cade Stover,Stover,,0,5500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-102696,WR,John,John Metchie III,Metchie III,2.066666666666667,15,5500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-129240,WR,Tyler,Tyler Scott,Scott,2.1076922783484826,13,5500,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-71821,WR,Joe,Joe Reed,Reed,,0,5000,CHI@HOU,CHI,HOU,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106876-103308,RB,Jawhar,Jawhar Jordan,Jordan,,0,5000,CHI@HOU,HOU,CHI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106876-88463,WR,Johnny,Johnny Johnson III,Johnson III,,0,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-89230,RB,Cam,Cam Akers,Akers,5.885714394705636,7,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-62994,WR,Steven,Steven Sims,Sims,3.366666793823242,3,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-102933,QB,Kedon,Kedon Slovis,Slovis,,0,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-71957,WR,Quintez,Quintez Cephus,Cephus,,0,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-56212,TE,Tommy,Tommy Sweeney,Sweeney,0,1,5000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-70043,TE,Cole,Cole Fotheringham,Fotheringham,1.100000023841858,1,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-89628,QB,Davis,Davis Mills,Mills,2.2074999809265137,8,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
106876-160292,WR,Jaxon,Jaxon Janke,Janke,,0,5000,CHI@HOU,HOU,CHI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106876-102957,WR,John,John Jackson III,Jackson III,,0,5000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-14895,TE,Patrick,Patrick Scales,Scales,0,3,5000,CHI@HOU,CHI,HOU,IR,Back,,,,MVP - 1.5X Points/AnyFLEX
106876-185776,QB,Tyson,Tyson Bagent,Bagent,11.851999664306641,5,5000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-87731,WR,Dominique,Dominique Robinson,Robinson,0,3,5000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
106876-72370,RB,J.J.,J.J. Taylor,Taylor,,0,5000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
