entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3384029637,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-12527:Chicago Bears,106876-129291:Tank Dell,106876-25079:Stefon Diggs,106876-120033:Rome Odunze,106876-63043:DJ Moore,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3384029640,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-12556:Houston Texans,106876-52442:Joe Mixon,106876-25079:Stefon Diggs,106876-12527:Chicago Bears,106876-63043:DJ Moore,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3384029643,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-129291:Tank Dell,106876-62628:DeAndre Carter,106876-52442:Joe Mixon,106876-91047:Cole Kmet,106876-91419:Nico Collins,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3384029647,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-129291:Tank Dell,106876-120033:Rome Odunze,106876-52442:Joe Mixon,106876-91047:Cole Kmet,106876-25079:Stefon Diggs,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3384029649,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-129471:C.J. Stroud,106876-63043:DJ Moore,106876-62628:DeAndre Carter,106876-55042:Dalton Schultz,106876-91047:Cole Kmet,,,,,,,,,,,,,,,,,,,
3384029652,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-129471:C.J. Stroud,106876-63043:DJ Moore,106876-129291:Tank Dell,106876-91047:Cole Kmet,106876-91598:D'Andre Swift,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3384029656,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-129471:C.J. Stroud,106876-120033:Rome Odunze,106876-129291:Tank Dell,106876-63043:DJ Moore,106876-55042:Dalton Schultz,,106876-129471:C.J. Stroud,106876-129471,QB,C.J.,C.J. Stroud,Stroud,18.65999985,1,16000,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
3384029659,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-152113:Caleb Williams,106876-62628:DeAndre Carter,106876-129291:Tank Dell,106876-52442:Joe Mixon,106876-12527:Chicago Bears,,106876-52442:Joe Mixon,106876-52442,RB,Joe,Joe Mixon,Mixon,28.29999924,1,14500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
3384029662,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-152113:Caleb Williams,106876-120033:Rome Odunze,106876-129291:Tank Dell,106876-52442:Joe Mixon,106876-55042:Dalton Schultz,,106876-91419:Nico Collins,106876-91419,WR,Nico,Nico Collins,Collins,17.70000076,1,13500,CHI@HOU,HOU,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
3384029667,106876-270955157,$4K Sun NFL Pooch Punt (150 Entries Max),106876-25079:Stefon Diggs,106876-62628:DeAndre Carter,106876-52442:Joe Mixon,106876-129291:Tank Dell,106876-55042:Dalton Schultz,,106876-152113:Caleb Williams,106876-152113,QB,Caleb,Caleb Williams,Williams,7.21999979,1,13000,CHI@HOU,CHI,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
