Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106921-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,10.899999618530273,1,16500,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-89951,QB,Trevor,Trevor Lawrence,Lawrence,11.279999732971191,1,16000,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-54879,QB,Deshaun,Deshaun Watson,Watson,12.65999984741211,1,14500,CLE@JAC,CLE,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
106921-90533,RB,Jerome,Jerome Ford,Ford,15.899999618530273,1,13000,CLE@JAC,CLE,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
106921-31001,WR,Amari,Amari Cooper,Cooper,2.5999999046325684,1,12000,CLE@JAC,CLE,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
106921-60858,WR,Christian,Christian Kirk,Kirk,3.5,1,11000,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-94534,WR,Gabe,Gabe Davis,Davis,7.699999809265137,1,10500,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,12.699999809265137,1,10000,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-41872,TE,Evan,Evan Engram,Engram,1,1,9500,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-55335,TE,David,David Njoku,Njoku,6.400000095367432,1,9500,CLE@JAC,CLE,JAC,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
106921-154442,K,Cam,Cam Little,Little,7,1,9000,CLE@JAC,JAC,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
106921-24912,K,Dustin,Dustin Hopkins,Hopkins,7,1,9000,CLE@JAC,CLE,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
