Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106918-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.100000381469727,1,16000,NO@DAL,DAL,NO,,,,,,MVP - 1.5X Points/AnyFLEX
106918-42104,RB,Alvin,Alvin Kamara,Kamara,19.5,1,15500,NO@DAL,NO,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
106918-31716,QB,Dak,Dak Prescott,Prescott,11.460000038146973,1,14500,NO@DAL,DAL,NO,,,,,,MVP - 1.5X Points/AnyFLEX
106918-45859,QB,Derek,Derek Carr,Carr,21.299999237060547,1,13500,NO@DAL,NO,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
106918-87770,WR,Chris,Chris Olave,Olave,2.0999999046325684,1,12000,NO@DAL,NO,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
106918-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,11.899999618530273,1,11000,NO@DAL,DAL,NO,,,,,,MVP - 1.5X Points/AnyFLEX
106918-29501,WR,Brandin,Brandin Cooks,Cooks,12.5,1,10500,NO@DAL,DAL,NO,,,,,,MVP - 1.5X Points/AnyFLEX
106918-170287,WR,Rashid,Rashid Shaheed,Shaheed,14.800000190734863,1,10000,NO@DAL,NO,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
106918-45631,RB,Jamaal,Jamaal Williams,Williams,11.600000381469727,1,9500,NO@DAL,NO,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
106918-89680,TE,Jake,Jake Ferguson,Ferguson,3,1,9500,NO@DAL,DAL,NO,D,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
106918-189471,K,Brandon,Brandon Aubrey,Aubrey,21,1,9000,NO@DAL,DAL,NO,,,,,,MVP - 1.5X Points/AnyFLEX
106918-12530,D,Dallas,Dallas Cowboys,Cowboys,17,1,9000,NO@DAL,DAL,NO,,,,,,MVP - 1.5X Points/AnyFLEX
