Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106920-103064,RB,Breece,Breece Hall,Hall,15.800000190734863,1,16000,NYJ@TEN,NYJ,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
106920-103564,WR,Garrett,Garrett Wilson,Wilson,9,1,15000,NYJ@TEN,NYJ,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
106920-6894,QB,Aaron,Aaron Rodgers,Rodgers,9.579999923706055,1,14500,NYJ@TEN,NYJ,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
106920-63759,RB,Tony,Tony Pollard,Pollard,16.899999618530273,1,14000,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-86243,QB,Will,Will Levis,Levis,8.680000305175781,1,12500,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-39829,WR,Mike,Mike Williams,Williams,13.566666920979818,3,11000,NYJ@TEN,NYJ,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
106920-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,1.2999999523162842,1,10500,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-107293,RB,Tyjae,Tyjae Spears,Spears,5.199999809265137,1,10000,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-64555,WR,Calvin,Calvin Ridley,Ridley,6.5,1,9500,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-12544,D,New York,New York Jets,Jets,2,1,9000,NYJ@TEN,NYJ,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
106920-88297,TE,Chig,Chig Okonkwo,Okonkwo,8.5,1,9000,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-6642,K,Nick,Nick Folk,Folk,6,1,8500,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106920-12534,D,Tennessee,Tennessee Titans,Titans,8,1,8500,NYJ@TEN,TEN,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
