Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106919-55050,RB,Christian,Christian McCaffrey,McCaffrey,23.01578883120888,19,17000,SF@MIN,SF,MIN,O,Achilles,,,,MVP - 1.5X Points/AnyFLEX
106919-85671,WR,Justin,Justin Jefferson,Jefferson,13.899999618530273,1,16000,SF@MIN,MIN,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106919-85607,QB,Brock,Brock Purdy,Purdy,10.34000015258789,1,14000,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-63589,QB,Sam,Sam Darnold,Darnold,15.619999885559082,1,13000,SF@MIN,MIN,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106919-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,16.200000762939453,1,12500,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-86875,RB,Jordan,Jordan Mason,Mason,24.700000762939453,1,12000,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-40442,RB,Aaron,Aaron Jones,Jones,17.899999618530273,1,11000,SF@MIN,MIN,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106919-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,3.799999952316284,1,10000,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-12549,D,San Francisco,San Francisco 49ers,49ers,6,1,9500,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-39793,TE,George,George Kittle,Kittle,6,1,9500,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-129210,WR,Jordan,Jordan Addison,Addison,5,1,9000,SF@MIN,MIN,SF,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
106919-12540,D,Minnesota,Minnesota Vikings,Vikings,22,1,9000,SF@MIN,MIN,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106919-102703,K,Will,Will Reichard,Reichard,4,1,8500,SF@MIN,MIN,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106919-91372,K,Jake,Jake Moody,Moody,26,1,8500,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-61593,WR,Jauan,Jauan Jennings,Jennings,8.899999618530273,1,8000,SF@MIN,SF,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
106919-92859,WR,Jalen,Jalen Nailor,Nailor,8.600000381469727,1,8000,SF@MIN,MIN,SF,,,,,,MVP - 1.5X Points/AnyFLEX
