Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106917-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,2.799999952316284,1,15500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-32384,WR,Mike,Mike Evans,Evans,20.600000381469727,1,15000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-38435,QB,Jared,Jared Goff,Goff,12.380000114440918,1,13500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-41535,QB,Baker,Baker Mayfield,Mayfield,29.65999984741211,1,13000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-105646,TE,Sam,Sam LaPorta,LaPorta,6.5,1,12500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,15.399999618530273,1,12000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-137902,RB,Rachaad,Rachaad White,White,13.600000381469727,1,11000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-73273,RB,David,David Montgomery,Montgomery,15.800000190734863,1,10500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-55635,WR,Chris,Chris Godwin,Godwin,18.299999237060547,1,10000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-111631,WR,Jameson,Jameson Williams,Williams,24.899999618530273,1,9500,TB@DET,DET,TB,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
106917-140176,K,Jake,Jake Bates,Bates,8,1,9000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-60479,K,Chase,Chase McLaughlin,McLaughlin,15,1,9000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-70422,WR,Kalif,Kalif Raymond,Raymond,1.2000000476837158,1,8500,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-152664,RB,Bucky,Bucky Irving,Irving,8.600000381469727,1,8500,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,3,1,8000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-12532,D,Detroit,Detroit Lions,Lions,5,1,8000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-86811,TE,Cade,Cade Otton,Otton,1,1,7500,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-120042,WR,Jalen,Jalen McMillan,McMillan,9.699999809265137,1,7500,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-91046,TE,Brock,Brock Wright,Wright,0.699999988079071,1,7000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-104424,RB,Craig,Craig Reynolds,Reynolds,2.7666667302449546,12,7000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-102902,WR,Trey,Trey Palmer,Palmer,2.4000000953674316,1,6500,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-93391,TE,Payne,Payne Durham,Durham,1.177777820163303,9,6000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-137059,RB,Sean,Sean Tucker,Tucker,0,1,6000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-112041,WR,Isaiah,Isaiah Williams,Williams,,0,5500,TB@DET,DET,TB,O,Abdomen,,,,MVP - 1.5X Points/AnyFLEX
106917-68714,TE,Ko,Ko Kieft,Kieft,1.3399999618530274,5,5500,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-56192,QB,John,John Wolford,Wolford,0,1,5000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-58499,TE,Parker,Parker Hesse,Hesse,,0,5000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-57091,WR,Tim,Tim Patrick,Patrick,,0,5000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
106917-83081,RB,Chase,Chase Edmonds,Edmonds,2.6600001017252604,15,5000,TB@DET,TB,DET,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
106917-95370,TE,Ryan,Ryan Miller,Miller,,0,5000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-87690,TE,Sal,Sal Cannella,Cannella,,0,5000,TB@DET,TB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106917-168076,RB,Sione,Sione Vaki,Vaki,,0,5000,TB@DET,DET,TB,,,,,,MVP - 1.5X Points/AnyFLEX
