Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111590-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,20.868749618530273,16,16000,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111590-63336,QB,Joe,Joe Burrow,Burrow,24.302499771118164,16,15000,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111590-89981,WR,Tee,Tee Higgins,Higgins,16.754545731977984,11,13500,CIN@PIT,CIN,PIT,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111590-22015,QB,Russell,Russell Wilson,Wilson,16.925999450683594,10,13000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-110246,WR,George,George Pickens,Pickens,10.799999530498798,13,12000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-89493,RB,Chase,Chase Brown,Brown,14.4375,16,11500,CIN@PIT,CIN,PIT,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111590-90575,RB,Najee,Najee Harris,Harris,11.375,16,11000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-72412,RB,Khalil,Khalil Herbert,Herbert,1.3363636190241033,11,10500,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111590-112057,RB,Jaylen,Jaylen Warren,Warren,7.357142857142857,14,10000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-32058,K,Chris,Chris Boswell,Boswell,11.5,16,9500,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,8.5625,16,9000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-12528,D,Cincinnati,Cincinnati Bengals,Bengals,6.0625,16,9000,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111590-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.331250190734863,16,8500,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
111590-102901,K,Cade,Cade York,York,6.4,5,8500,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
