entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3477734731,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-63336:Joe Burrow,111590-85701:Ja'Marr Chase,111590-89981:Tee Higgins,111590-90870:Calvin Austin III,111590-56265:Mike Gesicki,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3477734733,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-63336:Joe Burrow,111590-85701:Ja'Marr Chase,111590-89981:Tee Higgins,111590-86244:Pat Freiermuth,111590-64581:Van Jefferson,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3477734734,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-63336:Joe Burrow,111590-85701:Ja'Marr Chase,111590-22015:Russell Wilson,111590-56265:Mike Gesicki,111590-64581:Van Jefferson,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3477734738,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-63336:Joe Burrow,111590-85701:Ja'Marr Chase,111590-90575:Najee Harris,111590-90870:Calvin Austin III,111590-56265:Mike Gesicki,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3477734740,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-22015:Russell Wilson,111590-89981:Tee Higgins,111590-85701:Ja'Marr Chase,111590-110246:George Pickens,111590-112041:Isaiah Williams,,,,,,,,,,,,,,,,,,,
3477734743,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-22015:Russell Wilson,111590-85701:Ja'Marr Chase,111590-110246:George Pickens,111590-32058:Chris Boswell,111590-12547:Pittsburgh Steelers,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3477734745,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-63336:Joe Burrow,111590-89981:Tee Higgins,111590-22015:Russell Wilson,111590-90575:Najee Harris,111590-56265:Mike Gesicki,,111590-85701:Ja'Marr Chase,111590-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,20.86874962,16,16000,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3477734748,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-22015:Russell Wilson,111590-89981:Tee Higgins,111590-63336:Joe Burrow,111590-90575:Najee Harris,111590-64581:Van Jefferson,,111590-63336:Joe Burrow,111590-63336,QB,Joe,Joe Burrow,Burrow,24.30249977,16,15000,CIN@PIT,CIN,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3477734752,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-63336:Joe Burrow,111590-89981:Tee Higgins,111590-110246:George Pickens,111590-90575:Najee Harris,111590-86244:Pat Freiermuth,,111590-89981:Tee Higgins,111590-89981,WR,Tee,Tee Higgins,Higgins,16.75454573,11,13500,CIN@PIT,CIN,PIT,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
3477734754,111590-273781982,$1K Sat NFL Pooch Punt (150 Entries Max),111590-22015:Russell Wilson,111590-63336:Joe Burrow,111590-110246:George Pickens,111590-112057:Jaylen Warren,111590-56265:Mike Gesicki,,111590-22015:Russell Wilson,111590-22015,QB,Russell,Russell Wilson,Wilson,16.92599945,10,13000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111590-110246:George Pickens,111590-110246,WR,George,George Pickens,Pickens,10.79999953,13,12000,CIN@PIT,PIT,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
