Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111711-85671,WR,Justin,Justin Jefferson,Jefferson,17.1299991607666,16,15000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-38435,QB,Jared,Jared Goff,Goff,21.420000076293945,16,14500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-63589,QB,Sam,Sam Darnold,Darnold,20.082500457763672,16,14000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,19.087499618530273,16,13500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.248750686645508,16,13000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,13.256250381469727,16,11500,MIN@DET,MIN,DET,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
111711-129210,WR,Jordan,Jordan Addison,Addison,13.321428571428571,14,11000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-111631,WR,Jameson,Jameson Williams,Williams,13.271428789411273,14,10500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-105646,TE,Sam,Sam LaPorta,LaPorta,9.186666870117188,15,10000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-71706,TE,T.J.,T.J. Hockenson,Hockenson,7.4555553860134545,9,9500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-140176,K,Jake,Jake Bates,Bates,9.5625,16,9000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-102703,K,Will,Will Reichard,Reichard,10,12,9000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-12532,D,Detroit,Detroit Lions,Lions,7.3125,16,8500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-12540,D,Minnesota,Minnesota Vikings,Vikings,9.8125,16,8500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-57091,WR,Tim,Tim Patrick,Patrick,5.242857251848493,14,8000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-92859,WR,Jalen,Jalen Nailor,Nailor,5.871428353445871,14,8000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-89230,RB,Cam,Cam Akers,Akers,5.220000203450521,15,7500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111711-104424,RB,Craig,Craig Reynolds,Reynolds,2.5833333333333335,6,7500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111711-63907,TE,Josh,Josh Oliver,Oliver,4.350000063578288,12,7000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
