entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,"","Instructions"
"3477290337","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-129210","111711-111631","111711-102703","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3477290339","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-129368","111711-12540","111711-12532","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3477290340","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-129210","111711-111631","111711-92859","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3477290342","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-129210","111711-111631","111711-57091","","4) You can not use this form to create new entries"
"3477290344","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-86997","111711-71706","111711-57091",""
"3477290347","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-111631","111711-105646","111711-92859","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3477290349","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-85671","111711-40442","111711-105646","111711-57091","",111711-85671:Justin Jefferson,111711-85671,WR,Justin,Justin Jefferson,Jefferson,17.1299991607666,16,15000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290350","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-85671","111711-40442","111711-111631","111711-102703","",111711-38435:Jared Goff,111711-38435,QB,Jared,Jared Goff,Goff,21.420000076293945,16,14500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290352","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-85671","111711-129368","111711-71706","111711-92859","",111711-63589:Sam Darnold,111711-63589,QB,Sam,Sam Darnold,Darnold,20.082500457763672,16,14000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290354","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-85671","111711-40442","111711-111631","111711-92859","",111711-129368:Jahmyr Gibbs,111711-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,19.087499618530273,16,13500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290355","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-85671","111711-129368","111711-71706","111711-57091","",111711-86997:Amon-Ra St. Brown,111711-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.248750686645508,16,13000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290357","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-85671","111711-40442","111711-111631","111711-57091","",111711-40442:Aaron Jones Sr.,111711-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,13.256250381469727,16,11500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290359","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-85671","111711-129368","111711-92859","111711-57091","",111711-129210:Jordan Addison,111711-129210,WR,Jordan,Jordan Addison,Addison,13.321428571428571,14,11000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290362","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-129368","111711-85671","111711-40442","111711-111631","111711-102703","",111711-111631:Jameson Williams,111711-111631,WR,Jameson,Jameson Williams,Williams,13.271428789411273,14,10500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290364","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-129210","111711-129368","111711-40442","111711-85671","111711-12540","",111711-105646:Sam LaPorta,111711-105646,TE,Sam,Sam LaPorta,LaPorta,9.186666870117188,15,10000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290365","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-85671","111711-129368","111711-86997","111711-102703","111711-140176","",111711-71706:T.J. Hockenson,111711-71706,TE,T.J.,T.J. Hockenson,Hockenson,7.4555553860134545,9,9500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290366","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-40442","111711-129368","111711-85671","111711-129210","111711-12532","",111711-140176:Jake Bates,111711-140176,K,Jake,Jake Bates,Bates,9.5625,16,9000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290368","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-129368","111711-63589","111711-38435","111711-105646","111711-92859","",111711-102703:Will Reichard,111711-102703,K,Will,Will Reichard,Reichard,10,12,9000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290369","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-63589","111711-38435","111711-40442","111711-111631","111711-71706","",111711-12532:Detroit Lions,111711-12532,D,Detroit,Detroit Lions,Lions,7.3125,16,8500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290370","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-63589","111711-129210","111711-111631","111711-57091","",111711-12540:Minnesota Vikings,111711-12540,D,Minnesota,Minnesota Vikings,Vikings,9.8125,16,8500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290373","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-63589","111711-86997","111711-105646","111711-92859","",111711-57091:Tim Patrick,111711-57091,WR,Tim,Tim Patrick,Patrick,5.242857251848493,14,8000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290375","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-63589","111711-86997","111711-71706","111711-92859","",111711-92859:Jalen Nailor,111711-92859,WR,Jalen,Jalen Nailor,Nailor,5.871428353445871,14,8000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290376","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-129368","111711-38435","111711-129210","111711-111631","111711-102703","",111711-89230:Cam Akers,111711-89230,RB,Cam,Cam Akers,Akers,5.220000203450521,15,7500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290377","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-86997","111711-129368","111711-38435","111711-102703","111711-140176","",111711-104424:Craig Reynolds,111711-104424,RB,Craig,Craig Reynolds,Reynolds,2.5833333333333335,6,7500,MIN@DET,DET,MIN,Q,Back,,,,MVP - 1.5X Points/AnyFLEX
"3477290380","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-129368","111711-129210","111711-111631","111711-105646","",111711-63907:Josh Oliver,111711-63907,TE,Josh,Josh Oliver,Oliver,4.350000063578288,12,7000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290383","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-129368","111711-86997","111711-129210","111711-92859","",111711-91046:Brock Wright,111711-91046,TE,Brock,Brock Wright,Wright,2.85,10,7000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290384","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-129368","111711-86997","111711-111631","111711-92859","",111711-40371:Johnny Mundt,111711-40371,TE,Johnny,Johnny Mundt,Mundt,2.7461539048414965,13,6500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290386","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-129368","111711-86997","111711-129210","111711-57091","",111711-28643:Allen Robinson II,111711-28643,WR,Allen,Allen Robinson II,Robinson II,0.6428571428571429,7,6500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290387","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-129368","111711-40442","111711-129210","111711-71706","",111711-168076:Sione Vaki,111711-168076,RB,Sione,Sione Vaki,Vaki,1.3199999809265137,5,6000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477290388","111711-273839114","$3K Sun NFL Pooch Punt (150 Entries Max)","111711-38435","111711-129368","111711-40442","111711-111631","111711-71706","",111711-87371:Ty Chandler,111711-87371,RB,Ty,Ty Chandler,Chandler,1.8142856870378767,14,6000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477291415","111711-273839116","$15K Sun NFL Dive ($1K to 1st)","111711-38435","111711-85671","111711-129210","111711-111631","111711-92859","",111711-149832:Shane Zylstra,111711-149832,TE,Shane,Shane Zylstra,Zylstra,1.350000023841858,2,5500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477291507","111711-273839116","$15K Sun NFL Dive ($1K to 1st)","111711-38435","111711-63589","111711-129210","111711-111631","111711-57091","",111711-93023:Jermar Jefferson,111711-93023,RB,Jermar,Jermar Jefferson,Jefferson,1.850000023841858,2,5500,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"3477291546","111711-273839116","$15K Sun NFL Dive ($1K to 1st)","111711-38435","111711-129368","111711-86997","111711-129210","111711-92859","",111711-52345:Brandon Powell,111711-52345,WR,Brandon,Brandon Powell,Powell,0.7571428843906948,14,5500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477291560","111711-273839116","$15K Sun NFL Dive ($1K to 1st)","111711-38435","111711-129368","111711-86997","111711-111631","111711-92859","",111711-56059:Trent Sherfield Sr.,111711-56059,WR,Trent,Trent Sherfield Sr.,Sherfield Sr.,2.033333248562283,9,5500,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"3477291586","111711-273839116","$15K Sun NFL Dive ($1K to 1st)","111711-38435","111711-129368","111711-40442","111711-129210","111711-71706","",111711-58499:Parker Hesse,111711-58499,TE,Parker,Parker Hesse,Hesse,,0,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-92677:Zavier Scott,111711-92677,WR,Zavier,Zavier Scott,Scott,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-23435:Andrew DePaola,111711-23435,TE,Andrew,Andrew DePaola,DePaola,0,1,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-83086:Daurice Fountain,111711-83086,WR,Daurice,Daurice Fountain,Fountain,,0,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-70422:Kalif Raymond,111711-70422,WR,Kalif,Kalif Raymond,Raymond,4.218181956898082,11,5000,MIN@DET,DET,MIN,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-27801:Nate Sudfeld,111711-27801,QB,Nate,Nate Sudfeld,Sudfeld,,0,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-93853:Thayer Thomas,111711-93853,WR,Thayer,Thayer Thomas,Thomas,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-63519:Daniel Jones,111711-63519,QB,Daniel,Daniel Jones,Jones,14.230000305175782,10,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-91426:Donovan Peoples-Jones,111711-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,1.375,16,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-89127:Justin Hall,111711-89127,WR,Justin,Justin Hall,Hall,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-104102:Leroy Watson IV,111711-104102,TE,Leroy,Leroy Watson IV,Watson IV,0,1,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-201257:Devron Harper,111711-201257,WR,Devron,Devron Harper,Harper,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-72493:Trishton Jackson,111711-72493,WR,Trishton,Trishton Jackson,Jackson,1.3000000317891438,3,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-88630:Matt Corral,111711-88630,QB,Matt,Matt Corral,Corral,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-73273:David Montgomery,111711-73273,RB,David,David Montgomery,Montgomery,14.765714372907366,14,5000,MIN@DET,DET,MIN,O,Knee - mcl,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-59455:Sammis Reyes,111711-59455,TE,Sammis,Sammis Reyes,Reyes,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-104388:Tom Kennedy,111711-104388,WR,Tom,Tom Kennedy,Kennedy,0,3,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-73551:Stantley Thomas-Oliver III,111711-73551,WR,Stantley,Stantley Thomas-Oliver III,Thomas-Oliver III,,0,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-102735:Trey Knox,111711-102735,TE,Trey,Trey Knox,Knox,,0,5000,MIN@DET,MIN,DET,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-136663:DeWayne McBride,111711-136663,RB,DeWayne,DeWayne McBride,McBride,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-41562:Nick Mullens,111711-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-65627:Maurice Alexander,111711-65627,WR,Maurice,Maurice Alexander,Alexander,0,1,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-93531:Antoine Green,111711-93531,WR,Antoine,Antoine Green,Green,0.23333332935969034,3,5000,MIN@DET,DET,MIN,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-85983:Hendon Hooker,111711-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-63967:Lucky Jackson,111711-63967,WR,Lucky,Lucky Jackson,Jackson,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-85986:James Mitchell,111711-85986,TE,James,James Mitchell,Mitchell,1.2666666507720947,3,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-88290:Jeshaun Jones,111711-88290,WR,Jeshaun,Jeshaun Jones,Jones,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-70501:C.J. Ham,111711-70501,RB,C.J.,C.J. Ham,Ham,2.2,5,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-61157:Brett Rypien,111711-61157,QB,Brett,Brett Rypien,Rypien,0,1,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-110950:Jalon Calhoun,111711-110950,WR,Jalon,Jalon Calhoun,Calhoun,,0,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-55145:Michael Badgley,111711-55145,K,Michael,Michael Badgley,Badgley,6.857142857142857,7,5000,MIN@DET,DET,MIN,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-33259:Teddy Bridgewater,111711-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,-0.10000000149011612,2,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-91639:Jake Fromm,111711-91639,QB,Jake,Jake Fromm,Fromm,,0,5000,MIN@DET,DET,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-85881:Mohamed Ibrahim,111711-85881,RB,Mohamed,Mohamed Ibrahim,Ibrahim,0,1,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-115581:Ty James,111711-115581,WR,Ty,Ty James,James,,0,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-152575:J.J. McCarthy,111711-152575,QB,J.J.,J.J. McCarthy,McCarthy,,0,5000,MIN@DET,MIN,DET,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-57342:Tre'Quan Smith,111711-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,0,1,5000,MIN@DET,DET,MIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111711-96254:Nick Muse,111711-96254,TE,Nick,Nick Muse,Muse,0,2,5000,MIN@DET,MIN,DET,,,,,,MVP - 1.5X Points/AnyFLEX
