Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107260-62239,QB,Josh,Josh Allen,Allen,20.469999313354492,2,17500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-91626,RB,James,James Cook,Cook,19.899999618530273,2,15500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-89951,QB,Trevor,Trevor Lawrence,Lawrence,12.289999961853027,2,13500,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,12.100000381469727,2,13000,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-145558,TE,Dalton,Dalton Kincaid,Kincaid,3.450000047683716,2,12000,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,11.550000190734863,2,11000,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-157467,WR,Keon,Keon Coleman,Coleman,3.549999952316284,2,10500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-86518,WR,Khalil,Khalil Shakir,Shakir,9.899999618530273,2,10000,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-60858,WR,Christian,Christian Kirk,Kirk,1.9500000476837158,2,9500,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-94534,WR,Gabe,Gabe Davis,Davis,6.75,2,9500,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-103587,TE,Brenton,Brenton Strange,Strange,8,1,9000,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-12526,D,Buffalo,Buffalo Bills,Bills,12,2,9000,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-128693,RB,Tank,Tank Bigsby,Bigsby,7.300000190734863,1,8500,JAC@BUF,JAC,BUF,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
107260-65128,K,Tyler,Tyler Bass,Bass,9,2,8500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,3.5,2,8000,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-154442,K,Cam,Cam Little,Little,7,2,8000,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-103694,RB,Ray,Ray Davis,Davis,3.25,2,7500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,2.5999999046325684,1,7500,JAC@BUF,JAC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107260-52613,WR,Curtis,Curtis Samuel,Samuel,1.649999976158142,2,7000,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-25267,WR,Mack,Mack Hollins,Hollins,4.75,2,7000,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-64585,TE,Dawson,Dawson Knox,Knox,2.799999952316284,1,6500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
107260-63050,RB,Ty,Ty Johnson,Johnson,2.200000047683716,2,6500,JAC@BUF,BUF,JAC,,,,,,MVP - 1.5X Points/AnyFLEX
