Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107208-57439,QB,Patrick,Patrick Mahomes,Mahomes,15.289999961853027,2,17000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-136855,RB,Bijan,Bijan Robinson,Robinson,13.899999618530273,2,15500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-22038,QB,Kirk,Kirk Cousins,Cousins,12.869999885559082,2,14000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-111311,WR,Rashee,Rashee Rice,Rice,16.399999618530273,2,13000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-33076,TE,Travis,Travis Kelce,Kelce,3,2,12000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-112745,WR,Drake,Drake London,London,8.449999809265137,2,11500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-52451,RB,Samaje,Samaje Perine,Perine,1.149999976158142,2,10500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-86080,TE,Kyle,Kyle Pitts,Pitts,6.800000190734863,2,10000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-69777,WR,Darnell,Darnell Mooney,Mooney,9.149999618530273,2,9500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-158974,WR,Xavier,Xavier Worthy,Worthy,11.5,2,9500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-41642,K,Harrison,Harrison Butker,Butker,9.5,2,9000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-53212,K,Younghoe,Younghoe Koo,Koo,7,2,9000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-156523,RB,Carson,Carson Steele,Steele,0.3499999940395355,2,8500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7.5,2,8500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-90428,RB,Tyler,Tyler Allgeier,Allgeier,4.550000190734863,2,8000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-12525,D,Atlanta,Atlanta Falcons,Falcons,3,2,8000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-45229,RB,Kareem,Kareem Hunt,Hunt,8.0625,16,7500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,6.599999904632568,2,7500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-83083,WR,Justin,Justin Watson,Watson,3.0999999046325684,2,7000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-93143,TE,Noah,Noah Gray,Gray,5.199999809265137,1,7000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-71351,TE,Charlie,Charlie Woerner,Woerner,0.8999999761581421,1,6500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-71352,WR,Mecole,Mecole Hardman,Hardman,0,2,6500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,0,1,6000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.323076981764573,13,6000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-119610,RB,Jase,Jase McClellan,McClellan,,0,5500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-112062,WR,Skyy,Skyy Moore,Moore,3.323076981764573,13,5500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-91618,TE,John,John FitzPatrick,FitzPatrick,0.8500000238418579,2,5500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-170113,TE,Kehinde,Kehinde Oginni,Oginni,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-70023,WR,Cornell,Cornell Powell,Powell,,0,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-27403,TE,Blake,Blake Bell,Bell,1.3000000544956751,7,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,5000,KC@ATL,KC,ATL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
107208-167311,WR,OJ,OJ Hiliare,Hiliare,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-94099,RB,Robert,Robert Burns,Burns,,0,5000,KC@ATL,ATL,KC,NA,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
107208-103192,TE,Jared,Jared Wiley,Wiley,1.2000000476837158,1,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-92575,RB,Isiah,Isiah Pacheco,Pacheco,14.199999809265137,2,5000,KC@ATL,KC,ATL,IR,Lower leg,,,,MVP - 1.5X Points/AnyFLEX
107208-86687,WR,Hollywood,Hollywood Brown,Brown,8.3999997652494,13,5000,KC@ATL,KC,ATL,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
107208-73118,QB,Ian,Ian Book,Book,,0,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-112037,WR,Casey,Casey Washington,Washington,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-201508,WR,Jaaron,Jaaron Hayek,Hayek,,0,5000,KC@ATL,KC,ATL,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
107208-103081,TE,Austin,Austin Stogner,Stogner,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-30761,QB,Nathan,Nathan Peterman,Peterman,-0.10000000149011612,4,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-201263,WR,Kyle,Kyle Sheets,Sheets,,0,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-70324,QB,Carson,Carson Wentz,Wentz,27.1200008392334,1,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-73398,QB,Chris,Chris Oladokun,Oladokun,,0,5000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107208-89785,RB,Spencer,Spencer Brown,Brown,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-89147,QB,John,John Paddock,Paddock,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-32703,WR,Jakeem,Jakeem Grant Sr.,Grant Sr.,,0,5000,KC@ATL,ATL,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
107208-83138,TE,Ross,Ross Dwelley,Dwelley,0.42500001192092896,4,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-55748,WR,James,James Washington,Washington,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-43973,RB,Keith,Keith Smith,Smith,0.6857143129621234,7,5000,KC@ATL,ATL,KC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
107208-174148,RB,Carlos,Carlos Washington Jr.,Washington Jr.,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107208-87112,WR,Josh,Josh Ali,Ali,,0,5000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
