entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3389163176,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-22038:Kirk Cousins,107208-136855:Bijan Robinson,107208-111311:Rashee Rice,107208-158974:Xavier Worthy,107208-62055:Ray-Ray McCloud III,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3389163178,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-111311:Rashee Rice,107208-136855:Bijan Robinson,107208-112745:Drake London,107208-158974:Xavier Worthy,107208-41642:Harrison Butker,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3389163179,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-136855:Bijan Robinson,107208-111311:Rashee Rice,107208-112745:Drake London,107208-158974:Xavier Worthy,107208-69777:Darnell Mooney,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3389163180,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-111311:Rashee Rice,107208-22038:Kirk Cousins,107208-136855:Bijan Robinson,107208-158974:Xavier Worthy,107208-83083:Justin Watson,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3389163182,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-136855:Bijan Robinson,107208-22038:Kirk Cousins,107208-111311:Rashee Rice,107208-158974:Xavier Worthy,107208-83083:Justin Watson,,,,,,,,,,,,,,,,,,,
3389163183,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-136855:Bijan Robinson,107208-111311:Rashee Rice,107208-112745:Drake London,107208-86080:Kyle Pitts,107208-158974:Xavier Worthy,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3389163186,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-57439:Patrick Mahomes,107208-111311:Rashee Rice,107208-112745:Drake London,107208-41642:Harrison Butker,107208-62055:Ray-Ray McCloud III,,107208-57439:Patrick Mahomes,107208-57439,QB,Patrick,Patrick Mahomes,Mahomes,15.28999996,2,17000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3389163187,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-57439:Patrick Mahomes,107208-111311:Rashee Rice,107208-112745:Drake London,107208-158974:Xavier Worthy,107208-90428:Tyler Allgeier,,107208-136855:Bijan Robinson,107208-136855,RB,Bijan,Bijan Robinson,Robinson,13.89999962,2,15500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3389163190,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-22038:Kirk Cousins,107208-57439:Patrick Mahomes,107208-86080:Kyle Pitts,107208-158974:Xavier Worthy,107208-69777:Darnell Mooney,,107208-22038:Kirk Cousins,107208-22038,QB,Kirk,Kirk Cousins,Cousins,12.86999989,2,14000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3389163192,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-57439:Patrick Mahomes,107208-22038:Kirk Cousins,107208-111311:Rashee Rice,107208-62055:Ray-Ray McCloud III,107208-83083:Justin Watson,,107208-111311:Rashee Rice,107208-111311,WR,Rashee,Rashee Rice,Rice,16.39999962,2,13000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3389163195,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-22038:Kirk Cousins,107208-136855:Bijan Robinson,107208-111311:Rashee Rice,107208-69777:Darnell Mooney,107208-83083:Justin Watson,,107208-33076:Travis Kelce,107208-33076,TE,Travis,Travis Kelce,Kelce,3,2,12000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3389163197,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-57439:Patrick Mahomes,107208-112745:Drake London,107208-158974:Xavier Worthy,107208-41642:Harrison Butker,107208-53212:Younghoe Koo,,107208-112745:Drake London,107208-112745,WR,Drake,Drake London,London,8.449999809,2,11500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3389163198,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-53212:Younghoe Koo,107208-111311:Rashee Rice,107208-112745:Drake London,107208-69777:Darnell Mooney,107208-57439:Patrick Mahomes,,107208-52451:Samaje Perine,107208-52451,RB,Samaje,Samaje Perine,Perine,1.149999976,2,10500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3389163199,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-57439:Patrick Mahomes,107208-136855:Bijan Robinson,107208-158974:Xavier Worthy,107208-69777:Darnell Mooney,107208-156523:Carson Steele,,107208-86080:Kyle Pitts,107208-86080,TE,Kyle,Kyle Pitts,Pitts,6.800000191,2,10000,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3389163202,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-111311:Rashee Rice,107208-136855:Bijan Robinson,107208-112745:Drake London,107208-41642:Harrison Butker,107208-83083:Justin Watson,,107208-69777:Darnell Mooney,107208-69777,WR,Darnell,Darnell Mooney,Mooney,9.149999619,2,9500,KC@ATL,ATL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3389163203,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-112745:Drake London,107208-57439:Patrick Mahomes,107208-158974:Xavier Worthy,107208-41642:Harrison Butker,107208-53212:Younghoe Koo,,107208-158974:Xavier Worthy,107208-158974,WR,Xavier,Xavier Worthy,Worthy,11.5,2,9500,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3389163205,107208-271114599,$4K Sun NFL Pooch Punt (150 Entries Max),107208-22038:Kirk Cousins,107208-57439:Patrick Mahomes,107208-112745:Drake London,107208-69777:Darnell Mooney,107208-83083:Justin Watson,,107208-41642:Harrison Butker,107208-41642,K,Harrison,Harrison Butker,Butker,9.5,2,9000,KC@ATL,KC,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
