Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107022-103064,RB,Breece,Breece Hall,Hall,18.350000381469727,2,16000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,19.549999237060547,2,15000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-6894,QB,Aaron,Aaron Rodgers,Rodgers,12.359999656677246,2,14000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-103564,WR,Garrett,Garrett Wilson,Wilson,8.600000381469727,2,13000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-30231,QB,Jacoby,Jacoby Brissett,Brissett,9.300000190734863,2,12500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-152316,QB,Drake,Drake Maye,Maye,,0,12500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-90933,RB,Antonio,Antonio Gibson,Gibson,6.300000190734863,2,11500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-40845,TE,Hunter,Hunter Henry,Henry,10.350000381469727,2,11000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-158412,RB,Braelon,Braelon Allen,Allen,10.399999618530273,2,10000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-12544,D,New York,New York Jets,Jets,6.5,2,9500,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-56809,WR,Allen,Allen Lazard,Lazard,13,2,9500,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-39829,WR,Mike,Mike Williams,Williams,2.4000000953674316,1,9000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-12541,D,New England,New England Patriots,Patriots,7,2,9000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-56378,K,Joey,Joey Slye,Slye,9,2,8500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-22109,K,Greg,Greg Zuerlein,Zuerlein,3.5,2,8500,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-60451,TE,Tyler,Tyler Conklin,Conklin,1.2999999523162842,2,8000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-120694,WR,Ja'Lynn,Ja'Lynn Polk,Polk,4.650000095367432,2,8000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-111876,WR,DeMario,DeMario Douglas,Douglas,2.200000047683716,1,7500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-63855,WR,K.J.,K.J. Osborn,Osborn,2.4000000953674316,2,7500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-89220,WR,Tyquan,Tyquan Thornton,Thornton,3.700000047683716,1,7000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-40126,TE,Austin,Austin Hooper,Hooper,2.549999952316284,2,7000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-87815,TE,Jeremy,Jeremy Ruckert,Ruckert,0,1,6500,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-112455,WR,Xavier,Xavier Gipson,Gipson,0,2,6500,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-128913,WR,Malachi,Malachi Corley,Corley,0.8999999761581421,1,6000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-160213,RB,Isaiah,Isaiah Davis,Davis,,0,6000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-65724,RB,JaMycal,JaMycal Hasty,Hasty,0.10000000149011612,2,5500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-138746,WR,Javon,Javon Baker,Baker,,0,5500,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-94469,QB,Andrew,Andrew Peasley,Peasley,,0,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-92937,QB,Jordan,Jordan Travis,Travis,,0,5000,NE@NYJ,NYJ,NE,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
107022-61200,WR,Jaylinn,Jaylinn Hawkins,Hawkins,0,2,5000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-138643,WR,Jason,Jason Brownlee,Brownlee,2.8200000762939452,5,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-28434,QB,Trevor,Trevor Siemian,Siemian,6.191999816894532,5,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-64403,WR,Irvin,Irvin Charles,Charles,0,2,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-92957,WR,Marcus,Marcus Riley,Riley,,0,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-90268,QB,Colby,Colby Suits,Suits,,0,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-73247,RB,Kene,Kene Nwangwu,Nwangwu,0.1444444391462538,9,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-65182,TE,Mitchell,Mitchell Wilcox,Wilcox,0.9181818528608843,11,5000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-94625,WR,Jalen,Jalen Reagor,Reagor,2.5,10,5000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107022-80289,WR,Kendrick,Kendrick Bourne,Bourne,10.1875,8,5000,NE@NYJ,NE,NYJ,NA,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
107022-80294,TE,Anthony,Anthony Firkser,Firkser,1.2999999523162842,1,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
107022-14377,QB,Tyrod,Tyrod Taylor,Taylor,6.139999866485596,1,5000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
