entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3386624179,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-103064:Breece Hall,107022-111540:Rhamondre Stevenson,107022-40845:Hunter Henry,107022-158412:Braelon Allen,107022-120694:Ja'Lynn Polk,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3386624181,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-111540:Rhamondre Stevenson,107022-103064:Breece Hall,107022-40845:Hunter Henry,107022-158412:Braelon Allen,107022-120694:Ja'Lynn Polk,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3386624182,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-111540:Rhamondre Stevenson,107022-6894:Aaron Rodgers,107022-30231:Jacoby Brissett,107022-158412:Braelon Allen,107022-56378:Joey Slye,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3386624184,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-111540:Rhamondre Stevenson,107022-103064:Breece Hall,107022-40845:Hunter Henry,107022-158412:Braelon Allen,107022-60451:Tyler Conklin,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3386624185,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-6894:Aaron Rodgers,107022-111540:Rhamondre Stevenson,107022-30231:Jacoby Brissett,107022-158412:Braelon Allen,107022-56378:Joey Slye,,,,,,,,,,,,,,,,,,,
3386624186,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-103064:Breece Hall,107022-6894:Aaron Rodgers,107022-30231:Jacoby Brissett,107022-56378:Joey Slye,107022-120694:Ja'Lynn Polk,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3386624188,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-103064:Breece Hall,107022-6894:Aaron Rodgers,107022-30231:Jacoby Brissett,107022-158412:Braelon Allen,107022-63855:K.J. Osborn,,107022-103064:Breece Hall,107022-103064,RB,Breece,Breece Hall,Hall,18.35000038,2,16000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
3386624189,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-103064:Breece Hall,107022-6894:Aaron Rodgers,107022-30231:Jacoby Brissett,107022-56378:Joey Slye,107022-22109:Greg Zuerlein,,107022-111540:Rhamondre Stevenson,107022-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,19.54999924,2,15000,NE@NYJ,NE,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
3386624190,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-103064:Breece Hall,107022-6894:Aaron Rodgers,107022-40845:Hunter Henry,107022-158412:Braelon Allen,107022-63855:K.J. Osborn,,107022-6894:Aaron Rodgers,107022-6894,QB,Aaron,Aaron Rodgers,Rodgers,12.35999966,2,14000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
3386624192,107022-271021290,$10K Thu NFL Pooch Punt (150 Entries Max),107022-6894:Aaron Rodgers,107022-103064:Breece Hall,107022-40845:Hunter Henry,107022-158412:Braelon Allen,107022-120694:Ja'Lynn Polk,,107022-103564:Garrett Wilson,107022-103564,WR,Garrett,Garrett Wilson,Wilson,8.600000381,2,13000,NE@NYJ,NYJ,NE,,,,,,MVP - 1.5X Points/AnyFLEX
