Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107261-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,7.349999904632568,2,15500,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-102785,QB,Jayden,Jayden Daniels,Daniels,20.799999237060547,2,15000,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-63336,QB,Joe,Joe Burrow,Burrow,12.640000343322754,2,14000,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,16.75,2,13000,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-89981,WR,Tee,Tee Higgins,Higgins,8.969230651855469,13,12500,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-70027,RB,Zack,Zack Moss,Moss,9.149999618530273,2,12000,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-80001,RB,Austin,Austin Ekeler,Ekeler,9.100000381469727,2,11000,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-56250,WR,Terry,Terry McLaurin,McLaurin,3.950000047683716,2,10500,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-56265,TE,Mike,Mike Gesicki,Gesicki,7.949999809265137,2,10000,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-29780,TE,Zach,Zach Ertz,Ertz,6.25,2,9500,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-185593,WR,Andrei,Andrei Iosivas,Iosivas,8.899999618530273,2,9500,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-86092,K,Evan,Evan McPherson,McPherson,11,2,9000,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-60914,K,Austin,Austin Seibert,Seibert,22,1,9000,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-89493,RB,Chase,Chase Brown,Brown,3.450000047683716,2,8500,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-12528,D,Cincinnati,Cincinnati Bengals,Bengals,5.5,2,8500,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-12552,D,Washington,Washington Commanders,Commanders,0.5,2,8000,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,2.450000047683716,2,8000,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-56248,WR,Noah,Noah Brown,Brown,7.099999904632568,1,7500,WAS@CIN,WAS,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
107261-133484,WR,Jermaine,Jermaine Burton,Burton,5.199999809265137,1,7500,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
107261-64905,WR,Trenton,Trenton Irwin,Irwin,1.0499999523162842,2,7000,WAS@CIN,CIN,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
