Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107283-31716,QB,Dak,Dak Prescott,Prescott,19.746667226155598,3,16000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-151761,WR,Malik,Malik Nabers,Nabers,20,3,15000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.59999974568685,3,14500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-63519,QB,Daniel,Daniel Jones,Jones,14.90000025431315,3,13000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-70603,RB,Devin,Devin Singletary,Singletary,12.666666666666666,3,12000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,5.933333079020183,3,11500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-29501,WR,Brandin,Brandin Cooks,Cooks,5.900000254313151,3,10500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,9.066666920979818,3,10000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-89680,TE,Jake,Jake Ferguson,Ferguson,7.75,2,9500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-189471,K,Brandon,Brandon Aubrey,Aubrey,16.333333333333332,3,9000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-12530,D,Dallas,Dallas Cowboys,Cowboys,5.666666666666667,3,9000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-55515,K,Greg,Greg Joseph,Joseph,3,1,8500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-12543,D,New York,New York Giants,Giants,7.666666666666667,3,8500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-88548,WR,Jalen,Jalen Tolbert,Tolbert,8.200000127156576,3,8000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-72297,RB,Rico,Rico Dowdle,Dowdle,6.233333587646484,3,8000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,4.150000095367432,2,7500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-63819,WR,Darius,Darius Slayton,Slayton,3.366666793823242,3,7500,DAL@NYG,NYG,DAL,Q,Thumb,,,,MVP - 1.5X Points/AnyFLEX
107283-60957,WR,KaVontae,KaVontae Turpin,Turpin,6.766666412353516,3,7000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
107283-90307,TE,Daniel,Daniel Bellinger,Bellinger,1.5,2,7000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107283-185863,RB,Hunter,Hunter Luepke,Luepke,3.950000047683716,2,6500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
