entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3391792822,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-151761:Malik Nabers,107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-70603:Devin Singletary,107283-88548:Jalen Tolbert,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3391792823,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-31716:Dak Prescott,107283-151761:Malik Nabers,107283-103539:Wan'Dale Robinson,107283-88548:Jalen Tolbert,107283-29501:Brandin Cooks,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3391792824,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-151761:Malik Nabers,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-88548:Jalen Tolbert,107283-29501:Brandin Cooks,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3391792825,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-31716:Dak Prescott,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-72297:Rico Dowdle,107283-29501:Brandin Cooks,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3391792826,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-151761:Malik Nabers,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-72297:Rico Dowdle,107283-89680:Jake Ferguson,,,,,,,,,,,,,,,,,,,
3391792828,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-86631:CeeDee Lamb,107283-63519:Daniel Jones,107283-31716:Dak Prescott,107283-88548:Jalen Tolbert,107283-55515:Greg Joseph,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3391792829,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-63519:Daniel Jones,107283-151761:Malik Nabers,107283-86631:CeeDee Lamb,107283-29501:Brandin Cooks,107283-128810:Theo Johnson,,107283-31716:Dak Prescott,107283-31716,QB,Dak,Dak Prescott,Prescott,19.74666723,3,16000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
3391792830,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-31716:Dak Prescott,107283-86631:CeeDee Lamb,107283-103539:Wan'Dale Robinson,107283-89680:Jake Ferguson,107283-63819:Darius Slayton,,107283-151761:Malik Nabers,107283-151761,WR,Malik,Malik Nabers,Nabers,20,3,15000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
3391792832,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-63519:Daniel Jones,107283-151761:Malik Nabers,107283-103539:Wan'Dale Robinson,107283-89680:Jake Ferguson,107283-128810:Theo Johnson,,107283-86631:CeeDee Lamb,107283-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.59999975,3,14500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
3391792833,107283-271177500,$22K Thu NFL Hail Mary (Only $0.25 To Enter),107283-72297:Rico Dowdle,107283-86631:CeeDee Lamb,107283-151761:Malik Nabers,107283-89680:Jake Ferguson,107283-63819:Darius Slayton,,107283-63519:Daniel Jones,107283-63519,QB,Daniel,Daniel Jones,Jones,14.90000025,3,13000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
