MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
107283-151761:Malik Nabers,107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-70603:Devin Singletary,107283-88548:Jalen Tolbert
107283-151761:Malik Nabers,107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-70603:Devin Singletary,107283-72297:Rico Dowdle
107283-151761:Malik Nabers,107283-189471:Brandon Aubrey,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-103539:Wan'Dale Robinson
107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-103539:Wan'Dale Robinson
107283-151761:Malik Nabers,107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-103539:Wan'Dale Robinson,107283-88548:Jalen Tolbert
107283-151761:Malik Nabers,107283-189471:Brandon Aubrey,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-88548:Jalen Tolbert
107283-151761:Malik Nabers,107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-103539:Wan'Dale Robinson,107283-12543:New York Giants
107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-88548:Jalen Tolbert
107283-151761:Malik Nabers,107283-189471:Brandon Aubrey,107283-63519:Daniel Jones,107283-70603:Devin Singletary,107283-12543:New York Giants
107283-151761:Malik Nabers,107283-31716:Dak Prescott,107283-189471:Brandon Aubrey,107283-63519:Daniel Jones,107283-128810:Theo Johnson
