Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107540-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,13.40000025431315,3,15000,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,15.266666412353516,3,14000,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-73048,WR,DK,DK Metcalf,Metcalf,17.566666920979817,3,13500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-26483,QB,Geno,Geno Smith,Smith,17.693333943684895,3,13000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-38435,QB,Jared,Jared Goff,Goff,13.906667073567709,3,12500,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-73273,RB,David,David Montgomery,Montgomery,17.833333333333332,3,12000,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-103342,RB,Kenneth,Kenneth Walker III,Walker III,20.899999618530273,1,11500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-111631,WR,Jameson,Jameson Williams,Williams,12.5,3,10500,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,9.666666666666666,3,10000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-27050,WR,Tyler,Tyler Lockett,Lockett,6.766666412353516,3,9500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-105646,TE,Sam,Sam LaPorta,LaPorta,4.466666539510091,3,9500,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-12550,D,Seattle,Seattle Seahawks,Seahawks,9.333333333333334,3,9000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-12532,D,Detroit,Detroit Lions,Lions,6.666666666666667,3,9000,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-140176,K,Jake,Jake Bates,Bates,6.666666666666667,3,8500,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-60745,K,Jason,Jason Myers,Myers,10,3,8500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-71705,TE,Noah,Noah Fant,Fant,4.333333333333333,3,8000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-103376,RB,Zach,Zach Charbonnet,Charbonnet,16.900000254313152,3,8000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-57091,WR,Tim,Tim Patrick,Patrick,1.75,2,7500,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-110230,RB,Kenny,Kenny McIntosh,McIntosh,1.100000023841858,1,7500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-91046,TE,Brock,Brock Wright,Wright,3.049999952316284,2,7500,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-70422,WR,Kalif,Kalif Raymond,Raymond,1.8000000317891438,3,7000,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107540-87859,WR,Laviska,Laviska Shenault Jr.,Shenault Jr.,0.8000000317891439,3,7000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-137953,TE,AJ,AJ Barner,Barner,2.799999952316284,1,6500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-29411,TE,Pharaoh,Pharaoh Brown,Brown,1.399999976158142,1,6500,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-93150,WR,Jake,Jake Bobo,Bobo,2.5,1,6000,SEA@DET,SEA,DET,,,,,,MVP - 1.5X Points/AnyFLEX
107540-104424,RB,Craig,Craig Reynolds,Reynolds,2.7666667302449546,12,6000,SEA@DET,DET,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
