Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107539-138820,RB,De'Von,De'Von Achane,Achane,17.599999745686848,3,15500,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-53681,WR,Tyreek,Tyreek Hill,Hill,12.033332824707031,3,15000,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-70051,QB,Tyler,Tyler Huntley,Huntley,3.6600001198904857,7,13500,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-86243,QB,Will,Will Levis,Levis,12.2533327738444,3,13000,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-63759,RB,Tony,Tony Pollard,Pollard,11.333333333333334,3,12500,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-64555,WR,Calvin,Calvin Ridley,Ridley,10.200000127156576,3,11500,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-90573,WR,Jaylen,Jaylen Waddle,Waddle,9.266666412353516,3,11000,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-28744,RB,Raheem,Raheem Mostert,Mostert,2.9000000953674316,1,10500,TEN@MIA,MIA,TEN,Q,Chest,,,,MVP - 1.5X Points/AnyFLEX
107539-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.333333333333333,3,10000,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-12534,D,Tennessee,Tennessee Titans,Titans,4.333333333333333,3,9500,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-12539,D,Miami,Miami Dolphins,Dolphins,4.333333333333333,3,9500,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-52767,K,Jason,Jason Sanders,Sanders,5.666666666666667,3,9000,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-6642,K,Nick,Nick Folk,Folk,4.666666666666667,3,9000,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-107293,RB,Tyjae,Tyjae Spears,Spears,5.799999872843425,3,8500,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-48116,TE,Jonnu,Jonnu Smith,Smith,4.100000063578288,3,8500,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,2.066666603088379,3,8000,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-40482,QB,Tim,Tim Boyle,Boyle,3.759999990463257,1,8000,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-69294,QB,Skylar,Skylar Thompson,Thompson,3.940000057220459,2,8000,TEN@MIA,MIA,TEN,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
107539-88297,TE,Chig,Chig Okonkwo,Okonkwo,4.700000127156575,3,8000,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-152103,RB,Jaylen,Jaylen Wright,Wright,1.0499999523162842,2,7500,TEN@MIA,MIA,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
107539-40669,WR,Tyler,Tyler Boyd,Boyd,3.8999999364217124,3,7500,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
107539-28570,TE,Nick,Nick Vannett,Vannett,5,2,7000,TEN@MIA,TEN,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
