Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107769-86631,WR,CeeDee,CeeDee Lamb,Lamb,13.725000381469727,4,17000,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-31716,QB,Dak,Dak Prescott,Prescott,18.9950008392334,4,15500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-91591,QB,Justin,Justin Fields,Fields,19.424999237060547,4,15000,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-110246,WR,George,George Pickens,Pickens,9.600000381469727,4,12500,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-90575,RB,Najee,Najee Harris,Harris,9.050000190734863,4,12000,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-72297,RB,Rico,Rico Dowdle,Dowdle,7.824999809265137,4,11500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-89680,TE,Jake,Jake Ferguson,Ferguson,7.966666539510091,3,10500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-88548,WR,Jalen,Jalen Tolbert,Tolbert,7.125,4,10000,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,9,4,9500,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-189471,K,Brandon,Brandon Aubrey,Aubrey,15,4,9500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-32058,K,Chris,Chris Boswell,Boswell,12.75,4,9000,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-12530,D,Dallas,Dallas Cowboys,Cowboys,5.25,4,9000,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,5.175000190734863,4,8500,DAL@PIT,DAL,PIT,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
107769-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.525000095367432,4,8500,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,3.7750000953674316,4,8000,DAL@PIT,PIT,DAL,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
107769-112057,RB,Jaylen,Jaylen Warren,Warren,3.566666603088379,3,8000,DAL@PIT,PIT,DAL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
107769-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,4.150000095367432,2,7500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-90870,WR,Calvin,Calvin Austin III,Austin III,5.5,4,7500,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-60957,WR,KaVontae,KaVontae Turpin,Turpin,6.766666412353516,3,7000,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-133477,TE,Darnell,Darnell Washington,Washington,4.033333460489909,3,7000,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-185863,RB,Hunter,Hunter Luepke,Luepke,3.7000001271565757,3,6500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-64581,WR,Van,Van Jefferson,Jefferson,2.0333333015441895,3,6500,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-137254,RB,Deuce,Deuce Vaughn,Vaughn,1.4666666984558105,3,6000,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-29501,WR,Brandin,Brandin Cooks,Cooks,4.949999809265137,4,6000,DAL@PIT,DAL,PIT,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
107769-61273,WR,Scotty,Scotty Miller,Miller,4.099999904632568,1,6000,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
107769-138277,WR,Jalen,Jalen Brooks,Brooks,2.2333332697550454,3,5500,DAL@PIT,DAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
107769-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.399999976158142,1,5500,DAL@PIT,PIT,DAL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
107769-138037,WR,Roman,Roman Wilson,Wilson,,0,5500,DAL@PIT,PIT,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
