MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-86244:Pat Freiermuth
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-86244:Pat Freiermuth
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-88548:Jalen Tolbert
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-88548:Jalen Tolbert
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-89680:Jake Ferguson
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-89680:Jake Ferguson
107769-189471:Brandon Aubrey,107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-32058:Chris Boswell,107769-86244:Pat Freiermuth
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-90870:Calvin Austin III
107769-189471:Brandon Aubrey,107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-32058:Chris Boswell,107769-88548:Jalen Tolbert
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-90870:Calvin Austin III
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-60957:KaVontae Turpin
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-60957:KaVontae Turpin
107769-32058:Chris Boswell,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-91591:Justin Fields,107769-86244:Pat Freiermuth
107769-32058:Chris Boswell,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-91591:Justin Fields,107769-88548:Jalen Tolbert
107769-189471:Brandon Aubrey,107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-32058:Chris Boswell,107769-89680:Jake Ferguson
107769-189471:Brandon Aubrey,107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-32058:Chris Boswell,107769-90870:Calvin Austin III
107769-189471:Brandon Aubrey,107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-32058:Chris Boswell,107769-60957:KaVontae Turpin
107769-32058:Chris Boswell,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-91591:Justin Fields,107769-89680:Jake Ferguson
107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-86631:CeeDee Lamb,107769-32058:Chris Boswell,107769-86244:Pat Freiermuth
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-72297:Rico Dowdle,107769-86244:Pat Freiermuth
107769-32058:Chris Boswell,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-91591:Justin Fields,107769-90870:Calvin Austin III
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-72297:Rico Dowdle,107769-86244:Pat Freiermuth
107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-86631:CeeDee Lamb,107769-32058:Chris Boswell,107769-86244:Pat Freiermuth
107769-32058:Chris Boswell,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-91591:Justin Fields,107769-60957:KaVontae Turpin
107769-86244:Pat Freiermuth,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-32058:Chris Boswell,107769-91591:Justin Fields
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-86244:Pat Freiermuth,107769-88548:Jalen Tolbert
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-90575:Najee Harris,107769-90870:Calvin Austin III
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-86244:Pat Freiermuth,107769-88548:Jalen Tolbert
107769-91591:Justin Fields,107769-31716:Dak Prescott,107769-189471:Brandon Aubrey,107769-110246:George Pickens,107769-90870:Calvin Austin III
107769-31716:Dak Prescott,107769-91591:Justin Fields,107769-189471:Brandon Aubrey,107769-90575:Najee Harris,107769-90870:Calvin Austin III
