Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107841-42104,RB,Alvin,Alvin Kamara,Kamara,25.274999618530273,4,17000,NO@KC,NO,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107841-57439,QB,Patrick,Patrick Mahomes,Mahomes,15.489999771118164,4,16000,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
107841-45859,QB,Derek,Derek Carr,Carr,15.539999961853027,4,14500,NO@KC,NO,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107841-33076,TE,Travis,Travis Kelce,Kelce,5.849999904632568,4,13000,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
107841-87770,WR,Chris,Chris Olave,Olave,10.800000190734863,4,12500,NO@KC,NO,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107841-45229,RB,Kareem,Kareem Hunt,Hunt,9.5,1,12000,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
107841-158974,WR,Xavier,Xavier Worthy,Worthy,10.449999809265137,4,11000,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
107841-170287,WR,Rashid,Rashid Shaheed,Shaheed,11.350000381469727,4,10000,NO@KC,NO,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107841-83083,WR,Justin,Justin Watson,Watson,2.924999952316284,4,9500,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
107841-89348,K,Blake,Blake Grupe,Grupe,10.75,4,9000,NO@KC,NO,KC,,,,,,MVP - 1.5X Points/AnyFLEX
107841-41642,K,Harrison,Harrison Butker,Butker,9.25,4,9000,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
107841-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.5,4,8500,NO@KC,KC,NO,,,,,,MVP - 1.5X Points/AnyFLEX
