Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107555-41535,QB,Baker,Baker Mayfield,Mayfield,22.71500015258789,4,16000,TB@ATL,TB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107555-136855,RB,Bijan,Bijan Robinson,Robinson,12.350000381469727,4,14500,TB@ATL,ATL,TB,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
107555-32384,WR,Mike,Mike Evans,Evans,12.100000381469727,4,14000,TB@ATL,TB,ATL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
107555-22038,QB,Kirk,Kirk Cousins,Cousins,11.59000015258789,4,13500,TB@ATL,ATL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
107555-55635,WR,Chris,Chris Godwin,Godwin,16.674999237060547,4,12500,TB@ATL,TB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107555-112745,WR,Drake,Drake London,London,10.5,4,11500,TB@ATL,ATL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
107555-137902,RB,Rachaad,Rachaad White,White,7.949999809265137,4,10500,TB@ATL,TB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107555-152664,RB,Bucky,Bucky Irving,Irving,8.175000190734863,4,10000,TB@ATL,TB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107555-60479,K,Chase,Chase McLaughlin,McLaughlin,9.25,4,9500,TB@ATL,TB,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
107555-53212,K,Younghoe,Younghoe Koo,Koo,10.25,4,9500,TB@ATL,ATL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
107555-90428,RB,Tyler,Tyler Allgeier,Allgeier,5.324999809265137,4,9000,TB@ATL,ATL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
107555-86080,TE,Kyle,Kyle Pitts,Pitts,5.125,4,9000,TB@ATL,ATL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
