Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107899-62239,QB,Josh,Josh Allen,Allen,18.76000061035156,5,16500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107899-103564,WR,Garrett,Garrett Wilson,Wilson,11.84000015258789,5,14500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107899-91626,RB,James,James Cook,Cook,15.739999389648437,5,14000,BUF@NYJ,BUF,NYJ,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
107899-103064,RB,Breece,Breece Hall,Hall,12.2,5,13500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107899-6894,QB,Aaron,Aaron Rodgers,Rodgers,14.424000549316407,5,13000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107899-14377,QB,Tyrod,Tyrod Taylor,Taylor,6.139999866485596,1,12000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107899-86518,WR,Khalil,Khalil Shakir,Shakir,11.050000190734863,4,11500,BUF@NYJ,BUF,NYJ,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
107899-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.020000076293945,5,11000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107899-56809,WR,Allen,Allen Lazard,Lazard,11.6,5,10500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107899-157467,WR,Keon,Keon Coleman,Coleman,6.8,5,10000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
107899-158412,RB,Braelon,Braelon Allen,Allen,7.5,5,9500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
107899-22109,K,Greg,Greg Zuerlein,Zuerlein,5.6,5,9000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
