entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3406455462,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-62239:Josh Allen,107899-6894:Aaron Rodgers,107899-56809:Allen Lazard,107899-86518:Khalil Shakir,107899-12526:Buffalo Bills,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3406455463,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-62239:Josh Allen,107899-6894:Aaron Rodgers,107899-56809:Allen Lazard,107899-86518:Khalil Shakir,107899-63050:Ty Johnson,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3406455465,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-62239:Josh Allen,107899-103064:Breece Hall,107899-56809:Allen Lazard,107899-86518:Khalil Shakir,107899-25267:Mack Hollins,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3406455466,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-62239:Josh Allen,107899-6894:Aaron Rodgers,107899-103064:Breece Hall,107899-60451:Tyler Conklin,107899-25267:Mack Hollins,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3406455468,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-62239:Josh Allen,107899-6894:Aaron Rodgers,107899-103064:Breece Hall,107899-39829:Mike Williams,107899-25267:Mack Hollins,,,,,,,,,,,,,,,,,,,
3406455470,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-6894:Aaron Rodgers,107899-103064:Breece Hall,107899-56809:Allen Lazard,107899-86518:Khalil Shakir,107899-157467:Keon Coleman,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3406455473,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-6894:Aaron Rodgers,107899-103064:Breece Hall,107899-103564:Garrett Wilson,107899-86518:Khalil Shakir,107899-63050:Ty Johnson,,107899-62239:Josh Allen,107899-62239,QB,Josh,Josh Allen,Allen,18.76000061,5,16500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
3406455475,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-6894:Aaron Rodgers,107899-56809:Allen Lazard,107899-103564:Garrett Wilson,107899-86518:Khalil Shakir,107899-63050:Ty Johnson,,107899-103564:Garrett Wilson,107899-103564,WR,Garrett,Garrett Wilson,Wilson,11.84000015,5,14500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
3406455477,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-6894:Aaron Rodgers,107899-56809:Allen Lazard,107899-103564:Garrett Wilson,107899-157467:Keon Coleman,107899-63050:Ty Johnson,,107899-91626:James Cook,107899-91626,RB,James,James Cook,Cook,15.73999939,5,14000,BUF@NYJ,BUF,NYJ,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
3406455480,107899-271688055,$8K Mon NFL Pooch Punt (150 Entries Max),107899-6894:Aaron Rodgers,107899-103064:Breece Hall,107899-103564:Garrett Wilson,107899-145558:Dalton Kincaid,107899-25267:Mack Hollins,,107899-103064:Breece Hall,107899-103064,RB,Breece,Breece Hall,Hall,12.2,5,13500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-6894:Aaron Rodgers,107899-6894,QB,Aaron,Aaron Rodgers,Rodgers,14.42400055,5,13000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-14377:Tyrod Taylor,107899-14377,QB,Tyrod,Tyrod Taylor,Taylor,6.139999866,1,12000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-86518:Khalil Shakir,107899-86518,WR,Khalil,Khalil Shakir,Shakir,11.05000019,4,11500,BUF@NYJ,BUF,NYJ,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-145558:Dalton Kincaid,107899-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.020000076,5,11000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-56809:Allen Lazard,107899-56809,WR,Allen,Allen Lazard,Lazard,11.6,5,10500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-157467:Keon Coleman,107899-157467,WR,Keon,Keon Coleman,Coleman,6.8,5,10000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-158412:Braelon Allen,107899-158412,RB,Braelon,Braelon Allen,Allen,7.5,5,9500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-22109:Greg Zuerlein,107899-22109,K,Greg,Greg Zuerlein,Zuerlein,5.6,5,9000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-65128:Tyler Bass,107899-65128,K,Tyler,Tyler Bass,Bass,8.8,5,9000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-12544:New York Jets,107899-12544,D,New York,New York Jets,Jets,8.8,5,8500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-12526:Buffalo Bills,107899-12526,D,Buffalo,Buffalo Bills,Bills,8.2,5,8500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-39829:Mike Williams,107899-39829,WR,Mike,Mike Williams,Williams,4.875,4,8000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-60451:Tyler Conklin,107899-60451,TE,Tyler,Tyler Conklin,Conklin,5.320000076,5,8000,BUF@NYJ,NYJ,BUF,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-25267:Mack Hollins,107899-25267,WR,Mack,Mack Hollins,Hollins,3.259999847,5,7500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-63050:Ty Johnson,107899-63050,RB,Ty,Ty Johnson,Johnson,4.859999847,5,7500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-52613:Curtis Samuel,107899-52613,WR,Curtis,Curtis Samuel,Samuel,1.979999924,5,7000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-103694:Ray Davis,107899-103694,RB,Ray,Ray Davis,Davis,3.459999847,5,7000,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-40647:Marquez Valdes-Scantling,107899-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,0.719999981,5,6500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-64585:Dawson Knox,107899-64585,TE,Dawson,Dawson Knox,Knox,1.5,3,6500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-112455:Xavier Gipson,107899-112455,WR,Xavier,Xavier Gipson,Gipson,0.74000001,5,6000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-160213:Isaiah Davis,107899-160213,RB,Isaiah,Isaiah Davis,Davis,0.300000012,2,6000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-90123:Quintin Morris,107899-90123,TE,Quintin,Quintin Morris,Morris,3.200000127,3,5500,BUF@NYJ,BUF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-64403:Irvin Charles,107899-64403,WR,Irvin,Irvin Charles,Charles,0,2,5500,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-94469:Andrew Peasley,107899-94469,QB,Andrew,Andrew Peasley,Peasley,,0,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-87815:Jeremy Ruckert,107899-87815,TE,Jeremy,Jeremy Ruckert,Ruckert,1.5,3,5000,BUF@NYJ,NYJ,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,107899-92937:Jordan Travis,107899-92937,QB,Jordan,Jordan Travis,Travis,,0,5000,BUF@NYJ,NYJ,BUF,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
