Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108048-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,19.960000610351564,5,17000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-63336,QB,Joe,Joe Burrow,Burrow,21.73999938964844,5,16000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-151761,WR,Malik,Malik Nabers,Nabers,20.024999618530273,4,15500,CIN@NYG,NYG,CIN,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
108048-63519,QB,Daniel,Daniel Jones,Jones,15.463999938964843,5,14000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-89981,WR,Tee,Tee Higgins,Higgins,13.066666920979818,3,13000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,10.55999984741211,5,11000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-89493,RB,Chase,Chase Brown,Brown,10.38000030517578,5,10500,CIN@NYG,CIN,NYG,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
108048-70027,RB,Zack,Zack Moss,Moss,11.8,5,10000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,5.1,5,9500,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-70603,RB,Devin,Devin Singletary,Singletary,10.574999809265137,4,9500,CIN@NYG,NYG,CIN,O,Groin,,,,MVP - 1.5X Points/AnyFLEX
108048-86092,K,Evan,Evan McPherson,McPherson,9.6,5,9000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-55515,K,Greg,Greg Joseph,Joseph,11,3,9000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-63819,WR,Darius,Darius Slayton,Slayton,8.480000305175782,5,8500,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-185593,WR,Andrei,Andrei Iosivas,Iosivas,7.8599998474121096,5,8500,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-12528,D,Cincinnati,Cincinnati Bengals,Bengals,2.4,5,8000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-12543,D,New York,New York Giants,Giants,8.6,5,8000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-102928,RB,Eric,Eric Gray,Gray,1,5,7500,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-56265,TE,Mike,Mike Gesicki,Gesicki,5.259999847412109,5,7500,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-128810,TE,Theo,Theo Johnson,Johnson,3.125,4,7000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-103378,TE,Erick,Erick All Jr.,All Jr.,4.050000190734863,4,7000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-90307,TE,Daniel,Daniel Bellinger,Bellinger,1.5,2,6500,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-133484,WR,Jermaine,Jermaine Burton,Burton,5.199999809265137,1,6500,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-56711,TE,Drew,Drew Sample,Sample,2.4000000953674316,2,6000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-64905,WR,Trenton,Trenton Irwin,Irwin,1.0499999523162842,2,6000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-88752,WR,Charlie,Charlie Jones,Jones,-0.25,4,5500,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-139094,WR,Jalin,Jalin Hyatt,Hyatt,0,3,5500,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0,3,5500,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-69860,RB,Trayveon,Trayveon Williams,Williams,0,3,5500,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-104577,WR,Gunner,Gunner Olszewski,Olszewski,0.25,10,5000,CIN@NYG,NYG,CIN,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
108048-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0.853846183189979,13,5000,CIN@NYG,NYG,CIN,Q,Lower body,,,,MVP - 1.5X Points/AnyFLEX
108048-91912,WR,Chase,Chase Cota,Cota,,0,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-94864,RB,Jashaun,Jashaun Corbin,Corbin,1.399999976158142,2,5000,CIN@NYG,NYG,CIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108048-92056,TE,Cal,Cal Adomitis,Adomitis,0,2,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-94748,QB,Tommy,Tommy DeVito,DeVito,10.726666768391928,9,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-63646,TE,Lawrence,Lawrence Cager,Cager,2.3200000762939452,5,5000,CIN@NYG,NYG,CIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108048-103584,RB,Noah,Noah Cain,Cain,,0,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-93600,WR,Bryce,Bryce Ford-Wheaton,Ford-Wheaton,,0,5000,CIN@NYG,NYG,CIN,O,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
108048-94121,RB,Lorenzo,Lorenzo Lingard,Lingard,,0,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-60840,QB,Jake,Jake Browning,Browning,12.578333536783854,12,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-73130,RB,Chris,Chris Evans,Evans,0.4000000059604645,4,5000,CIN@NYG,CIN,NYG,IR,Leg,,,,MVP - 1.5X Points/AnyFLEX
108048-83117,TE,Tanner,Tanner Hudson,Hudson,0.800000011920929,1,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-64175,WR,Hakeem,Hakeem Butler,Butler,,0,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-64051,QB,Drew,Drew Lock,Lock,5.353333155314128,6,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-52409,RB,Jakob,Jakob Johnson,Johnson,0.5666666825612386,3,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-173631,RB,Dante,Dante Miller,Miller,,0,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
108048-45259,QB,Logan,Logan Woodside,Woodside,0.3400000035762787,2,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-160463,TE,Tanner,Tanner McLachlan,McLachlan,,0,5000,CIN@NYG,CIN,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108048-73551,WR,Stantley,Stantley Thomas-Oliver III,Thomas-Oliver III,,0,5000,CIN@NYG,NYG,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
