Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107861-86875,RB,Jordan,Jordan Mason,Mason,17.73999938964844,5,15500,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-26483,QB,Geno,Geno Smith,Smith,20.247999572753905,5,14500,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-103342,RB,Kenneth,Kenneth Walker III,Walker III,21.1999994913737,3,14000,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-85607,QB,Brock,Brock Purdy,Purdy,16.952000427246094,5,13000,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,11.100000381469727,4,12500,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-73048,WR,DK,DK Metcalf,Metcalf,14.61999969482422,5,12000,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,8.980000305175782,5,11000,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-39793,TE,George,George Kittle,Kittle,13,4,10500,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,9.84000015258789,5,10000,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-27050,WR,Tyler,Tyler Lockett,Lockett,7.680000305175781,5,9500,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-61593,WR,Jauan,Jauan Jennings,Jennings,13.939999389648438,5,9000,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-91372,K,Jake,Jake Moody,Moody,11.6,5,9000,SF@SEA,SF,SEA,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
107861-57330,K,Matthew,Matthew Wright,Wright,0,1,9000,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-60745,K,Jason,Jason Myers,Myers,8.6,5,8500,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-103376,RB,Zach,Zach Charbonnet,Charbonnet,12.61999969482422,5,8500,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-12549,D,San Francisco,San Francisco 49ers,49ers,10,5,8000,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
107861-12550,D,Seattle,Seattle Seahawks,Seahawks,8,5,8000,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-71705,TE,Noah,Noah Fant,Fant,4.1,5,7500,SF@SEA,SEA,SF,,,,,,MVP - 1.5X Points/AnyFLEX
107861-89644,RB,Isaac,Isaac Guerendo,Guerendo,0.5249999761581421,4,7500,SF@SEA,SF,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
