Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108397-63115,QB,Lamar,Lamar Jackson,Jackson,25.7433344523112,6,17000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-39280,RB,Derrick,Derrick Henry,Henry,23.5500005086263,6,16500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-41535,QB,Baker,Baker Mayfield,Mayfield,24.360000610351562,6,14500,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-32384,WR,Mike,Mike Evans,Evans,12.25,6,13000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-55635,WR,Chris,Chris Godwin,Godwin,18.133333841959637,6,12500,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-112295,WR,Zay,Zay Flowers,Flowers,11.90000025431315,6,11500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-152664,RB,Bucky,Bucky Irving,Irving,9.133333206176758,6,10500,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-137902,RB,Rachaad,Rachaad White,White,7.980000305175781,5,10000,BAL@TB,TB,BAL,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
108397-23045,K,Justin,Justin Tucker,Tucker,9.333333333333334,6,9500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-60479,K,Chase,Chase McLaughlin,McLaughlin,10.333333333333334,6,9500,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-52436,TE,Mark,Mark Andrews,Andrews,5.183333396911621,6,9000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-87260,TE,Isaiah,Isaiah Likely,Likely,8.450000127156576,6,9000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,7,6,8500,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-12555,D,Baltimore,Baltimore Ravens,Ravens,5.166666666666667,6,8500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-85845,WR,Rashod,Rashod Bateman,Bateman,7.966666539510091,6,8000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-137059,RB,Sean,Sean Tucker,Tucker,7.659999847412109,5,8000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-86811,TE,Cade,Cade Otton,Otton,4.899999936421712,6,7500,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-71521,RB,Justice,Justice Hill,Hill,6.933333079020183,6,7500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-27477,WR,Sterling,Sterling Shepard,Shepard,6.799999872843425,3,7000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-120042,WR,Jalen,Jalen McMillan,McMillan,3.3499999046325684,4,7000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-85635,TE,Charlie,Charlie Kolar,Kolar,6.166666666666667,3,6500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-29683,WR,Nelson,Nelson Agholor,Agholor,2.4833332697550454,6,6500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-87515,WR,Tylan,Tylan Wallace,Wallace,4.099999904632568,1,6000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-102902,WR,Trey,Trey Palmer,Palmer,4.166666666666667,3,6000,BAL@TB,TB,BAL,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
108397-80299,RB,Patrick,Patrick Ricard,Ricard,3,2,5500,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-201535,WR,Kameron,Kameron Johnson,Johnson,0,2,5500,BAL@TB,TB,BAL,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
108397-93391,TE,Payne,Payne Durham,Durham,1.2999999523162842,1,5500,BAL@TB,TB,BAL,O,Calf,,,,MVP - 1.5X Points/AnyFLEX
108397-110721,WR,Dayton,Dayton Wade,Wade,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-56192,QB,John,John Wolford,Wolford,0,1,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-201345,TE,Mike,Mike Rigerman,Rigerman,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-201344,WR,DeAngelo,DeAngelo Hardy,Hardy,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-134023,RB,Keaton,Keaton Mitchell,Mitchell,8.175000190734863,8,5000,BAL@TB,BAL,TB,NA,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
108397-83081,RB,Chase,Chase Edmonds,Edmonds,2.6600001017252604,15,5000,BAL@TB,TB,BAL,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
108397-95370,TE,Ryan,Ryan Miller,Miller,4.400000095367432,1,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-87690,TE,Sal,Sal Cannella,Cannella,,0,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-96269,RB,Owen,Owen Wright,Wright,0,1,5000,BAL@TB,BAL,TB,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
108397-137488,RB,Rasheen,Rasheen Ali,Ali,,0,5000,BAL@TB,BAL,TB,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
108397-141201,WR,Raleigh,Raleigh Webb,Webb,,0,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-185889,TE,Tanner,Tanner Taula,Taula,,0,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-45997,WR,Keith,Keith Kirkwood,Kirkwood,1.524999976158142,8,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-86703,WR,Tanner,Tanner Knue,Knue,,0,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-92465,WR,Sean,Sean Ryan,Ryan,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-102960,RB,D.J.,D.J. Williams,Williams,0,1,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-173238,RB,Ramon,Ramon Jefferson,Jefferson,,0,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-52916,WR,Russell,Russell Gage,Gage,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-93878,QB,Devin,Devin Leary,Leary,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-69304,QB,Kyle,Kyle Trask,Trask,-0.20000000298023224,1,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-86081,QB,Emory,Emory Jones,Jones,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
108397-173518,WR,Qadir,Qadir Ismail,Ismail,,0,5000,BAL@TB,BAL,TB,O,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108397-71246,WR,Marquez,Marquez Callaway,Callaway,,0,5000,BAL@TB,TB,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
108397-41936,WR,Anthony,Anthony Miller,Miller,,0,5000,BAL@TB,BAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
