Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108145-42104,RB,Alvin,Alvin Kamara,Kamara,20.933333079020183,6,16000,DEN@NO,NO,DEN,Q,Hand,,,,MVP - 1.5X Points/AnyFLEX
108145-102965,QB,Bo,Bo Nix,Nix,15.713333129882812,6,15000,DEN@NO,DEN,NO,,,,,,MVP - 1.5X Points/AnyFLEX
108145-45859,QB,Derek,Derek Carr,Carr,15.152000427246094,5,14500,DEN@NO,NO,DEN,D,Oblique,,,,MVP - 1.5X Points/AnyFLEX
108145-111557,QB,Spencer,Spencer Rattler,Rattler,14.420000076293945,1,14500,DEN@NO,NO,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
108145-170287,WR,Rashid,Rashid Shaheed,Shaheed,11.633333841959635,6,13000,DEN@NO,NO,DEN,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
108145-87770,WR,Chris,Chris Olave,Olave,7.366666793823242,6,12500,DEN@NO,NO,DEN,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
108145-93541,RB,Javonte,Javonte Williams,Williams,6.933333079020183,6,11500,DEN@NO,DEN,NO,,,,,,MVP - 1.5X Points/AnyFLEX
108145-57403,WR,Courtland,Courtland Sutton,Sutton,8.366666793823242,6,11000,DEN@NO,DEN,NO,,,,,,MVP - 1.5X Points/AnyFLEX
108145-45565,TE,Taysom,Taysom Hill,Hill,6.966666539510091,3,10000,DEN@NO,NO,DEN,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
108145-89348,K,Blake,Blake Grupe,Grupe,9,6,9500,DEN@NO,NO,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
108145-48380,K,Wil,Wil Lutz,Lutz,9.333333333333334,6,9500,DEN@NO,DEN,NO,,,,,,MVP - 1.5X Points/AnyFLEX
108145-45631,RB,Jamaal,Jamaal Williams,Williams,3.3999999364217124,6,9000,DEN@NO,NO,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
108145-12542,D,New Orleans,New Orleans Saints,Saints,8.333333333333334,6,9000,DEN@NO,NO,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
