entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3406888823,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-42104:Alvin Kamara,108145-102965:Bo Nix,108145-57403:Courtland Sutton,108145-93541:Javonte Williams,108145-201260:Mason Tipton,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3406888824,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-102965:Bo Nix,108145-42104:Alvin Kamara,108145-57403:Courtland Sutton,108145-64808:Juwan Johnson,108145-103511:Devaughn Vele,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3406888825,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-102965:Bo Nix,108145-48380:Wil Lutz,108145-57403:Courtland Sutton,108145-93541:Javonte Williams,108145-64808:Juwan Johnson,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3406888827,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-42104:Alvin Kamara,108145-93541:Javonte Williams,108145-64808:Juwan Johnson,108145-151903:Troy Franklin,108145-111557:Spencer Rattler,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3406888830,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-102965:Bo Nix,108145-170287:Rashid Shaheed,108145-93541:Javonte Williams,108145-111557:Spencer Rattler,108145-130270:Adam Trautman,,,,,,,,,,,,,,,,,,,
3406888831,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-102965:Bo Nix,108145-57403:Courtland Sutton,108145-93541:Javonte Williams,108145-111557:Spencer Rattler,108145-201260:Mason Tipton,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3406888833,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-102965:Bo Nix,108145-57403:Courtland Sutton,108145-151903:Troy Franklin,108145-111557:Spencer Rattler,108145-201260:Mason Tipton,,108145-42104:Alvin Kamara,108145-42104,RB,Alvin,Alvin Kamara,Kamara,20.93333308,6,16000,DEN@NO,NO,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
3406888835,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-111557:Spencer Rattler,108145-93541:Javonte Williams,108145-64808:Juwan Johnson,108145-103511:Devaughn Vele,108145-42104:Alvin Kamara,,108145-102965:Bo Nix,108145-102965,QB,Bo,Bo Nix,Nix,15.71333313,6,15000,DEN@NO,DEN,NO,,,,,,MVP - 1.5X Points/AnyFLEX
3406888836,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-111557:Spencer Rattler,108145-93541:Javonte Williams,108145-64808:Juwan Johnson,108145-151903:Troy Franklin,108145-42104:Alvin Kamara,,108145-45859:Derek Carr,108145-45859,QB,Derek,Derek Carr,Carr,15.15200043,5,14500,DEN@NO,NO,DEN,NA,Oblique,,,,MVP - 1.5X Points/AnyFLEX
3406888838,108145-271705211,$8K Thu NFL Pooch Punt (150 Entries Max),108145-111557:Spencer Rattler,108145-93541:Javonte Williams,108145-103511:Devaughn Vele,108145-42104:Alvin Kamara,108145-69581:Cedrick Wilson Jr.,,108145-111557:Spencer Rattler,108145-111557,QB,Spencer,Spencer Rattler,Rattler,14.42000008,1,14500,DEN@NO,NO,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
