Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108347-103064,RB,Breece,Breece Hall,Hall,13.90000025431315,6,15500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.146666208902994,6,14500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-91591,QB,Justin,Justin Fields,Fields,19.556666056315105,6,14000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-22015,QB,Russell,Russell Wilson,Wilson,17.65999959309896,15,14000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-103564,WR,Garrett,Garrett Wilson,Wilson,13.816666920979818,6,13500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-45889,WR,Davante,Davante Adams,Adams,12.966667175292969,3,13000,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-90575,RB,Najee,Najee Harris,Harris,11.183333079020182,6,12000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-110246,WR,George,George Pickens,Pickens,8.216666539510092,6,11000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-158412,RB,Braelon,Braelon Allen,Allen,6.383333206176758,6,10000,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-32058,K,Chris,Chris Boswell,Boswell,12.333333333333334,6,9500,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-86244,TE,Pat,Pat Freiermuth,Freiermuth,6.733333587646484,6,9500,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-12544,D,New York,New York Jets,Jets,7.666666666666667,6,9000,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,10,6,9000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-22109,K,Greg,Greg Zuerlein,Zuerlein,6,6,8500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-56809,WR,Allen,Allen Lazard,Lazard,13.566666920979818,6,8500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-60451,TE,Tyler,Tyler Conklin,Conklin,4.766666730244954,6,8000,NYJ@PIT,NYJ,PIT,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
108347-112057,RB,Jaylen,Jaylen Warren,Warren,3.5,4,8000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-39829,WR,Mike,Mike Williams,Williams,3.9,5,7500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-90870,WR,Calvin,Calvin Austin III,Austin III,4.616666793823242,6,7500,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,3.7750000953674316,4,7000,NYJ@PIT,PIT,NYJ,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
108347-64581,WR,Van,Van Jefferson,Jefferson,2.549999952316284,4,7000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-160213,RB,Isaiah,Isaiah Davis,Davis,0.20000000794728598,3,6500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-133477,TE,Darnell,Darnell Washington,Washington,2.9,5,6500,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-87815,TE,Jeremy,Jeremy Ruckert,Ruckert,1.5499999523162842,4,6000,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-61273,WR,Scotty,Scotty Miller,Miller,4.099999904632568,1,6000,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108347-112455,WR,Xavier,Xavier Gipson,Gipson,0.6166666746139526,6,5500,NYJ@PIT,NYJ,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108347-92882,TE,Connor,Connor Heyward,Heyward,3.633333206176758,3,5500,NYJ@PIT,PIT,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
