MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
108347-22015:Russell Wilson,108347-6894:Aaron Rodgers,108347-56809:Allen Lazard,108347-90575:Najee Harris,108347-110246:George Pickens
108347-6894:Aaron Rodgers,108347-56809:Allen Lazard,108347-103564:Garrett Wilson,108347-32058:Chris Boswell,108347-90575:Najee Harris
108347-22015:Russell Wilson,108347-103064:Breece Hall,108347-32058:Chris Boswell,108347-90575:Najee Harris,108347-22109:Greg Zuerlein
108347-22015:Russell Wilson,108347-103564:Garrett Wilson,108347-32058:Chris Boswell,108347-90575:Najee Harris,108347-22109:Greg Zuerlein
108347-6894:Aaron Rodgers,108347-103064:Breece Hall,108347-56809:Allen Lazard,108347-32058:Chris Boswell,108347-12544:New York Jets
108347-6894:Aaron Rodgers,108347-56809:Allen Lazard,108347-103564:Garrett Wilson,108347-32058:Chris Boswell,108347-110246:George Pickens
108347-6894:Aaron Rodgers,108347-103064:Breece Hall,108347-103564:Garrett Wilson,108347-22109:Greg Zuerlein,108347-90870:Calvin Austin III
108347-6894:Aaron Rodgers,108347-103064:Breece Hall,108347-32058:Chris Boswell,108347-45889:Davante Adams,108347-90870:Calvin Austin III
108347-103064:Breece Hall,108347-56809:Allen Lazard,108347-90575:Najee Harris,108347-110246:George Pickens,108347-45889:Davante Adams
108347-90575:Najee Harris,108347-32058:Chris Boswell,108347-103564:Garrett Wilson,108347-110246:George Pickens,108347-45889:Davante Adams
