Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108584-86631,WR,CeeDee,CeeDee Lamb,Lamb,12.733333587646484,6,15500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-86875,RB,Jordan,Jordan Mason,Mason,13.757143293108259,7,15000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-85607,QB,Brock,Brock Purdy,Purdy,18.005714416503906,7,13500,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-31716,QB,Dak,Dak Prescott,Prescott,16.09666697184245,6,13000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,12.11999969482422,5,12500,DAL@SF,SF,DAL,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
108584-39793,TE,George,George Kittle,Kittle,14.083333333333334,6,11500,DAL@SF,SF,DAL,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
108584-61593,WR,Jauan,Jauan Jennings,Jennings,11.816666920979818,6,11000,DAL@SF,SF,DAL,O,Hip,,,,MVP - 1.5X Points/AnyFLEX
108584-72297,RB,Rico,Rico Dowdle,Dowdle,9.616666793823242,6,10500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-89680,TE,Jake,Jake Ferguson,Ferguson,7.3,5,10000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,4.016666730244954,6,9500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-102796,WR,Ricky,Ricky Pearsall,Pearsall,3.5999999046325684,1,9500,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-12549,D,San Francisco,San Francisco 49ers,49ers,9,7,9000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-189471,K,Brandon,Brandon Aubrey,Aubrey,13.666666666666666,6,9000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-87705,K,Anders,Anders Carlson,Carlson,8,1,8500,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-91372,K,Jake,Jake Moody,Moody,11.6,5,8500,DAL@SF,SF,DAL,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
108584-12530,D,Dallas,Dallas Cowboys,Cowboys,4.333333333333333,6,8500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-89644,RB,Isaac,Isaac Guerendo,Guerendo,2.199999968210856,6,8000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-88548,WR,Jalen,Jalen Tolbert,Tolbert,8.833333333333334,6,8000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-60957,WR,KaVontae,KaVontae Turpin,Turpin,5.94000015258789,5,7500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-30403,WR,Chris,Chris Conley,Conley,0.29999999205271405,3,7500,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-91401,WR,Ronnie,Ronnie Bell,Bell,1.600000023841858,2,7000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-138277,WR,Jalen,Jalen Brooks,Brooks,2.0399999618530273,5,7000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,3.2000001271565757,3,6500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-72627,RB,Patrick,Patrick Taylor Jr.,Taylor Jr.,3.299999952316284,1,6500,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-39428,RB,Kyle,Kyle Juszczyk,Juszczyk,3.616666793823242,6,6000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-185863,RB,Hunter,Hunter Luepke,Luepke,3.5,4,6000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-137254,RB,Deuce,Deuce Vaughn,Vaughn,1.4666666984558105,3,5500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-85842,TE,Brevyn,Brevyn Spann-Ford,Spann-Ford,1.5,2,5500,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-79980,TE,Eric,Eric Saubert,Saubert,2.8999999364217124,3,5500,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-185862,WR,David,David Durden,Durden,,0,5000,DAL@SF,DAL,SF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108584-70663,WR,Frank,Frank Darby,Darby,,0,5000,DAL@SF,SF,DAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108584-94600,WR,John,John Stephens Jr.,Stephens Jr.,,0,5000,DAL@SF,DAL,SF,O,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
108584-55050,RB,Christian,Christian McCaffrey,McCaffrey,23.01578883120888,19,5000,DAL@SF,SF,DAL,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
108584-201233,WR,Ryan,Ryan Flournoy,Flournoy,-0.30000001192092896,1,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-87442,TE,Princeton,Princeton Fant,Fant,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-43416,WR,Trent,Trent Taylor,Taylor,-0.16923077289874738,13,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-86047,RB,Malik,Malik Davis,Davis,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-60705,WR,Tyron,Tyron Billy-Johnson,Billy-Johnson,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,7.128571646554129,7,5000,DAL@SF,SF,DAL,IR,Knee - acl + mcl,,,,MVP - 1.5X Points/AnyFLEX
108584-65706,WR,Deontay,Deontay Burnett,Burnett,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-44715,QB,Cooper,Cooper Rush,Rush,0.3933333158493042,3,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-111022,WR,Terique,Terique Owens,Owens,,0,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-55088,WR,Malik,Malik Turner,Turner,,0,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-85687,WR,Jontre,Jontre Kirklin,Kirklin,,0,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-53303,RB,Matt,Matt Breida,Breida,2.5600001017252603,15,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-29501,WR,Brandin,Brandin Cooks,Cooks,4.949999809265137,4,5000,DAL@SF,DAL,SF,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
108584-149696,QB,Trey,Trey Lance,Lance,0,1,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-31170,QB,Brandon,Brandon Allen,Allen,-0.10000000149011612,1,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-193226,TE,Mason,Mason Pline,Pline,,0,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-102729,RB,Snoop,Snoop Conner,Conner,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-102987,RB,Nathaniel,Nathaniel Peat,Peat,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-91467,TE,Jake,Jake Tonges,Tonges,,0,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-54863,WR,C.J.,C.J. Goodwin,Goodwin,0,1,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-109008,WR,Jalen,Jalen Cropper,Cropper,,0,5000,DAL@SF,DAL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
108584-86612,TE,Brayden,Brayden Willis,Willis,0,1,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
108584-40407,QB,Joshua,Joshua Dobbs,Dobbs,16.204615666316105,13,5000,DAL@SF,SF,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
