MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
108584-85607:Brock Purdy,108584-189471:Brandon Aubrey,108584-12549:San Francisco 49ers,108584-86875:Jordan Mason,108584-39793:George Kittle
108584-85607:Brock Purdy,108584-189471:Brandon Aubrey,108584-12549:San Francisco 49ers,108584-86875:Jordan Mason,108584-56018:Deebo Samuel Sr.
108584-31716:Dak Prescott,108584-189471:Brandon Aubrey,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-39793:George Kittle
108584-85607:Brock Purdy,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-56018:Deebo Samuel Sr.,108584-88548:Jalen Tolbert
108584-85607:Brock Purdy,108584-38791:Ezekiel Elliott,108584-89680:Jake Ferguson,108584-39793:George Kittle,108584-56018:Deebo Samuel Sr.
108584-31716:Dak Prescott,108584-39793:George Kittle,108584-86631:CeeDee Lamb,108584-56018:Deebo Samuel Sr.,108584-60957:KaVontae Turpin
108584-85607:Brock Purdy,108584-189471:Brandon Aubrey,108584-86875:Jordan Mason,108584-39793:George Kittle,108584-30403:Chris Conley
108584-31716:Dak Prescott,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-56018:Deebo Samuel Sr.,108584-88548:Jalen Tolbert
108584-86631:CeeDee Lamb,108584-38791:Ezekiel Elliott,108584-39793:George Kittle,108584-31716:Dak Prescott,108584-88548:Jalen Tolbert
108584-85607:Brock Purdy,108584-87705:Anders Carlson,108584-86875:Jordan Mason,108584-86631:CeeDee Lamb,108584-60957:KaVontae Turpin
108584-86631:CeeDee Lamb,108584-39793:George Kittle,108584-31716:Dak Prescott,108584-56018:Deebo Samuel Sr.,108584-60957:KaVontae Turpin
108584-85607:Brock Purdy,108584-87705:Anders Carlson,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-89680:Jake Ferguson
108584-31716:Dak Prescott,108584-12530:Dallas Cowboys,108584-38791:Ezekiel Elliott,108584-39793:George Kittle,108584-86631:CeeDee Lamb
108584-85607:Brock Purdy,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-39793:George Kittle,108584-30403:Chris Conley
108584-85607:Brock Purdy,108584-89680:Jake Ferguson,108584-39793:George Kittle,108584-86631:CeeDee Lamb,108584-102796:Ricky Pearsall
108584-86875:Jordan Mason,108584-85607:Brock Purdy,108584-89680:Jake Ferguson,108584-39793:George Kittle,108584-102796:Ricky Pearsall
108584-86875:Jordan Mason,108584-85607:Brock Purdy,108584-87705:Anders Carlson,108584-38791:Ezekiel Elliott,108584-89680:Jake Ferguson
108584-31716:Dak Prescott,108584-86875:Jordan Mason,108584-89680:Jake Ferguson,108584-56018:Deebo Samuel Sr.,108584-60957:KaVontae Turpin
108584-31716:Dak Prescott,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-88548:Jalen Tolbert,108584-102796:Ricky Pearsall
108584-31716:Dak Prescott,108584-86875:Jordan Mason,108584-38791:Ezekiel Elliott,108584-89680:Jake Ferguson,108584-102796:Ricky Pearsall
