Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108416-85671,WR,Justin,Justin Jefferson,Jefferson,17.150000254313152,6,16000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-104433,RB,Kyren,Kyren Williams,Williams,18.78333282470703,6,15500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-63589,QB,Sam,Sam Darnold,Darnold,17.3000005086263,6,14000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-6654,QB,Matthew,Matthew Stafford,Stafford,10.396666844685873,6,13500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-79970,WR,Cooper,Cooper Kupp,Kupp,16.850000381469727,2,12000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-40442,RB,Aaron,Aaron Jones,Jones,15.383333841959635,6,12000,MIN@LAR,MIN,LAR,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
108416-129210,WR,Jordan,Jordan Addison,Addison,9.899999618530273,4,11000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-92976,WR,Tutu,Tutu Atwell,Atwell,9.080000305175782,5,10500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-103195,WR,Jordan,Jordan Whittington,Whittington,5.820000076293946,5,10000,MIN@LAR,LAR,MIN,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
108416-87371,RB,Ty,Ty Chandler,Chandler,3.7166665395100913,6,9500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-12540,D,Minnesota,Minnesota Vikings,Vikings,13.833333333333334,6,9500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-71706,TE,T.J.,T.J. Hockenson,Hockenson,11.433333333333334,15,9000,MIN@LAR,MIN,LAR,NA,Knee - acl + mcl,,,,MVP - 1.5X Points/AnyFLEX
108416-38264,WR,Demarcus,Demarcus Robinson,Robinson,5.383333206176758,6,9000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-102703,K,Will,Will Reichard,Reichard,10.833333333333334,6,8500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-133172,K,Joshua,Joshua Karty,Karty,6.666666666666667,6,8500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-89588,TE,Colby,Colby Parkinson,Parkinson,5.033333460489909,6,8000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-12538,D,Los Angeles,Los Angeles Rams,Rams,6,6,8000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-92859,WR,Jalen,Jalen Nailor,Nailor,8.719999694824219,5,7500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-68712,WR,Tyler,Tyler Johnson,Johnson,4.920000076293945,5,7500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-89230,RB,Cam,Cam Akers,Akers,4.716666539510091,6,7000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-52345,WR,Brandon,Brandon Powell,Powell,0.7333333492279053,6,7000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-63907,TE,Josh,Josh Oliver,Oliver,3.174999952316284,4,6500,MIN@LAR,MIN,LAR,Q,Wrist,,,,MVP - 1.5X Points/AnyFLEX
108416-40371,TE,Johnny,Johnny Mundt,Mundt,3.4666665395100913,6,6500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-113096,WR,Xavier,Xavier Smith,Smith,1.149999976158142,4,6500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-91971,RB,Ronnie,Ronnie Rivers,Rivers,1.399999976158142,4,6000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-137967,RB,Blake,Blake Corum,Corum,2.566666603088379,3,6000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-60930,RB,Myles,Myles Gaskin,Gaskin,0.375,4,5500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-93075,TE,Hunter,Hunter Long,Long,1.7999999523162842,2,5500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-70501,RB,C.J.,C.J. Ham,Ham,3.549999952316284,2,5500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-56059,WR,Trent,Trent Sherfield Sr.,Sherfield Sr.,1.6000000635782878,3,5500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-131328,RB,Zach,Zach Evans,Evans,0.3799999952316284,5,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-114053,TE,Neal,Neal Johnson,Johnson,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-92677,WR,Zavier,Zavier Scott,Scott,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-23435,TE,Andrew,Andrew DePaola,DePaola,0,1,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-69516,TE,Miller,Miller Forristall,Forristall,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-86671,WR,Drake,Drake Stoops,Stoops,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-71957,WR,Quintez,Quintez Cephus,Cephus,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-93853,WR,Thayer,Thayer Thomas,Thomas,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-89127,WR,Justin,Justin Hall,Hall,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-201257,WR,Devron,Devron Harper,Harper,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-185640,QB,Dresser,Dresser Winn,Winn,0,1,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-72493,WR,Trishton,Trishton Jackson,Jackson,1.3000000317891438,3,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
108416-102831,TE,Davis,Davis Allen,Allen,0,2,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108416-69168,WR,N'Keal,N'Keal Harry,Harry,0,1,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
