Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108707-151761,WR,Malik,Malik Nabers,Nabers,17.23999938964844,5,16500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-22015,QB,Russell,Russell Wilson,Wilson,24.860000610351562,1,15500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-63519,QB,Daniel,Daniel Jones,Jones,13.725714547293526,7,14000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-90575,RB,Najee,Najee Harris,Harris,12.32857186453683,7,13500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-110246,WR,George,George Pickens,Pickens,10.271428789411273,7,12500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,7.128571646554129,7,11500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-70603,RB,Devin,Devin Singletary,Singletary,8.980000305175782,5,10500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,9.37142835344587,7,10000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-112057,RB,Jaylen,Jaylen Warren,Warren,4.179999923706054,5,9500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,9.714285714285714,7,9000,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-12543,D,New York,New York Giants,Giants,7.714285714285714,7,9000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-32058,K,Chris,Chris Boswell,Boswell,12.571428571428571,7,8500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-55515,K,Greg,Greg Joseph,Joseph,7.4,5,8500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-63819,WR,Darius,Darius Slayton,Slayton,7.528571537562779,7,8000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-86244,TE,Pat,Pat Freiermuth,Freiermuth,6.642857142857143,7,8000,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-64581,WR,Van,Van Jefferson,Jefferson,3.7400001525878905,5,7500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-90870,WR,Calvin,Calvin Austin III,Austin III,4.5428570338657925,7,7500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,3.7750000953674316,4,7000,NYG@PIT,PIT,NYG,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
108707-128810,TE,Theo,Theo Johnson,Johnson,3.4,5,7000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-90307,TE,Daniel,Daniel Bellinger,Bellinger,1.5333333015441895,3,6500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-133477,TE,Darnell,Darnell Washington,Washington,3.3500000635782876,6,6500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-102928,RB,Eric,Eric Gray,Gray,1.0999999727521623,7,6000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-91591,QB,Justin,Justin Fields,Fields,19.556666056315105,6,6000,NYG@PIT,PIT,NYG,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
108707-61273,WR,Scotty,Scotty Miller,Miller,4.099999904632568,1,6000,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.399999976158142,1,5500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-92882,TE,Connor,Connor Heyward,Heyward,3.633333206176758,3,5500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-139094,WR,Jalin,Jalin Hyatt,Hyatt,0.2200000047683716,5,5500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0,5,5500,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-170213,RB,Aaron,Aaron Shampklin,Shampklin,0.5666666825612386,3,5500,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-104577,WR,Gunner,Gunner Olszewski,Olszewski,0.25,10,5000,NYG@PIT,NYG,PIT,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
108707-115971,WR,Shaquan,Shaquan Davis,Davis,,0,5000,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0.853846183189979,13,5000,NYG@PIT,NYG,PIT,Q,Lower body,,,,MVP - 1.5X Points/AnyFLEX
108707-91912,WR,Chase,Chase Cota,Cota,,0,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-94864,RB,Jashaun,Jashaun Corbin,Corbin,1.399999976158142,2,5000,NYG@PIT,NYG,PIT,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108707-94748,QB,Tommy,Tommy DeVito,DeVito,10.726666768391928,9,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-63646,TE,Lawrence,Lawrence Cager,Cager,2.3200000762939452,5,5000,NYG@PIT,NYG,PIT,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108707-93600,WR,Bryce,Bryce Ford-Wheaton,Ford-Wheaton,,0,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-185639,WR,Keilahn,Keilahn Harris,Harris,,0,5000,NYG@PIT,PIT,NYG,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108707-94121,RB,Lorenzo,Lorenzo Lingard,Lingard,,0,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-43433,RB,Boston,Boston Scott,Scott,0.9857142993382045,14,5000,NYG@PIT,PIT,NYG,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
108707-64051,QB,Drew,Drew Lock,Lock,1.5399999618530273,1,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-86068,WR,Jacob,Jacob Copeland,Copeland,,0,5000,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-138037,WR,Roman,Roman Wilson,Wilson,,0,5000,NYG@PIT,PIT,NYG,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
108707-52409,RB,Jakob,Jakob Johnson,Johnson,0.5666666825612386,3,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
108707-63419,WR,Andy,Andy Isabella,Isabella,0,2,5000,NYG@PIT,PIT,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
108707-173631,RB,Dante,Dante Miller,Miller,,0,5000,NYG@PIT,NYG,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
