Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108750-52442,RB,Joe,Joe Mixon,Mixon,23.360000610351562,5,16500,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-129471,QB,C.J.,C.J. Stroud,Stroud,16.040000915527344,8,15000,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-103064,RB,Breece,Breece Hall,Hall,14.862500190734863,8,14500,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-103564,WR,Garrett,Garrett Wilson,Wilson,13.787500381469727,8,13500,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-6894,QB,Aaron,Aaron Rodgers,Rodgers,15.404999732971191,8,13000,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-129291,WR,Tank,Tank Dell,Dell,7.128571646554129,7,12000,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-25079,WR,Stefon,Stefon Diggs,Diggs,12.302499771118164,8,11000,HOU@NYJ,HOU,NYJ,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
108750-45889,WR,Davante,Davante Adams,Adams,10.15999984741211,5,10500,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,1.2714285169328963,7,10000,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-158412,RB,Braelon,Braelon Allen,Allen,6.074999809265137,8,9500,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-22109,K,Greg,Greg Zuerlein,Zuerlein,5.125,8,9000,HOU@NYJ,NYJ,HOU,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
108750-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,11.875,8,9000,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-12544,D,New York,New York Jets,Jets,5.625,8,8500,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-12556,D,Houston,Houston Texans,Texans,7.125,8,8500,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-55042,TE,Dalton,Dalton Schultz,Schultz,4.224999904632568,8,8000,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
108750-56809,WR,Allen,Allen Lazard,Lazard,12.742856706891741,7,8000,HOU@NYJ,NYJ,HOU,O,Chest,,,,MVP - 1.5X Points/AnyFLEX
108750-60451,TE,Tyler,Tyler Conklin,Conklin,6.125,8,7500,HOU@NYJ,NYJ,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
108750-102696,WR,John,John Metchie III,Metchie III,2.799999952316284,2,7500,HOU@NYJ,HOU,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
