MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
108750-52442:Joe Mixon,108750-29932:Ka'imi Fairbairn,108750-129471:C.J. Stroud,108750-12556:Houston Texans,108750-45889:Davante Adams
108750-6894:Aaron Rodgers,108750-12544:New York Jets,108750-52442:Joe Mixon,108750-103064:Breece Hall,108750-60451:Tyler Conklin
108750-52442:Joe Mixon,108750-129471:C.J. Stroud,108750-29932:Ka'imi Fairbairn,108750-60451:Tyler Conklin,108750-45889:Davante Adams
108750-6894:Aaron Rodgers,108750-29932:Ka'imi Fairbairn,108750-103064:Breece Hall,108750-55042:Dalton Schultz,108750-103564:Garrett Wilson
108750-103064:Breece Hall,108750-6894:Aaron Rodgers,108750-29932:Ka'imi Fairbairn,108750-55042:Dalton Schultz,108750-103564:Garrett Wilson
108750-52442:Joe Mixon,108750-6894:Aaron Rodgers,108750-129471:C.J. Stroud,108750-60451:Tyler Conklin,108750-55042:Dalton Schultz
108750-129471:C.J. Stroud,108750-52442:Joe Mixon,108750-60451:Tyler Conklin,108750-129291:Tank Dell,108750-39829:Mike Williams
108750-103064:Breece Hall,108750-6894:Aaron Rodgers,108750-129471:C.J. Stroud,108750-60451:Tyler Conklin,108750-119788:Xavier Hutchinson
108750-103064:Breece Hall,108750-6894:Aaron Rodgers,108750-103564:Garrett Wilson,108750-129291:Tank Dell,108750-29685:Robert Woods
108750-129471:C.J. Stroud,108750-103064:Breece Hall,108750-60451:Tyler Conklin,108750-129291:Tank Dell,108750-119788:Xavier Hutchinson
