Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
108941-85671,WR,Justin,Justin Jefferson,Jefferson,17.342857360839844,7,16500,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-89675,RB,Jonathan,Jonathan Taylor,Taylor,19.360000610351562,5,15500,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108941-63589,QB,Sam,Sam Darnold,Darnold,17.428571428571427,7,14000,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-6714,QB,Joe,Joe Flacco,Flacco,19.746667226155598,3,13500,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108941-40442,RB,Aaron,Aaron Jones,Jones,14.685714721679688,7,12000,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-129305,WR,Josh,Josh Downs,Downs,12.216667175292969,6,11000,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108941-129210,WR,Jordan,Jordan Addison,Addison,8.55999984741211,5,10500,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,8.087499618530273,8,10000,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108941-71706,TE,T.J.,T.J. Hockenson,Hockenson,11.433333333333334,15,9500,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-86312,WR,Alec,Alec Pierce,Pierce,8.925000190734863,8,9500,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108941-102703,K,Will,Will Reichard,Reichard,10.428571428571429,7,9000,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-12540,D,Minnesota,Minnesota Vikings,Vikings,12,7,9000,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-87371,RB,Ty,Ty Chandler,Chandler,3.7166665395100913,6,8500,IND@MIN,MIN,IND,,,,,,MVP - 1.5X Points/AnyFLEX
108941-151789,WR,Adonai,Adonai Mitchell,Mitchell,2.4574999809265137,8,8500,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
108941-87180,K,Matt,Matt Gay,Gay,7.857142857142857,7,8000,IND@MIN,IND,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
