Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109053-57439,QB,Patrick,Patrick Mahomes,Mahomes,16.09142848423549,7,16000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-41535,QB,Baker,Baker Mayfield,Mayfield,25.6825008392334,8,15500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-45229,RB,Kareem,Kareem Hunt,Hunt,16.200000762939453,4,14000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-33076,TE,Travis,Travis Kelce,Kelce,8.37142835344587,7,13000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-137902,RB,Rachaad,Rachaad White,White,11.314285278320312,7,12500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-158974,WR,Xavier,Xavier Worthy,Worthy,9.67142813546317,7,11500,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-152664,RB,Bucky,Bucky Irving,Irving,10.237500190734863,8,10500,TB@KC,TB,KC,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
109053-86811,TE,Cade,Cade Otton,Otton,8.875,8,10000,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,4.9571429661342075,7,9500,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-120042,WR,Jalen,Jalen McMillan,McMillan,4.116666793823242,6,9500,TB@KC,TB,KC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109053-41642,K,Harrison,Harrison Butker,Butker,9.285714285714286,7,9000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7,7,9000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,5.625,8,8500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-60479,K,Chase,Chase McLaughlin,McLaughlin,9.375,8,8500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-83083,WR,Justin,Justin Watson,Watson,2.9666665395100913,6,8000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,9.40000025431315,3,8000,TB@KC,KC,TB,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109053-27477,WR,Sterling,Sterling Shepard,Shepard,5.540000152587891,5,8000,TB@KC,TB,KC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109053-71352,WR,Mecole,Mecole Hardman,Hardman,2.6571429116385326,7,7500,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-102902,WR,Trey,Trey Palmer,Palmer,3.7,5,7500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-137059,RB,Sean,Sean Tucker,Tucker,6.371428353445871,7,7000,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-52451,RB,Samaje,Samaje Perine,Perine,3.6285713740757535,7,7000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-93143,TE,Noah,Noah Gray,Gray,4.883333206176758,6,6500,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-136031,WR,Rakim,Rakim Jarrett,Jarrett,7.300000190734863,1,6500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-156523,RB,Carson,Carson Steele,Steele,1.7857142857142858,7,6000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-68714,TE,Ko,Ko Kieft,Kieft,1.3399999618530274,5,6000,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-95370,TE,Ryan,Ryan Miller,Miller,3.9000000953674316,2,5500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-93391,TE,Payne,Payne Durham,Durham,1.2999999523162842,1,5500,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-88816,TE,Peyton,Peyton Hendershot,Hendershot,0.8285714558192662,7,5500,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,5000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
109053-56192,QB,John,John Wolford,Wolford,0,1,5000,TB@KC,TB,KC,,,,,,MVP - 1.5X Points/AnyFLEX
109053-32384,WR,Mike,Mike Evans,Evans,11.785714285714286,7,5000,TB@KC,TB,KC,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109053-70023,WR,Cornell,Cornell Powell,Powell,,0,5000,TB@KC,KC,TB,,,,,,MVP - 1.5X Points/AnyFLEX
