MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
109053-41535:Baker Mayfield,109053-12551:Tampa Bay Buccaneers,109053-137902:Rachaad White,109053-86811:Cade Otton,109053-158974:Xavier Worthy
109053-45229:Kareem Hunt,109053-60479:Chase McLaughlin,109053-41642:Harrison Butker,109053-57439:Patrick Mahomes,109053-12536:Kansas City Chiefs
109053-45229:Kareem Hunt,109053-57439:Patrick Mahomes,109053-12536:Kansas City Chiefs,109053-86811:Cade Otton,109053-16606:DeAndre Hopkins
109053-45229:Kareem Hunt,109053-57439:Patrick Mahomes,109053-12536:Kansas City Chiefs,109053-33076:Travis Kelce,109053-95370:Ryan Miller
109053-57439:Patrick Mahomes,109053-12536:Kansas City Chiefs,109053-45229:Kareem Hunt,109053-16606:DeAndre Hopkins,109053-95370:Ryan Miller
109053-57439:Patrick Mahomes,109053-12536:Kansas City Chiefs,109053-45229:Kareem Hunt,109053-16606:DeAndre Hopkins,109053-102902:Trey Palmer
109053-41535:Baker Mayfield,109053-41642:Harrison Butker,109053-60479:Chase McLaughlin,109053-137902:Rachaad White,109053-86811:Cade Otton
109053-137902:Rachaad White,109053-57439:Patrick Mahomes,109053-41535:Baker Mayfield,109053-86811:Cade Otton,109053-95370:Ryan Miller
109053-41535:Baker Mayfield,109053-137902:Rachaad White,109053-102902:Trey Palmer,109053-158974:Xavier Worthy,109053-83083:Justin Watson
109053-57439:Patrick Mahomes,109053-45229:Kareem Hunt,109053-137902:Rachaad White,109053-158974:Xavier Worthy,109053-95370:Ryan Miller
109053-45229:Kareem Hunt,109053-57439:Patrick Mahomes,109053-137902:Rachaad White,109053-16606:DeAndre Hopkins,109053-136031:Rakim Jarrett
109053-137902:Rachaad White,109053-41535:Baker Mayfield,109053-102902:Trey Palmer,109053-158974:Xavier Worthy,109053-83083:Justin Watson
