"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Lamar Jackson","QB","BAL","29.4","26.3","27","","","","","","","","","","","","","","","","27.6","82.7"
"2","Josh Allen","QB","BUF","38.8","11.8","23","","","","","","","","","","","","","","","","24.5","73.6"
"3","Caleb Williams","QB","CHI","24.2","18","29.1","","","","","","","","","","","","","","","","23.8","71.3"
"4","Daniel Jones","QB","IND","29.5","22.8","15.8","","","","","","","","","","","","","","","","22.7","68.1"
"5","Jonathan Taylor","RB","IND","9.8","27.5","29.8","","","","","","","","","","","","","","","","22.4","67.1"
"6","Jalen Hurts","QB","PHI","24.3","11.5","29","","","","","","","","","","","","","","","","21.6","64.9"
"7","Justin Herbert","QB","LAC","27.9","18.8","15.6","","","","","","","","","","","","","","","","20.8","62.3"
"7","Drake Maye","QB","NE","15.8","26.3","20.2","","","","","","","","","","","","","","","","20.8","62.3"
"9","Patrick Mahomes II","QB","KC","26","23.1","13.2","","","","","","","","","","","","","","","","20.8","62.3"
"10","Baker Mayfield","QB","TB","22.6","19.9","17.7","","","","","","","","","","","","","","","","20.1","60.2"
"11","James Cook III","RB","BUF","16.2","25.5","17.8","","","","","","","","","","","","","","","","19.8","59.5"
"12","Jared Goff","QB","DET","11.9","34","12.7","","","","","","","","","","","","","","","","19.5","58.5"
"13","Geno Smith","QB","LV","18.5","6.2","26.1","","","","","","","","","","","","","","","","16.9","50.7"
"14","Aaron Rodgers","QB","PIT","25.7","12.4","12.7","","","","","","","","","","","","","","","","16.9","50.7"
"15","Russell Wilson","QB","NYG","11.1","31.3","7.1","","","","","","","","","","","","","","","","16.5","49.5"
"16","Jordan Love","QB","GB","15.9","20.9","12.1","","","","","","","","","","","","","","","","16.3","48.9"
"17","Amon-Ra St. Brown","WR","DET","4.5","30.2","13.7","","","","","","","","","","","","","","","","16.1","48.4"
"18","Kyler Murray","QB","ARI","18.3","15","14.1","","","","","","","","","","","","","","","","15.8","47.4"
"19","Matthew Stafford","QB","LAR","13.6","18.3","14.8","","","","","","","","","","","","","","","","15.6","46.8"
"20","Rome Odunze","WR","CHI","9.7","24.8","12.2","","","","","","","","","","","","","","","","15.6","46.7"
"21","Bijan Robinson","RB","ATL","18.4","16.8","11.1","","","","","","","","","","","","","","","","15.4","46.3"
"22","Tre Tucker","WR","LV","11.4","1.9","32.9","","","","","","","","","","","","","","","","15.4","46.2"
"23","Spencer Rattler","QB","NO","11.5","21.7","12.7","","","","","","","","","","","","","","","","15.3","45.9"
"24","Spencer Shrader","K","IND","16","18","11","","","","","","","","","","","","","","","","15","45"
"24","Dak Prescott","QB","DAL","7.8","23.1","14","","","","","","","","","","","","","","","","15","45"
"26","Christian McCaffrey","RB","SF","14.2","16.7","14","","","","","","","","","","","","","","","","15","44.9"
"27","David Montgomery","RB","DET","4.3","12.1","28.4","","","","","","","","","","","","","","","","14.9","44.8"
"28","Javonte Williams","RB","DAL","18.4","19","7.2","","","","","","","","","","","","","","","","14.9","44.6"
"29","Puka Nacua","WR","LAR","13.1","19.6","11.8","","","","","","","","","","","","","","","","14.8","44.5"
"30","Bryce Young","QB","CAR","10.2","22.3","11.6","","","","","","","","","","","","","","","","14.7","44.1"
"31","Bo Nix","QB","DEN","8.8","21.2","13.4","","","","","","","","","","","","","","","","14.5","43.5"
"32","Jahmyr Gibbs","RB","DET","5","16.4","21.9","","","","","","","","","","","","","","","","14.4","43.3"
"33","Joey Slye","K","TEN","15","17","11","","","","","","","","","","","","","","","","14.3","43"
"34","Travis Etienne Jr.","RB","JAC","15.6","14.9","11.6","","","","","","","","","","","","","","","","14","42.1"
"35","Quentin Johnston","WR","LAC","19.9","12.9","8.9","","","","","","","","","","","","","","","","13.9","41.7"
"36","J.K. Dobbins","RB","DEN","12.8","14.5","14.3","","","","","","","","","","","","","","","","13.9","41.6"
"37","Trevor Lawrence","QB","JAC","11.3","21.2","8.8","","","","","","","","","","","","","","","","13.8","41.3"
"38","Brandon Aubrey","K","DAL","11","22","8","","","","","","","","","","","","","","","","13.7","41"
"39","De'Von Achane","RB","MIA","13.5","18.2","9.1","","","","","","","","","","","","","","","","13.6","40.8"
"40","Tua Tagovailoa","QB","MIA","7.3","19.6","13.8","","","","","","","","","","","","","","","","13.6","40.7"
"41","Derrick Henry","RB","BAL","28.2","2.3","9.7","","","","","","","","","","","","","","","","13.4","40.2"
"42","Minnesota Vikings","DST","MIN","5","5","30","","","","","","","","","","","","","","","","13.3","40"
"43","Sam Darnold","QB","SEA","5.4","17.8","16.7","","","","","","","","","","","","","","","","13.3","39.9"
"44","Jayden Daniels","QB","WAS","20.1","19.7","-","","","","","","","","","","","","","","","","19.9","39.8"
"45","Kyren Williams","RB","LAR","12.9","8","17.2","","","","","","","","","","","","","","","","12.7","38.1"
"46","Seattle Seahawks","DST","SEA","8","14","16","","","","","","","","","","","","","","","","12.7","38"
"47","Keenan Allen","WR","LAC","12.8","12.1","12.5","","","","","","","","","","","","","","","","12.5","37.4"
"48","Kenneth Walker III","RB","SEA","2.4","17.8","17","","","","","","","","","","","","","","","","12.4","37.2"
"49","Malik Nabers","WR","NYG","7.1","28.7","1.3","","","","","","","","","","","","","","","","12.4","37.1"
"50","C.J. Stroud","QB","HOU","9.7","15","12.4","","","","","","","","","","","","","","","","12.4","37.1"
"51","Emeka Egbuka","WR","TB","19.6","8.9","8.5","","","","","","","","","","","","","","","","12.3","37"
"52","Jaxon Smith-Njigba","WR","SEA","10.4","10.3","15.6","","","","","","","","","","","","","","","","12.1","36.3"
"53","Chuba Hubbard","RB","CAR","14.9","13.7","7.6","","","","","","","","","","","","","","","","12.1","36.2"
"54","Mac Jones","QB","SF","-","21.8","14.3","","","","","","","","","","","","","","","","18","36"
"55","Saquon Barkley","RB","PHI","14.4","15.4","5.5","","","","","","","","","","","","","","","","11.8","35.3"
"56","Michael Penix Jr.","QB","ATL","24","5.3","5.8","","","","","","","","","","","","","","","","11.7","35.1"
"57","Jordan Mason","RB","MIN","7.5","3.8","23.6","","","","","","","","","","","","","","","","11.6","34.9"
"57","Garrett Wilson","WR","NYJ","15.5","5","14.4","","","","","","","","","","","","","","","","11.6","34.9"
"59","Josh Jacobs","RB","GB","13","14.4","7.4","","","","","","","","","","","","","","","","11.6","34.8"
