"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Patrick Mahomes II","QB","KC","26","23.1","13.2","27.3","27.7","31.5","26.2","25","11.5","","","","","","","","","","23.5","211.5"
"2","Jonathan Taylor","RB","IND","11.3","28.5","31.3","12.1","30.1","21.7","32.7","36.4","6.7","","","","","","","","","","23.4","210.8"
"3","Christian McCaffrey","RB","SF","18.7","19.7","19","23.1","23.9","20.6","35.6","8.3","31.8","","","","","","","","","","22.3","200.7"
"4","Justin Herbert","QB","LAC","27.9","18.8","15.6","14.5","15.6","18.8","29.9","26.3","28.7","","","","","","","","","","21.8","196.1"
"5","Drake Maye","QB","NE","16.3","26.3","20.2","23.2","12.1","27.2","23.1","27.3","17.4","","","","","","","","","","21.5","193.1"
"6","Josh Allen","QB","BUF","38.8","11.8","23","25.9","20.4","17.4","BYE","23.2","28.8","","","","","","","","","","23.7","189.3"
"7","Bo Nix","QB","DEN","8.8","21.2","13.4","26.7","17.9","13.4","40","24.8","19.5","","","","","","","","","","20.6","185.7"
"8","Daniel Jones","QB","IND","29.5","22.8","15.8","12.4","16.7","23.5","22.2","23.2","17.1","","","","","","","","","","20.4","183.2"
"9","Dak Prescott","QB","DAL","7.8","23.1","14","31","28.3","22.3","23.3","8.6","16.4","","","","","","","","","","19.4","174.9"
"10","Jalen Hurts","QB","PHI","24.3","11.5","29","19.4","19.5","21.6","24","25.4","BYE","","","","","","","","","","21.8","174.8"
"11","Matthew Stafford","QB","LAR","13.6","18.3","14.8","27.4","25.6","9.3","27.4","BYE","26.8","","","","","","","","","","20.4","163.3"
"12","Caleb Williams","QB","CHI","24.2","18","29.1","12.8","BYE","19.9","5.7","12.8","37.7","","","","","","","","","","20","160.1"
"13","De'Von Achane","RB","MIA","15","22.2","12.6","16.6","13.6","29","11.3","17.6","13.6","","","","","","","","","","16.8","151.5"
"14","Ja'Marr Chase","WR","CIN","3.6","29.5","6.4","4.8","26","20.1","30.1","15.1","14.1","","","","","","","","","","16.6","149.7"
"15","Bijan Robinson","RB","ATL","21.4","18.3","13.6","26.1","BYE","32.8","18.2","4.3","13.6","","","","","","","","","","18.5","148.3"
"16","Jaxon Smith-Njigba","WR","SEA","14.9","14.3","18.1","11","23.2","26.2","22.3","BYE","18","","","","","","","","","","18.5","148"
"17","Josh Jacobs","RB","GB","13.5","14.4","9.9","29.7","BYE","29.5","18.3","12","18","","","","","","","","","","18.2","145.3"
"18","James Cook III","RB","BUF","18.7","26","19.3","21","4.9","8.7","BYE","33.6","13","","","","","","","","","","18.2","145.2"
"19","Javonte Williams","RB","DAL","19.4","22","9.7","17.5","26.4","5.9","18.3","17.4","6.8","","","","","","","","","","15.9","143.4"
"20","Jordan Love","QB","GB","15.9","20.9","12.1","26.3","BYE","16","13.4","28.3","10","","","","","","","","","","17.9","142.8"
"21","Baker Mayfield","QB","TB","22.6","19.9","17.7","19.9","26.7","19.6","12.1","4.1","BYE","","","","","","","","","","17.8","142.6"
"22","Sam Darnold","QB","SEA","5.4","17.8","16.7","16.1","28.6","20","9.6","BYE","28.2","","","","","","","","","","17.8","142.5"
"23","Jared Goff","QB","DET","11.9","34","12.7","13.7","20.1","16.8","11.3","BYE","19.4","","","","","","","","","","17.5","139.9"
"24","Trevor Lawrence","QB","JAC","11.3","21.2","8.8","11.7","27.2","19.2","17.6","BYE","22.2","","","","","","","","","","17.4","139.3"
"25","Jaxson Dart","QB","NYG","-","-0.3","0.3","19.8","17.6","23.6","29.4","19.4","27.2","","","","","","","","","","17.1","137.1"
"26","George Pickens","WR","DAL","4.5","15.3","15.3","29.4","12.7","27.3","10.2","11.3","10.9","","","","","","","","","","15.2","136.9"
"27","Amon-Ra St. Brown","WR","DET","6.5","34.7","17.2","22.5","14","9.2","17.6","BYE","14.2","","","","","","","","","","17","135.9"
"28","Aaron Rodgers","QB","PIT","25.7","12.4","12.7","12.8","BYE","17.5","24.6","16.8","12.1","","","","","","","","","","16.8","134.5"
"29","Joe Flacco","QB","CIN","14.2","9.8","4.7","3.3","-","18.8","26","24.3","32.7","","","","","","","","","","16.7","133.7"
"30","Jahmyr Gibbs","RB","DET","10","17.9","24.4","16.7","15.7","7","35.3","BYE","4.3","","","","","","","","","","16.4","131.3"
"31","Puka Nacua","WR","LAR","18.1","23.6","17.3","29.5","19.5","3.8","-","BYE","19.3","","","","","","","","","","18.7","131.1"
"32","C.J. Stroud","QB","HOU","9.7","15","12.4","18.4","28.8","BYE","14.7","22.7","4.4","","","","","","","","","","15.7","126"
"33","Rico Dowdle","RB","CAR","2.6","2.4","10.3","3.5","30.9","31.9","10.1","5.4","27.1","","","","","","","","","","13.8","124.2"
