Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
118845-57091,WR,Tim,Tim Patrick,Patrick,4.912499904632568,16,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-12548,D,Los Angeles,Los Angeles Chargers,Chargers,7.611111111111111,18,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-56708,TE,Will,Will Dissly,Dissly,5.481249809265137,16,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-174215,RB,Omarion,Omarion Hampton,Hampton,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-91401,WR,Ronnie,Ronnie Bell,Bell,0.6400000095367432,5,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-113160,WR,Jakobie,Jakobie Keeney-James,Keeney-James,,0,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-129546,WR,Tre',Tre' Harris,Harris,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-111631,WR,Jameson,Jameson Williams,Williams,12.856249809265137,16,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-156684,RB,Kye,Kye Robichaux,Robichaux,,0,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-135824,WR,Luke,Luke Grimm,Grimm,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-140176,K,Jake,Jake Bates,Bates,9.333333333333334,18,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-70422,WR,Kalif,Kalif Raymond,Raymond,4.092307750995342,13,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-94621,WR,Derius,Derius Davis,Davis,2.2800000508626304,15,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-94625,WR,Jalen,Jalen Reagor,Reagor,1.5999999727521623,7,8000,12000,LAC@DET,LAC,DET,Q,Lower body,,,,MVP - 1.5X Points/AnyFLEX
118845-38435,QB,Jared,Jared Goff,Goff,20.509999593098957,18,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-60451,TE,Tyler,Tyler Conklin,Conklin,6.025000095367432,16,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-128805,WR,KeAndre,KeAndre Lambert-Smith,Lambert-Smith,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-91046,TE,Brock,Brock Wright,Wright,2.85,10,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-71723,WR,Dez,Dez Fitzpatrick,Fitzpatrick,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-167849,TE,Zach,Zach Horton,Horton,,0,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-91565,WR,Jaylen,Jaylen Johnson,Johnson,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-112044,WR,Dalevon,Dalevon Campbell,Campbell,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-105646,TE,Sam,Sam LaPorta,LaPorta,9.511764526367188,17,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-91443,TE,McCallan,McCallan Castles,Castles,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-73273,RB,David,David Montgomery,Montgomery,14.021333821614583,15,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-120639,WR,Quentin,Quentin Johnston,Johnston,9.574999809265137,16,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-149696,QB,Trey,Trey Lance,Lance,2.7479999542236326,5,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-152128,WR,Dominic,Dominic Lovett,Lovett,,0,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-183488,WR,Isaac,Isaac TeSlaa,TeSlaa,,0,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-69189,QB,Justin,Justin Herbert,Herbert,16.89333258734809,18,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-104388,WR,Tom,Tom Kennedy,Kennedy,0,3,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-149832,TE,Shane,Shane Zylstra,Zylstra,1.350000023841858,2,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-222920,TE,Jordan,Jordan Petaia,Petaia,,0,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-73551,WR,Stantley,Stantley Thomas-Oliver III,Thomas-Oliver III,,0,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
118845-90575,RB,Najee,Najee Harris,Harris,11.272221883138021,18,8000,12000,LAC@DET,LAC,DET,O,Eye,,,,MVP - 1.5X Points/AnyFLEX
118845-92496,K,Cameron,Cameron Dicker,Dicker,10.277777777777779,18,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-53331,QB,Taylor,Taylor Heinicke,Heinicke,0.7799999713897705,4,8000,12000,LAC@DET,LAC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
118845-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.18777804904514,18,8000,12000,LAC@DET,DET,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
