Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119162-12545,D,Philadelphia,Philadelphia Eagles,Eagles,9.047619047619047,21,6000,CIN@PHI,PHI,CIN,,,,,,DEF
119162-151811,WR,Ketron,Ketron Jackson Jr.,Jackson Jr.,,0,6000,LV@SEA,LV,SEA,,,,,,WR/FLEX
119162-12550,D,Seattle,Seattle Seahawks,Seahawks,8.058823529411764,17,6000,LV@SEA,SEA,LV,,,,,,DEF
119162-89607,QB,Tanner,Tanner McKee,McKee,7.204999923706055,4,6000,CIN@PHI,PHI,CIN,,,,,,QB
119162-86278,QB,Desmond,Desmond Ridder,Ridder,4.784000015258789,5,6000,CIN@PHI,CIN,PHI,,,,,,QB
119162-136970,WR,Danny,Danny Gray,Gray,0,1,6000,CIN@PHI,PHI,CIN,Q,Finger,,,,WR/FLEX
119162-12555,D,Baltimore,Baltimore Ravens,Ravens,6.631578947368421,19,6000,IND@BAL,BAL,IND,,,,,,DEF
119162-201230,RB,Dylan,Dylan Laube,Laube,-0.3333333333333333,6,6000,LV@SEA,LV,SEA,,,,,,RB/FLEX
119162-62994,WR,Steven,Steven Sims,Sims,0.033333333830038704,12,6000,LV@SEA,SEA,LV,Q,Hamstring,,,,WR/FLEX
119162-137488,RB,Rasheen,Rasheen Ali,Ali,0.6199999809265136,5,6000,IND@BAL,BAL,IND,,,,,,RB/FLEX
119162-128535,TE,Maximilian,Maximilian Mang,Mang,,0,6000,IND@BAL,IND,BAL,,,,,,TE/FLEX
119162-71705,TE,Noah,Noah Fant,Fant,5.333333333333333,15,6000,CIN@PHI,CIN,PHI,,,,,,TE/FLEX
119162-129305,WR,Josh,Josh Downs,Downs,10.75,14,6000,IND@BAL,IND,BAL,,,,,,WR/FLEX
119162-63519,QB,Daniel,Daniel Jones,Jones,14.230000305175782,10,6000,IND@BAL,IND,BAL,,,,,,QB
119162-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,15.896363691850143,11,6000,IND@BAL,IND,BAL,,,,,,QB
119162-114469,WR,Tyrone,Tyrone Broden,Broden,,0,6000,LV@SEA,SEA,LV,,,,,,WR/FLEX
119162-87844,TE,Brady,Brady Russell,Russell,0,1,6000,LV@SEA,SEA,LV,,,,,,TE/FLEX
119162-226859,WR,Darius,Darius Cooper,Cooper,,0,6000,CIN@PHI,PHI,CIN,,,,,,WR/FLEX
119162-86312,WR,Alec,Alec Pierce,Pierce,9.493749618530273,16,6000,IND@BAL,IND,BAL,,,,,,WR/FLEX
119162-226858,RB,ShunDerrick,ShunDerrick Powell,Powell,,0,6000,CIN@PHI,PHI,CIN,,,,,,RB/FLEX
119162-88109,RB,Gary,Gary Brightwell,Brightwell,0,1,6000,CIN@PHI,CIN,PHI,,,,,,RB/FLEX
119162-110380,RB,Keilan,Keilan Robinson,Robinson,0,1,6000,CIN@PHI,PHI,CIN,,,,,,RB/FLEX
119162-226862,TE,Sam,Sam Pitz,Pitz,,0,6000,IND@BAL,BAL,IND,,,,,,TE/FLEX
119162-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,6000,IND@BAL,BAL,IND,,,,,,QB
119162-226867,WR,Blayne,Blayne Taylor,Taylor,,0,6000,IND@BAL,IND,BAL,,,,,,WR/FLEX
119162-64051,QB,Drew,Drew Lock,Lock,12.591428484235491,7,6000,LV@SEA,SEA,LV,,,,,,QB
119162-114231,RB,George,George Holani,Holani,0.699999988079071,2,6000,LV@SEA,SEA,LV,,,,,,RB/FLEX
119162-226869,WR,Tyler,Tyler Kahmann,Kahmann,,0,6000,IND@BAL,IND,BAL,,,,,,WR/FLEX
119162-137530,TE,Tyler,Tyler Warren,Warren,,0,6000,IND@BAL,IND,BAL,,,,,,TE/FLEX
