Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119134-151811,WR,Ketron,Ketron Jackson Jr.,Jackson Jr.,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-12550,D,Seattle,Seattle Seahawks,Seahawks,8.058823529411764,17,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-201230,RB,Dylan,Dylan Laube,Laube,-0.3333333333333333,6,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-62994,WR,Steven,Steven Sims,Sims,0.033333333830038704,12,8000,12000,LV@SEA,SEA,LV,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
119134-63634,WR,Jakobi,Jakobi Meyers,Meyers,12.233333333333333,15,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-110230,RB,Kenny,Kenny McIntosh,McIntosh,2.322222179836697,9,8000,12000,LV@SEA,SEA,LV,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
119134-40856,K,Daniel,Daniel Carlson,Carlson,8.529411764705882,17,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-114469,WR,Tyrone,Tyrone Broden,Broden,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-87844,TE,Brady,Brady Russell,Russell,0,1,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-151726,RB,Robbie,Robbie Ouzts,Ouzts,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-103342,RB,Kenneth,Kenneth Walker III,Walker III,14.654545177112926,11,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-64051,QB,Drew,Drew Lock,Lock,12.591428484235491,7,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,12.470588235294118,17,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-114231,RB,George,George Holani,Holani,0.699999988079071,2,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-134837,WR,Tory,Tory Horton,Horton,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-86203,WR,Justin,Justin Shorter,Shorter,0,1,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-91578,RB,Zamir,Zamir White,White,2.922222137451172,9,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-226878,TE,Carter,Carter Runyon,Runyon,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-112191,QB,John Rhys,John Rhys Plumlee,Plumlee,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-133564,TE,Marshall,Marshall Lang,Lang,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-151741,WR,Jack,Jack Bech,Bech,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-152258,TE,Elijah,Elijah Arroyo,Arroyo,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-72515,TE,Ian,Ian Thomas,Thomas,0.7333333492279053,3,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-103619,WR,Tre,Tre Tucker,Tucker,6.223529591279871,17,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-111300,RB,Jacardia,Jacardia Wright,Wright,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,6,13,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-28744,RB,Raheem,Raheem Mostert,Mostert,4.723077040452224,13,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-60745,K,Jason,Jason Myers,Myers,8.235294117647058,17,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-173518,WR,Qadir,Qadir Ismail,Ismail,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-69836,WR,Collin,Collin Johnson,Johnson,0.36666667461395264,3,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-202060,TE,Pat,Pat Conroy,Conroy,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-208467,QB,Cam,Cam Miller,Miller,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-103376,RB,Zach,Zach Charbonnet,Charbonnet,9.935293758616728,17,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-103506,TE,Nick,Nick Kallerup,Kallerup,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-25813,WR,Phillip,Phillip Dorsett II,Dorsett II,0,2,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-166106,RB,Damien,Damien Martinez,Martinez,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-92890,WR,Cody,Cody White,White,2.700000047683716,2,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-154462,QB,Jalen,Jalen Milroe,Milroe,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-93150,WR,Jake,Jake Bobo,Bobo,2.109090978449041,11,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-79970,WR,Cooper,Cooper Kupp,Kupp,11.607142857142858,14,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-137953,TE,AJ,AJ Barner,Barner,4.535714285714286,14,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-63589,QB,Sam,Sam Darnold,Darnold,18.98111131456163,18,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-151909,WR,Dont'e,Dont'e Thornton Jr.,Thornton Jr.,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-87657,WR,Seth,Seth Williams,Williams,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-169834,WR,Dareke,Dareke Young,Young,0,2,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-129643,RB,D.K.,D.K. Kaufman,Kaufman,,0,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-79980,TE,Eric,Eric Saubert,Saubert,2.6500000953674316,8,8000,12000,LV@SEA,SEA,LV,,,,,,MVP - 1.5X Points/AnyFLEX
119134-138220,WR,Montorie,Montorie Foster Jr.,Foster Jr.,,0,8000,12000,LV@SEA,SEA,LV,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
119134-138221,WR,Ricky,Ricky White III,White III,,0,8000,12000,LV@SEA,SEA,LV,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
119134-151794,TE,Brock,Brock Bowers,Bowers,12.511764526367188,17,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-26483,QB,Geno,Geno Smith,Smith,17.41176470588235,17,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-138998,TE,Michael,Michael Mayer,Mayer,2.372727307406339,11,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-87668,WR,Shedrick,Shedrick Jackson,Jackson,0,2,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-167031,RB,Ashton,Ashton Jeanty,Jeanty,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-104054,RB,Sincere,Sincere McCormick,McCormick,6.050000190734863,4,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-12537,D,Las Vegas,Las Vegas Raiders,Raiders,4.176470588235294,17,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-208634,WR,Tommy,Tommy Mellott,Mellott,,0,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-64634,WR,Alex,Alex Bachman,Bachman,4.599999904632568,1,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-201342,RB,Chris,Chris Collier,Collier,0.2166666587193807,6,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
119134-91902,WR,Kyle,Kyle Philips,Philips,0,1,8000,12000,LV@SEA,LV,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
