Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119275-65724,RB,JaMycal,JaMycal Hasty,Hasty,2.1636362942782315,11,12000,18000,WAS@NE,NE,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
119275-72705,TE,John,John Bates,Bates,1.1538461538461537,13,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-80001,RB,Austin,Austin Ekeler,Ekeler,9.073333740234375,15,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-102785,QB,Jayden,Jayden Daniels,Daniels,22.210000610351564,20,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-111876,WR,DeMario,DeMario Douglas,Douglas,7.168749809265137,16,6000,9000,WAS@NE,NE,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
119275-12552,D,Washington,Washington Commanders,Commanders,5.5,20,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-94345,TE,Cole,Cole Turner,Turner,2.1875,8,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-156426,RB,Brock,Brock Lampe,Lampe,,0,6000,9000,WAS@NE,NE,WAS,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
119275-70282,RB,Demetric,Demetric Felton,Felton,,0,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-40845,TE,Hunter,Hunter Henry,Henry,7.212500095367432,16,6000,9000,WAS@NE,NE,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
119275-87180,K,Matt,Matt Gay,Gay,8.6875,16,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
119275-86800,TE,Colson,Colson Yankoff,Yankoff,,0,6000,9000,WAS@NE,WAS,NE,,,,,,MVP - 1.5X Points/AnyFLEX
