Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120169-62239,QB,Josh,Josh Allen,Allen,24.209474262438324,19,13600,20400,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-63115,QB,Lamar,Lamar Jackson,Jackson,25.554737291837995,19,13200,19800,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-39280,RB,Derrick,Derrick Henry,Henry,21.152631257709704,19,12800,19200,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-91626,RB,James,James Cook,Cook,16.857894094366777,19,10400,15600,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-112295,WR,Zay,Zay Flowers,Flowers,11.029411764705882,17,10000,15000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-86518,WR,Khalil,Khalil Shakir,Shakir,9.827777438693577,18,9400,14100,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-52436,TE,Mark,Mark Andrews,Andrews,9.07368388928865,19,8600,12900,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-85845,WR,Rashod,Rashod Bateman,Bateman,9.950000339084202,18,8000,12000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-87418,WR,Joshua,Joshua Palmer,Palmer,5.8600001017252605,15,7600,11400,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-65128,K,Tyler,Tyler Bass,Bass,8.75,20,7200,10800,BAL@BUF,BUF,BAL,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
120169-140491,K,Tyler,Tyler Loop,Loop,,0,6800,10200,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-12555,D,Baltimore,Baltimore Ravens,Ravens,6.631578947368421,19,6400,9600,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-12526,D,Buffalo,Buffalo Bills,Bills,7.55,20,6200,9300,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-145558,TE,Dalton,Dalton Kincaid,Kincaid,5.556250095367432,16,5400,8100,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-94534,WR,Gabe,Gabe Davis,Davis,4.877777947319879,9,5000,7500,BAL@BUF,BUF,BAL,O,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
120169-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.915789152446546,19,5000,7500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-157467,WR,Keon,Keon Coleman,Coleman,6.606249809265137,16,4800,7200,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-88575,WR,Elijah,Elijah Moore,Moore,5.494117736816406,17,4400,6600,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-87260,TE,Isaiah,Isaiah Likely,Likely,7.100000169542101,18,4000,6000,BAL@BUF,BAL,BUF,O,Foot,,,,MVP - 1.5X Points/AnyFLEX
120169-71521,RB,Justice,Justice Hill,Hill,7.252941355985754,17,4000,6000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-63050,RB,Ty,Ty Johnson,Johnson,5.325,20,3800,5700,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-103694,RB,Ray,Ray Davis,Davis,5.8599998474121096,20,3400,5100,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-64585,TE,Dawson,Dawson Knox,Knox,3.2117646161247704,17,3000,4500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-52613,WR,Curtis,Curtis Samuel,Samuel,4.194117826573989,17,2800,4200,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-139284,RB,Frank,Frank Gore Jr.,Gore Jr.,,0,2400,3600,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
120169-87515,WR,Tylan,Tylan Wallace,Wallace,3.2999998728434243,12,2000,3000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-156527,WR,Devontez,Devontez Walker,Walker,4.300000190734863,2,1800,2700,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-134023,RB,Keaton,Keaton Mitchell,Mitchell,1.2600000381469727,5,1600,2400,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-80299,RB,Patrick,Patrick Ricard,Ricard,2.616666634877523,6,1400,2100,BAL@BUF,BAL,BUF,O,Calf,,,,MVP - 1.5X Points/AnyFLEX
120169-85635,TE,Charlie,Charlie Kolar,Kolar,3.3999998910086497,7,1200,1800,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
120169-110721,WR,Dayton,Dayton Wade,Wade,,0,1000,1500,BAL@BUF,BAL,BUF,IR,Ribs,,,,MVP - 1.5X Points/AnyFLEX
