entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3564281755,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-63115:Lamar Jackson,120169-62239:Josh Allen,120169-52436:Mark Andrews,120169-85845:Rashod Bateman,120169-16606:DeAndre Hopkins,120169-157467:Keon Coleman,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3564281756,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-62239:Josh Allen,120169-63115:Lamar Jackson,120169-52436:Mark Andrews,120169-85845:Rashod Bateman,120169-16606:DeAndre Hopkins,120169-157467:Keon Coleman,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3564281757,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-63115:Lamar Jackson,120169-62239:Josh Allen,120169-86518:Khalil Shakir,120169-140491:Tyler Loop,120169-16606:DeAndre Hopkins,120169-157467:Keon Coleman,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3564281758,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-62239:Josh Allen,120169-63115:Lamar Jackson,120169-86518:Khalil Shakir,120169-140491:Tyler Loop,120169-16606:DeAndre Hopkins,120169-157467:Keon Coleman,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3564281760,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-91626:James Cook,120169-63115:Lamar Jackson,120169-86518:Khalil Shakir,120169-85845:Rashod Bateman,120169-87418:Joshua Palmer,120169-145558:Dalton Kincaid,,,,,,,,,,,,,,,,,,,,
3564281761,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-86518:Khalil Shakir,120169-91626:James Cook,120169-63115:Lamar Jackson,120169-52436:Mark Andrews,120169-85845:Rashod Bateman,120169-145558:Dalton Kincaid,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3564281764,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-39280:Derrick Henry,120169-63115:Lamar Jackson,120169-85845:Rashod Bateman,120169-140491:Tyler Loop,120169-12526:Buffalo Bills,120169-145558:Dalton Kincaid,,120169-62239:Josh Allen,120169-62239,QB,Josh,Josh Allen,Allen,24.20947426,19,13600,20400,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
3564281765,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-39280:Derrick Henry,120169-91626:James Cook,120169-86518:Khalil Shakir,120169-85845:Rashod Bateman,120169-87418:Joshua Palmer,120169-145558:Dalton Kincaid,,120169-63115:Lamar Jackson,120169-63115,QB,Lamar,Lamar Jackson,Jackson,25.55473729,19,13200,19800,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
3564281768,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-91626:James Cook,120169-63115:Lamar Jackson,120169-86518:Khalil Shakir,120169-85845:Rashod Bateman,120169-140491:Tyler Loop,120169-145558:Dalton Kincaid,,120169-39280:Derrick Henry,120169-39280,RB,Derrick,Derrick Henry,Henry,21.15263126,19,12800,19200,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
3564281770,120169-276333257,$10K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120169-112295:Zay Flowers,120169-63115:Lamar Jackson,120169-86518:Khalil Shakir,120169-85845:Rashod Bateman,120169-87418:Joshua Palmer,120169-140491:Tyler Loop,,120169-91626:James Cook,120169-91626,RB,James,James Cook,Cook,16.85789409,19,10400,15600,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-112295:Zay Flowers,120169-112295,WR,Zay,Zay Flowers,Flowers,11.02941176,17,10000,15000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-86518:Khalil Shakir,120169-86518,WR,Khalil,Khalil Shakir,Shakir,9.827777439,18,9400,14100,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-52436:Mark Andrews,120169-52436,TE,Mark,Mark Andrews,Andrews,9.073683889,19,8600,12900,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-85845:Rashod Bateman,120169-85845,WR,Rashod,Rashod Bateman,Bateman,9.950000339,18,8000,12000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-87418:Joshua Palmer,120169-87418,WR,Joshua,Joshua Palmer,Palmer,5.860000102,15,7600,11400,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-65128:Tyler Bass,120169-65128,K,Tyler,Tyler Bass,Bass,8.75,20,7200,10800,BAL@BUF,BUF,BAL,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-140491:Tyler Loop,120169-140491,K,Tyler,Tyler Loop,Loop,,0,6800,10200,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-12555:Baltimore Ravens,120169-12555,D,Baltimore,Baltimore Ravens,Ravens,6.631578947,19,6400,9600,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-12526:Buffalo Bills,120169-12526,D,Buffalo,Buffalo Bills,Bills,7.55,20,6200,9300,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-145558:Dalton Kincaid,120169-145558,TE,Dalton,Dalton Kincaid,Kincaid,5.556250095,16,5400,8100,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-94534:Gabe Davis,120169-94534,WR,Gabe,Gabe Davis,Davis,4.877777947,9,5000,7500,BAL@BUF,BUF,BAL,O,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-16606:DeAndre Hopkins,120169-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.915789152,19,5000,7500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-157467:Keon Coleman,120169-157467,WR,Keon,Keon Coleman,Coleman,6.606249809,16,4800,7200,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-88575:Elijah Moore,120169-88575,WR,Elijah,Elijah Moore,Moore,5.494117737,17,4400,6600,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-87260:Isaiah Likely,120169-87260,TE,Isaiah,Isaiah Likely,Likely,7.10000017,18,4000,6000,BAL@BUF,BAL,BUF,NA,Foot,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-71521:Justice Hill,120169-71521,RB,Justice,Justice Hill,Hill,7.252941356,17,4000,6000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-63050:Ty Johnson,120169-63050,RB,Ty,Ty Johnson,Johnson,5.325,20,3800,5700,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-103694:Ray Davis,120169-103694,RB,Ray,Ray Davis,Davis,5.859999847,20,3400,5100,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-64585:Dawson Knox,120169-64585,TE,Dawson,Dawson Knox,Knox,3.211764616,17,3000,4500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-52613:Curtis Samuel,120169-52613,WR,Curtis,Curtis Samuel,Samuel,4.194117827,17,2800,4200,BAL@BUF,BUF,BAL,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-139284:Frank Gore Jr.,120169-139284,RB,Frank,Frank Gore Jr.,Gore Jr.,,0,2400,3600,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-87515:Tylan Wallace,120169-87515,WR,Tylan,Tylan Wallace,Wallace,3.299999873,12,2000,3000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-156527:Devontez Walker,120169-156527,WR,Devontez,Devontez Walker,Walker,4.300000191,2,1800,2700,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-134023:Keaton Mitchell,120169-134023,RB,Keaton,Keaton Mitchell,Mitchell,1.260000038,5,1600,2400,BAL@BUF,BAL,BUF,NA,Coach's decision,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-80299:Patrick Ricard,120169-80299,RB,Patrick,Patrick Ricard,Ricard,2.616666635,6,1400,2100,BAL@BUF,BAL,BUF,NA,Calf,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-85635:Charlie Kolar,120169-85635,TE,Charlie,Charlie Kolar,Kolar,3.399999891,7,1200,1800,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-110721:Dayton Wade,120169-110721,WR,Dayton,Dayton Wade,Wade,,0,1000,1500,BAL@BUF,BAL,BUF,IR,Ribs,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-57543:D'Ernest Johnson,120169-57543,RB,D'Ernest,D'Ernest Johnson,Johnson,2.491666635,12,1000,1500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-69833:Shane Buechele,120169-69833,QB,Shane,Shane Buechele,Buechele,,0,1000,1500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-41936:Anthony Miller,120169-41936,WR,Anthony,Anthony Miller,Miller,2.300000032,3,1000,1500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-137488:Rasheen Ali,120169-137488,RB,Rasheen,Rasheen Ali,Ali,0.619999981,5,1000,1500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-157975:Keleki Latu,120169-157975,TE,Keleki,Keleki Latu,Latu,,0,1000,1500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-90583:Tyrell Shavers,120169-90583,WR,Tyrell,Tyrell Shavers,Shavers,13.39999962,1,1000,1500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-129302:Stephen Gosnell,120169-129302,WR,Stephen,Stephen Gosnell,Gosnell,,0,1000,1500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120169-70426:Reggie Gilliam,120169-70426,RB,Reggie,Reggie Gilliam,Gilliam,0.349999994,2,1000,1500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
