Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119244-64401,RB,Saquon,Saquon Barkley,Barkley,23.735000610351562,20,14400,21600,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-69531,QB,Jalen,Jalen Hurts,Hurts,22.1347367136102,19,12200,18300,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.793332926432292,15,12000,18000,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-72846,WR,A.J.,A.J. Brown,Brown,13.688235114602481,17,11200,16800,DAL@PHI,PHI,DAL,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
119244-31716,QB,Dak,Dak Prescott,Prescott,16.315000534057617,8,10800,16200,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-90576,WR,DeVonta,DeVonta Smith,Smith,11.355555216471354,18,9600,14400,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-110246,WR,George,George Pickens,Pickens,10.540000406901042,15,8400,12600,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-12545,D,Philadelphia,Philadelphia Eagles,Eagles,9.047619047619047,21,7800,11700,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-83074,TE,Dallas,Dallas Goedert,Goedert,8.77857153756278,14,7400,11100,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-93541,RB,Javonte,Javonte Williams,Williams,7.622222052680121,18,6600,9900,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-189471,K,Brandon,Brandon Aubrey,Aubrey,11.294117647058824,17,6200,9300,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-41235,K,Jake,Jake Elliott,Elliott,9,21,5800,8700,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-12530,D,Dallas,Dallas Cowboys,Cowboys,6.529411764705882,17,5400,8100,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-88548,WR,Jalen,Jalen Tolbert,Tolbert,7.5,17,5200,7800,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-89680,TE,Jake,Jake Ferguson,Ferguson,4.993333435058593,15,5000,7500,DAL@PHI,DAL,PHI,Q,Lower back,,,,MVP - 1.5X Points/AnyFLEX
119244-71845,RB,Miles,Miles Sanders,Sanders,5.936363913796165,11,4000,6000,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-152520,RB,Will,Will Shipley,Shipley,2.2833333015441895,12,3400,5100,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-86229,WR,Jahan,Jahan Dotson,Dotson,2.825000047683716,16,3000,4500,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-60957,WR,KaVontae,KaVontae Turpin,Turpin,5.543749809265137,16,2800,4200,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-166801,RB,Jaydon,Jaydon Blue,Blue,,0,2400,3600,DAL@PHI,DAL,PHI,Q,Heel,,,,MVP - 1.5X Points/AnyFLEX
119244-119722,WR,Johnny,Johnny Wilson,Wilson,1.2300000190734863,10,2200,3300,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-93107,RB,A.J.,A.J. Dillon,Dillon,7.106666564941406,15,2000,3000,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-112192,WR,Jonathan,Jonathan Mingo,Mingo,1.6928571973528181,14,1800,2700,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,4.3599998474121096,10,1600,2400,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
119244-138277,WR,Jalen,Jalen Brooks,Brooks,2.284615443303035,13,1400,2100,DAL@PHI,DAL,PHI,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
119244-71143,TE,Kylen,Kylen Granson,Granson,1.8000000544956751,14,1400,2100,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
119244-185863,RB,Hunter,Hunter Luepke,Luepke,1.4928571156093053,14,1200,1800,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
