entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3556794372,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-88548:Jalen Tolbert,119244-189471:Brandon Aubrey,119244-69531:Jalen Hurts,119244-31716:Dak Prescott,119244-110246:George Pickens,119244-64401:Saquon Barkley,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3556794373,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-69531:Jalen Hurts,119244-64401:Saquon Barkley,119244-31716:Dak Prescott,119244-83074:Dallas Goedert,119244-12530:Dallas Cowboys,119244-86229:Jahan Dotson,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3556794375,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-64401:Saquon Barkley,119244-69531:Jalen Hurts,119244-72846:A.J. Brown,119244-41235:Jake Elliott,119244-88548:Jalen Tolbert,119244-86229:Jahan Dotson,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3556794376,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-64401:Saquon Barkley,119244-69531:Jalen Hurts,119244-72846:A.J. Brown,119244-93541:Javonte Williams,119244-88548:Jalen Tolbert,119244-86229:Jahan Dotson,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3556794378,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-72846:A.J. Brown,119244-69531:Jalen Hurts,119244-64401:Saquon Barkley,119244-93541:Javonte Williams,119244-189471:Brandon Aubrey,119244-86229:Jahan Dotson,,,,,,,,,,,,,,,,,,,,
3556794379,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-86229:Jahan Dotson,119244-12545:Philadelphia Eagles,119244-69531:Jalen Hurts,119244-31716:Dak Prescott,119244-90576:DeVonta Smith,119244-64401:Saquon Barkley,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3556794380,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-90576:DeVonta Smith,119244-69531:Jalen Hurts,119244-64401:Saquon Barkley,119244-93541:Javonte Williams,119244-189471:Brandon Aubrey,119244-89680:Jake Ferguson,,119244-64401:Saquon Barkley,119244-64401,RB,Saquon,Saquon Barkley,Barkley,23.73500061,20,14400,21600,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
3556794381,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-69531:Jalen Hurts,119244-86631:CeeDee Lamb,119244-31716:Dak Prescott,119244-110246:George Pickens,119244-12530:Dallas Cowboys,119244-89680:Jake Ferguson,,119244-69531:Jalen Hurts,119244-69531,QB,Jalen,Jalen Hurts,Hurts,22.13473671,19,12200,18300,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
3556794382,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-64401:Saquon Barkley,119244-86631:CeeDee Lamb,119244-31716:Dak Prescott,119244-93541:Javonte Williams,119244-89680:Jake Ferguson,119244-86229:Jahan Dotson,,119244-86631:CeeDee Lamb,119244-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.79333293,15,12000,18000,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3556794383,119244-276076576,$50K Thu NFL Hail Mary ($0.25 to Enter),0.25,119244-90576:DeVonta Smith,119244-86631:CeeDee Lamb,119244-31716:Dak Prescott,119244-64401:Saquon Barkley,119244-89680:Jake Ferguson,119244-86229:Jahan Dotson,,119244-72846:A.J. Brown,119244-72846,WR,A.J.,A.J. Brown,Brown,13.68823511,17,11200,16800,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-31716:Dak Prescott,119244-31716,QB,Dak,Dak Prescott,Prescott,16.31500053,8,10800,16200,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-90576:DeVonta Smith,119244-90576,WR,DeVonta,DeVonta Smith,Smith,11.35555522,18,9600,14400,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-110246:George Pickens,119244-110246,WR,George,George Pickens,Pickens,10.54000041,15,8400,12600,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-12545:Philadelphia Eagles,119244-12545,D,Philadelphia,Philadelphia Eagles,Eagles,9.047619048,21,7800,11700,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-83074:Dallas Goedert,119244-83074,TE,Dallas,Dallas Goedert,Goedert,8.778571538,14,7400,11100,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-93541:Javonte Williams,119244-93541,RB,Javonte,Javonte Williams,Williams,7.622222053,18,6600,9900,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-189471:Brandon Aubrey,119244-189471,K,Brandon,Brandon Aubrey,Aubrey,11.29411765,17,6200,9300,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-41235:Jake Elliott,119244-41235,K,Jake,Jake Elliott,Elliott,9,21,5800,8700,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-12530:Dallas Cowboys,119244-12530,D,Dallas,Dallas Cowboys,Cowboys,6.529411765,17,5400,8100,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-88548:Jalen Tolbert,119244-88548,WR,Jalen,Jalen Tolbert,Tolbert,7.5,17,5200,7800,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-89680:Jake Ferguson,119244-89680,TE,Jake,Jake Ferguson,Ferguson,4.993333435,15,5000,7500,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-71845:Miles Sanders,119244-71845,RB,Miles,Miles Sanders,Sanders,5.936363914,11,4000,6000,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-152520:Will Shipley,119244-152520,RB,Will,Will Shipley,Shipley,2.283333302,12,3400,5100,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-86229:Jahan Dotson,119244-86229,WR,Jahan,Jahan Dotson,Dotson,2.825000048,16,3000,4500,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-60957:KaVontae Turpin,119244-60957,WR,KaVontae,KaVontae Turpin,Turpin,5.543749809,16,2800,4200,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-166801:Jaydon Blue,119244-166801,RB,Jaydon,Jaydon Blue,Blue,,0,2400,3600,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-119722:Johnny Wilson,119244-119722,WR,Johnny,Johnny Wilson,Wilson,1.230000019,10,2200,3300,DAL@PHI,PHI,DAL,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-93107:A.J. Dillon,119244-93107,RB,A.J.,A.J. Dillon,Dillon,7.106666565,15,2000,3000,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-112192:Jonathan Mingo,119244-112192,WR,Jonathan,Jonathan Mingo,Mingo,1.692857197,14,1800,2700,DAL@PHI,DAL,PHI,IR,Knee - pcl,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-91417:Luke Schoonmaker,119244-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,4.359999847,10,1600,2400,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-138277:Jalen Brooks,119244-138277,WR,Jalen,Jalen Brooks,Brooks,2.284615443,13,1400,2100,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-71143:Kylen Granson,119244-71143,TE,Kylen,Kylen Granson,Granson,1.800000054,14,1400,2100,DAL@PHI,PHI,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-185863:Hunter Luepke,119244-185863,RB,Hunter,Hunter Luepke,Luepke,1.492857116,14,1200,1800,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-137254:Deuce Vaughn,119244-137254,RB,Deuce,Deuce Vaughn,Vaughn,1.716666698,6,1200,1800,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,119244-200450:Tyler Neville,119244-200450,TE,Tyler,Tyler Neville,Neville,,0,1000,1500,DAL@PHI,DAL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
