MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
119244-89680:Jake Ferguson,119244-189471:Brandon Aubrey,119244-86631:CeeDee Lamb,119244-72846:A.J. Brown,119244-31716:Dak Prescott,119244-69531:Jalen Hurts
119244-86631:CeeDee Lamb,119244-69531:Jalen Hurts,119244-31716:Dak Prescott,119244-93541:Javonte Williams,119244-189471:Brandon Aubrey,119244-89680:Jake Ferguson
119244-31716:Dak Prescott,119244-86631:CeeDee Lamb,119244-69531:Jalen Hurts,119244-110246:George Pickens,119244-41235:Jake Elliott,119244-88548:Jalen Tolbert
119244-86631:CeeDee Lamb,119244-69531:Jalen Hurts,119244-31716:Dak Prescott,119244-90576:DeVonta Smith,119244-189471:Brandon Aubrey,119244-86229:Jahan Dotson
119244-31716:Dak Prescott,119244-86631:CeeDee Lamb,119244-69531:Jalen Hurts,119244-83074:Dallas Goedert,119244-93541:Javonte Williams,119244-88548:Jalen Tolbert
119244-86631:CeeDee Lamb,119244-72846:A.J. Brown,119244-31716:Dak Prescott,119244-83074:Dallas Goedert,119244-93541:Javonte Williams,119244-41235:Jake Elliott
119244-31716:Dak Prescott,119244-86631:CeeDee Lamb,119244-64401:Saquon Barkley,119244-189471:Brandon Aubrey,119244-41235:Jake Elliott,119244-88548:Jalen Tolbert
119244-189471:Brandon Aubrey,119244-69531:Jalen Hurts,119244-72846:A.J. Brown,119244-83074:Dallas Goedert,119244-64401:Saquon Barkley,119244-88548:Jalen Tolbert
119244-69531:Jalen Hurts,119244-64401:Saquon Barkley,119244-72846:A.J. Brown,119244-83074:Dallas Goedert,119244-88548:Jalen Tolbert,119244-86229:Jahan Dotson
119244-86631:CeeDee Lamb,119244-69531:Jalen Hurts,119244-12545:Philadelphia Eagles,119244-189471:Brandon Aubrey,119244-41235:Jake Elliott,119244-12530:Dallas Cowboys
