Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120114-57439,QB,Patrick,Patrick Mahomes,Mahomes,19.467368678042764,19,13200,19800,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-133472,WR,Ladd,Ladd McConkey,McConkey,14.241176829618567,17,12200,18300,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-69189,QB,Justin,Justin Herbert,Herbert,16.89333258734809,18,12000,18000,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-158974,WR,Xavier,Xavier Worthy,Worthy,11.457894576223273,19,11600,17400,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-33076,TE,Travis,Travis Kelce,Kelce,9.62631546823602,19,10600,15900,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-92575,RB,Isiah,Isiah Pacheco,Pacheco,5.779999923706055,10,9000,13500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-29253,WR,Keenan,Keenan Allen,Allen,10.226666259765626,15,8400,12600,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-90575,RB,Najee,Najee Harris,Harris,11.272221883138021,18,8000,12000,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-92496,K,Cameron,Cameron Dicker,Dicker,10.277777777777779,18,7800,11700,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.2,20,7200,10800,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-41642,K,Harrison,Harrison Butker,Butker,7.3125,16,7000,10500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-45229,RB,Kareem,Kareem Hunt,Hunt,11.024999618530273,16,6800,10200,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-174215,RB,Omarion,Omarion Hampton,Hampton,,0,6400,9600,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-12548,D,Los Angeles,Los Angeles Chargers,Chargers,7.611111111111111,18,6000,9000,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-120639,WR,Quentin,Quentin Johnston,Johnston,9.574999809265137,16,5800,8700,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-86687,WR,Hollywood,Hollywood Brown,Brown,4.220000076293945,5,5200,7800,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-56708,TE,Will,Will Dissly,Dissly,5.481249809265137,16,4600,6900,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-129546,WR,Tre',Tre' Harris,Harris,,0,4200,6300,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-92413,RB,Elijah,Elijah Mitchell,Mitchell,,0,3800,5700,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-93143,TE,Noah,Noah Gray,Gray,5.377777947319879,18,3400,5100,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.050000054495675,14,3000,4500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-60451,TE,Tyler,Tyler Conklin,Conklin,6.025000095367432,16,2400,3600,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-91361,RB,Hassan,Hassan Haskins,Haskins,2.6499999364217124,12,2200,3300,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-94621,WR,Derius,Derius Davis,Davis,2.2800000508626304,15,1800,2700,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-155775,RB,Brashard,Brashard Smith,Smith,,0,1600,2400,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-128805,WR,KeAndre,KeAndre Lambert-Smith,Lambert-Smith,,0,1400,2100,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-63625,RB,Nyheim,Nyheim Miller-Hines,Miller-Hines,,0,1200,1800,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-92545,RB,Keaontay,Keaontay Ingram,Ingram,0,1,1000,1500,KC@LAC,KC,LAC,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
120114-89220,WR,Tyquan,Tyquan Thornton,Thornton,1.3399999618530274,5,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-87179,TE,Thomas,Thomas Yassmin,Yassmin,,0,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-138643,WR,Jason,Jason Brownlee,Brownlee,0,1,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-135824,WR,Luke,Luke Grimm,Grimm,,0,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-103192,TE,Jared,Jared Wiley,Wiley,0.6000000238418579,2,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-160287,RB,Amar,Amar Johnson,Johnson,,0,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-119730,WR,Jimmy,Jimmy Holiday,Holiday,,0,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-73398,QB,Chris,Chris Oladokun,Oladokun,0.25,2,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-149696,QB,Trey,Trey Lance,Lance,2.7479999542236326,5,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-152526,TE,Jake,Jake Briningstool,Briningstool,,0,1000,1500,KC@LAC,KC,LAC,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
120114-176467,WR,Jalen,Jalen Royals,Royals,,0,1000,1500,KC@LAC,KC,LAC,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
120114-156374,TE,Tre,Tre Watson,Watson,,0,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-91481,WR,Nikko,Nikko Remigio,Remigio,0.7250000238418579,8,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-42077,TE,James,James Winchester,Winchester,0,2,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-80353,TE,Robert,Robert Tonyan,Tonyan,,0,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-158438,TE,Oronde,Oronde Gadsden II,Gadsden II,,0,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-192359,WR,JaQuae,JaQuae Jackson,Jackson,,0,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-61798,QB,Gardner,Gardner Minshew II,Minshew II,10.631999969482422,10,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-156523,RB,Carson,Carson Steele,Steele,1.569230739886944,13,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,2.8333333333333335,3,1000,1500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-89586,TE,Tucker,Tucker Fisk,Fisk,1.1749999523162842,8,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
120114-128633,RB,Kimani,Kimani Vidal,Vidal,3.355555640326606,9,1000,1500,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
