entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3563358702,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-57439:Patrick Mahomes,120114-69189:Justin Herbert,120114-29253:Keenan Allen,120114-92496:Cameron Dicker,120114-12548:Los Angeles Chargers,120114-120639:Quentin Johnston,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3563358703,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-69189:Justin Herbert,120114-133472:Ladd McConkey,120114-57439:Patrick Mahomes,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,120114-55987:JuJu Smith-Schuster,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3563358704,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-133472:Ladd McConkey,120114-57439:Patrick Mahomes,120114-69189:Justin Herbert,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,120114-55987:JuJu Smith-Schuster,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3563358706,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-57439:Patrick Mahomes,120114-133472:Ladd McConkey,120114-92575:Isiah Pacheco,120114-41642:Harrison Butker,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3563358707,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-69189:Justin Herbert,120114-133472:Ladd McConkey,120114-33076:Travis Kelce,120114-41642:Harrison Butker,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,,,,,,,,,,,,,,,,,,,,
3563358709,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-33076:Travis Kelce,120114-133472:Ladd McConkey,120114-57439:Patrick Mahomes,120114-41642:Harrison Butker,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3563358711,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-158974:Xavier Worthy,120114-69189:Justin Herbert,120114-133472:Ladd McConkey,120114-92575:Isiah Pacheco,120114-174215:Omarion Hampton,120114-55987:JuJu Smith-Schuster,,120114-57439:Patrick Mahomes,120114-57439,QB,Patrick,Patrick Mahomes,Mahomes,19.46736868,19,13200,19800,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
3563358712,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-133472:Ladd McConkey,120114-57439:Patrick Mahomes,120114-92575:Isiah Pacheco,120114-41642:Harrison Butker,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,,120114-133472:Ladd McConkey,120114-133472,WR,Ladd,Ladd McConkey,McConkey,14.24117683,17,12200,18300,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3563358714,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-92575:Isiah Pacheco,120114-69189:Justin Herbert,120114-33076:Travis Kelce,120114-133472:Ladd McConkey,120114-174215:Omarion Hampton,120114-86687:Hollywood Brown,,120114-69189:Justin Herbert,120114-69189,QB,Justin,Justin Herbert,Herbert,16.89333259,18,12000,18000,KC@LAC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3563358716,120114-276333506,$5K Fri NFL Pooch Punt (150 Entries Max),0.05,120114-174215:Omarion Hampton,120114-69189:Justin Herbert,120114-158974:Xavier Worthy,120114-92575:Isiah Pacheco,120114-133472:Ladd McConkey,120114-86687:Hollywood Brown,,120114-158974:Xavier Worthy,120114-158974,WR,Xavier,Xavier Worthy,Worthy,11.45789458,19,11600,17400,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120114-33076:Travis Kelce,120114-33076,TE,Travis,Travis Kelce,Kelce,9.626315468,19,10600,15900,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,,,120114-92575:Isiah Pacheco,120114-92575,RB,Isiah,Isiah Pacheco,Pacheco,5.779999924,10,9000,13500,KC@LAC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
