Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120172-85671,WR,Justin,Justin Jefferson,Jefferson,16.07111104329427,18,14800,22200,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-152113,QB,Caleb,Caleb Williams,Williams,16.031765208524817,17,12600,18900,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-152575,QB,J.J.,J.J. McCarthy,McCarthy,,0,12000,18000,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,12.755555894639757,18,10400,15600,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-63043,WR,DJ,DJ Moore,Moore,11.476470947265625,17,10200,15300,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-91598,RB,D'Andre,D'Andre Swift,Swift,11.558823529411764,17,9400,14100,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-71706,TE,T.J.,T.J. Hockenson,Hockenson,7.627272865988991,11,8400,12600,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-120033,WR,Rome,Rome Odunze,Odunze,7.28823538387523,17,8000,12000,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-39716,WR,Adam,Adam Thielen,Thielen,12.15,10,7800,11700,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-12540,D,Minnesota,Minnesota Vikings,Vikings,9.11111111111111,18,7200,10800,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-102703,K,Will,Will Reichard,Reichard,9.571428571428571,14,7000,10500,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-12527,D,Chicago,Chicago Bears,Bears,7.117647058823529,17,6800,10200,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-33714,K,Cairo,Cairo Santos,Santos,6.411764705882353,17,6400,9600,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-86875,RB,Jordan,Jordan Mason,Mason,9.875,12,5800,8700,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-166588,TE,Colston,Colston Loveland,Loveland,,0,5400,8100,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-91047,TE,Cole,Cole Kmet,Kmet,6.921428680419922,14,4800,7200,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-103187,RB,Roschon,Roschon Johnson,Johnson,5.783333460489909,12,4400,6600,MIN@CHI,CHI,MIN,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
120172-92859,WR,Jalen,Jalen Nailor,Nailor,5.862500190734863,16,4000,6000,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-166092,WR,Luther,Luther Burden III,Burden III,,0,3600,5400,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.9950000762939455,20,3200,4800,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-71032,WR,Devin,Devin Duvernay,Duvernay,1.1416666507720947,12,2800,4200,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120172-87371,RB,Ty,Ty Chandler,Chandler,1.6933333079020183,15,2400,3600,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-63907,TE,Josh,Josh Oliver,Oliver,3.9857142312186107,14,2000,3000,MIN@CHI,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
120172-42046,TE,Durham,Durham Smythe,Smythe,0.7538461685180664,13,1800,2700,MIN@CHI,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
