MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
122490-102965:Bo Nix,122490-87787:J.K. Dobbins,122490-57403:Courtland Sutton,122490-103619:Tre Tucker,122490-151903:Troy Franklin,122490-130270:Adam Trautman,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
122490-102965:Bo Nix,122490-151794:Brock Bowers,122490-26483:Geno Smith,122490-87787:J.K. Dobbins,122490-151741:Jack Bech,122490-130270:Adam Trautman,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
122490-87787:J.K. Dobbins,122490-102965:Bo Nix,122490-167031:Ashton Jeanty,122490-103619:Tre Tucker,122490-41872:Evan Engram,122490-155551:Pat Bryant,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,,
122490-87787:J.K. Dobbins,122490-102965:Bo Nix,122490-26483:Geno Smith,122490-103619:Tre Tucker,122490-151903:Troy Franklin,122490-130270:Adam Trautman,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,,
122490-26483:Geno Smith,122490-102965:Bo Nix,122490-151794:Brock Bowers,122490-103619:Tre Tucker,122490-40856:Daniel Carlson,122490-130270:Adam Trautman,,,,,,,,,,,,,,,,,,,,
122490-26483:Geno Smith,122490-102965:Bo Nix,122490-57403:Courtland Sutton,122490-103619:Tre Tucker,122490-110484:RJ Harvey,122490-151741:Jack Bech,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122490-167031:Ashton Jeanty,122490-102965:Bo Nix,122490-87787:J.K. Dobbins,122490-103619:Tre Tucker,122490-41872:Evan Engram,122490-151741:Jack Bech,,122490-102965:Bo Nix,122490-102965,QB,Bo,Bo Nix,Nix,20.971111721462673,9,13800,20700,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
122490-167031:Ashton Jeanty,122490-102965:Bo Nix,122490-103619:Tre Tucker,122490-110484:RJ Harvey,122490-40856:Daniel Carlson,122490-41872:Evan Engram,,122490-167031:Ashton Jeanty,122490-167031,RB,Ashton,Ashton Jeanty,Jeanty,13.625,8,12200,18300,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
122490-151794:Brock Bowers,122490-102965:Bo Nix,122490-103619:Tre Tucker,122490-151903:Troy Franklin,122490-12531:Denver Broncos,122490-27050:Tyler Lockett,,122490-151794:Brock Bowers,122490-151794,TE,Brock,Brock Bowers,Bowers,15.460000610351562,5,12000,18000,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
122490-151794:Brock Bowers,122490-102965:Bo Nix,122490-26483:Geno Smith,122490-103619:Tre Tucker,122490-48380:Wil Lutz,122490-130270:Adam Trautman,,122490-26483:Geno Smith,122490-26483,QB,Geno,Geno Smith,Smith,14.267499923706055,8,11400,17100,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-87787:J.K. Dobbins,122490-87787,RB,J.K.,J.K. Dobbins,Dobbins,11.944444444444445,9,10600,15900,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-57403:Courtland Sutton,122490-57403,WR,Courtland,Courtland Sutton,Sutton,11.622222052680122,9,9800,14700,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-103619:Tre Tucker,122490-103619,WR,Tre,Tre Tucker,Tucker,11.074999809265137,8,8200,12300,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-92560:Sam Ehlinger,122490-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,8000,12000,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-60947:Jarrett Stidham,122490-60947,QB,Jarrett,Jarrett Stidham,Stidham,-0.100000001,1,8000,12000,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-151903:Troy Franklin,122490-151903,WR,Troy,Troy Franklin,Franklin,9.544444613986546,9,7800,11700,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-110484:RJ Harvey,122490-110484,RB,RJ,RJ Harvey,Harvey,9.399999830457899,9,7600,11400,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-93382:Aidan O'Connell,122490-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,7000,10500,LV@DEN,LV,DEN,IR,Wrist,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-92020:Kenny Pickett,122490-92020,QB,Kenny,Kenny Pickett,Pickett,-1.679999948,1,7000,10500,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-12531:Denver Broncos,122490-12531,D,Denver,Denver Broncos,Broncos,7.666666666666667,9,6800,10200,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-48380:Wil Lutz,122490-48380,K,Wil,Wil Lutz,Lutz,6.777777777777778,9,6600,9900,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-40856:Daniel Carlson,122490-40856,K,Daniel,Daniel Carlson,Carlson,7.714285714285714,7,6400,9600,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-12537:Las Vegas Raiders,122490-12537,D,Las Vegas,Las Vegas Raiders,Raiders,3.875,8,6000,9000,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-41872:Evan Engram,122490-41872,TE,Evan,Evan Engram,Engram,5.150000095367432,8,5600,8400,LV@DEN,DEN,LV,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-120093:Marvin Mims Jr.,122490-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,6.224999904632568,8,5000,7500,LV@DEN,DEN,LV,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-138998:Michael Mayer,122490-138998,TE,Michael,Michael Mayer,Mayer,4.466666539510091,6,4600,6900,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,122490-27050:Tyler Lockett,122490-27050,WR,Tyler,Tyler Lockett,Lockett,1.5,8,4200,6300,LV@DEN,LV,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
