Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122664-69189,QB,Justin,Justin Herbert,Herbert,22.788889567057293,9,13800,20700,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-133472,WR,Ladd,Ladd McConkey,McConkey,10.766666836208767,9,12200,18300,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-6894,QB,Aaron,Aaron Rodgers,Rodgers,16.809999465942383,8,11800,17700,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-73048,WR,DK,DK Metcalf,Metcalf,11.774999618530273,8,11400,17100,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-128633,RB,Kimani,Kimani Vidal,Vidal,9.566666920979818,6,10600,15900,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-120639,WR,Quentin,Quentin Johnston,Johnston,13.814285278320312,7,9200,13800,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-112057,RB,Jaylen,Jaylen Warren,Warren,13.028570992606026,7,8400,12600,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-29253,WR,Keenan,Keenan Allen,Allen,11.555555555555555,9,8200,12300,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-149696,QB,Trey,Trey Lance,Lance,2.859999895095825,1,8000,12000,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-53729,QB,Mason,Mason Rudolph,Rudolph,0.23999999463558197,2,8000,12000,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-158438,TE,Oronde,Oronde Gadsden II,Gadsden II,10.614286150251116,7,7800,11700,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-32058,K,Chris,Chris Boswell,Boswell,11,8,7000,10500,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,7.375,8,6800,10200,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-92496,K,Cameron,Cameron Dicker,Dicker,10,9,6600,9900,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-12548,D,Los Angeles,Los Angeles Chargers,Chargers,5.666666666666667,9,6400,9600,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
122664-90870,WR,Calvin,Calvin Austin III,Austin III,7.299999872843425,6,6200,9300,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,7.925000190734863,8,5800,8700,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.600000108991351,7,5400,8100,PIT@LAC,PIT,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
122664-88699,RB,Jaret,Jaret Patterson,Patterson,3.700000047683716,2,4800,7200,PIT@LAC,LAC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
