Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120469-136855,RB,Bijan,Bijan Robinson,Robinson,24.399999618530273,1,13800,20700,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-85671,WR,Justin,Justin Jefferson,Jefferson,12.800000190734863,1,13600,20400,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,24.020000457763672,1,11400,17100,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-152575,QB,J.J.,J.J. McCarthy,McCarthy,23.219999313354492,1,11200,16800,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-112745,WR,Drake,Drake London,London,9.5,1,10200,15300,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,14.199999809265137,1,9600,14400,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-69777,WR,Darnell,Darnell Mooney,Mooney,10.449999809265137,16,8200,12300,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-71706,TE,T.J.,T.J. Hockenson,Hockenson,3,1,8000,12000,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-12540,D,Minnesota,Minnesota Vikings,Vikings,5,1,7400,11100,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-86875,RB,Jordan,Jordan Mason,Mason,8,1,7000,10500,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-102703,K,Will,Will Reichard,Reichard,9,1,6800,10200,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-53212,K,Younghoe,Younghoe Koo,Koo,9,1,6400,9600,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-88035,K,John Parker,John Parker Romo,Romo,11.5,4,6400,9600,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-12525,D,Atlanta,Atlanta Falcons,Falcons,1,1,6000,9000,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,9.399999618530273,1,5800,8700,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-39716,WR,Adam,Adam Thielen,Thielen,2,1,5400,8100,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
120469-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,6.599999904632568,1,4800,7200,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
120469-90428,RB,Tyler,Tyler Allgeier,Allgeier,2.4000000953674316,1,4200,6300,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
