entry_id,contest_id,contest_name,entry_fee,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,,
3569151115,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-86875:Jordan Mason,120469-71706:T.J. Hockenson,120469-152575:J.J. McCarthy,120469-112745:Drake London,120469-69777:Darnell Mooney,120469-88797:Michael Penix Jr.,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,,
3569151119,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-88797:Michael Penix Jr.,120469-136855:Bijan Robinson,120469-69777:Darnell Mooney,120469-71706:T.J. Hockenson,120469-86875:Jordan Mason,120469-86080:Kyle Pitts Sr.,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,,
3569151120,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-136855:Bijan Robinson,120469-40442:Aaron Jones Sr.,120469-69777:Darnell Mooney,120469-71706:T.J. Hockenson,120469-86875:Jordan Mason,120469-88035:John Parker Romo,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,,
3569151121,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-152575:J.J. McCarthy,120469-85671:Justin Jefferson,120469-40442:Aaron Jones Sr.,120469-69777:Darnell Mooney,120469-86875:Jordan Mason,120469-62055:Ray-Ray McCloud III,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,,
3569151123,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-152575:J.J. McCarthy,120469-85671:Justin Jefferson,120469-40442:Aaron Jones Sr.,120469-69777:Darnell Mooney,120469-102703:Will Reichard,120469-62055:Ray-Ray McCloud III,,,,,,,,,,,,,,,,,,,,
3569151125,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-88797:Michael Penix Jr.,120469-136855:Bijan Robinson,120469-112745:Drake London,120469-40442:Aaron Jones Sr.,120469-62055:Ray-Ray McCloud III,120469-92859:Jalen Nailor,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3569151128,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-136855:Bijan Robinson,120469-85671:Justin Jefferson,120469-112745:Drake London,120469-102703:Will Reichard,120469-62055:Ray-Ray McCloud III,120469-92859:Jalen Nailor,,120469-136855:Bijan Robinson,120469-136855,RB,Bijan,Bijan Robinson,Robinson,24.39999962,1,13800,20700,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
3569151130,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-85671:Justin Jefferson,120469-152575:J.J. McCarthy,120469-40442:Aaron Jones Sr.,120469-86080:Kyle Pitts Sr.,120469-39716:Adam Thielen,120469-92859:Jalen Nailor,,120469-85671:Justin Jefferson,120469-85671,WR,Justin,Justin Jefferson,Jefferson,12.80000019,1,13600,20400,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3569151133,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-88797:Michael Penix Jr.,120469-136855:Bijan Robinson,120469-40442:Aaron Jones Sr.,120469-39716:Adam Thielen,120469-62055:Ray-Ray McCloud III,120469-92859:Jalen Nailor,,120469-88797:Michael Penix Jr.,120469-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,24.02000046,1,11400,17100,ATL@MIN,ATL,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
3569151134,120469-276480801,$12K Sun NFL Hail Mary (Only $0.25 to Enter),0.25,120469-112745:Drake London,120469-136855:Bijan Robinson,120469-86875:Jordan Mason,120469-102703:Will Reichard,120469-86080:Kyle Pitts Sr.,120469-62055:Ray-Ray McCloud III,,120469-152575:J.J. McCarthy,120469-152575,QB,J.J.,J.J. McCarthy,McCarthy,23.21999931,1,11200,16800,ATL@MIN,MIN,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
